"AVS result code","AVS resultatkod"
"CVN result code","CVN resultatkod"
"Card number","Kortnummer"
"Card expiry date","Utgångsdatum för kort"
"Decision","Beslut"
"Transaction ID","Transaktions-ID"
"Risk Score","Riskbetyg"
"Risk Factor","Riskfaktor"
"Reference number","Referensnummer"
"Excessive address change. The customer changed the billing address two or more times in the last six months","Överdriven adressändring. Kunden har ändrat faktureringsadressen två eller fler gånger under de senaste sex månaderna"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Kort BIN eller auktorisering risk. Riskfaktorer är relaterade till kreditkort BIN eller kontroller av korttillstånd"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Högt antal kontonummer. Kunden använt mer än sex kreditkort nummer under de senaste sex månaderna"
"Email address impact. The customer uses a free email provider, or the email address is risky","E-postadress inverkan. Kunden använder en gratis e-postleverantör eller e-postadressen är riskabelt"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Positivlista. Kunden är på din positiva lista. Beslut Manager Developer Guide använder ""Simple Order AP "" januari 201 10 tilläggsinformation och svarskod"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Negativ lista. Kontonummer, gatuadress, e-postadress, eller IP-adressen för den här ordern visas på din negativa lista"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Geolocation inkonsekvenser. Kundens e-postdomän, telefonnummer, faktureringsadress, leveransadress eller IP-adress är misstänkt"
"Excessive name changes. The customer changed the name two or more times in the last six months","Överdriven namnändringar. Kunden har ändrat namn två eller fler gånger under de senaste sex månaderna"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Internet inkonsekvenser. IP-adress nd e-domänen inte är förenliga med faktureringsadressen"
"Nonsensical input. The customer name and address fields contain meaningless words or language","Meningslöst input. Kundens namn och adress fält innehåller meningslösa ord eller språk"
"Obscenities. The customer’s input contains obscene words","Obsceniteter. Kundens indata innehåller obscena ord"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Identitet morphing. Flera värden för ett dentity element är kopplade till ett värde av en annan identitet-element. Till exempel är flera telefonnummer kopplade till ett enda kontonummer"
"Phone inconsistencies. The customer’s phone number is suspicious","Inkonsekvenser i telefondata. Kundens telefonnummer är misstänkta"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Riskabelt beställning. Den transaktion, kunden och handlaren information finns flera riskfyllda korrelationer"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Tid hedge. Kunden försöker utföra ett köp utanför de beräknade timmarna"
"Unverifiable address. The billing or shipping address cannot be verified","Okontrollerbar adress. Fakturerings-eller leveransadress inte kan verifieras"
"Velocity. The account number was use  many times in the past 15 minutes","Hastighet. Kontonumret blev använt många gånger under de senaste 15 minuterna"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Markerats som misstänkt. Fakturerings- eller leveransadress är liknande till en adress som tidigare markerats som misstänkt"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order"
"Unknown factor. Please contact Cybersource customer service","Unknown factor. Please contact Cybersource customer service"
"Payment Token Build Error.","Payment Token Build Error."
"Your payment has been declined. Please try again.","Your payment has been declined. Please try again."
"CC type field should be provided","CC type field should be provided"
"Gateway validation error","Gateway validation error"
"Authorize","Auktorisera"
"Authorize and Capture","Auktorisera och debitera"
"Risk Factor Q","Risk Factor Q"
"Risk Factor V","Risk Factor V"
"Place Order","Beställ"
"Cybersource","Cybersource"
"Enabled","Aktiverad"
"Payment Action","Betalningsåtgärd"
"Title","Titel"
"Merchant ID","Handlar-ID"
"Transaction Key","Transaktionsnyckel"
"Profile ID","Profile ID"
"Access Key","Access Key"
"Secret Key","Secret Key"
"New Order Status","Ny orderstatus"
"Test Mode","Testläge"
"Debug","Felsök"
"Credit Card Types","Kreditkortstyper"
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från specifika länder"
"Minimum Order Total","Minsta orderbelopp"
"Maximum Order Total","Högsta orderbelopp"
"Sort Order","Sorteringsordning"
"Authorize Only","Tillåta endast"
"Webhook URL","Webhook URL"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Webhook URL should be set in your Cybersource account as Transaction Response Page."
"Is admin panel works on the different domain?","Is admin panel works on the different domain?"
"Admin Profile ID","Admin Profile ID"
"Admin Access Key","Admin Access Key"
"Admin Secret Key","Admin Secret Key"
"Admin Webhook URL","Admin Webhook URL"
"The credit card type field needs to be provided. Select the field and try again.","The credit card type field needs to be provided. Select the field and try again."
