"Always","常に"
"After number of attempts to login","CAPTCHAを表示するログイン失敗回数"
"Provided form does not exist","提供されたフォームは存在しません"
"Incorrect CAPTCHA","不正なCAPTCHAです"
"Incorrect CAPTCHA.","不正なCAPTCHA."
"The account is locked. Please wait and try again or contact %1.","アカウントがロックされています。しばらくお待ちいただくか、%1にお問い合わせください。"
"Please enter the letters and numbers from the image","画像にある文字と数字を入力して下さい"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>注意</strong>: CAPTCHAは大文字小文字を区別します。"
"Reload captcha","CAPTCHAの再読込"
"Please type the letters and numbers below","以下に文字と数字を入力してください"
"Attention: Captcha is case sensitive.","注意: Captcha は、大文字・小文字を区別します。"
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","管理画面でCAPTCHAを有効にする"
"Font","フォント"
"Forms","対象フォーム"
"Displaying Mode","表示モード"
"Number of Unsuccessful Attempts to Login","ログイン失敗回数"
"If 0 is specified, CAPTCHA on the Login form will be always available.","もし0が指定された場合, ログインフォーム上のCAPTCHAは常に有効になります。"
"CAPTCHA Timeout (minutes)","CAPTCHA 有効期限 (分)"
"Number of Symbols","文字数"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","多くても8文字を指定してください。 範囲指定が可能です（例：3-5）"
"Symbols Used in CAPTCHA","CAPTCHAで使用する文字"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","半角英数字(a-z あるいは A-Z) あるいは数字 (0-9) のみこのフィールドでは使用してください。 スペースや他の文字種は使用できません。<br />同じような見た目の文字 (例. ""i"", ""l"", ""1"")は使用しないようにして下さい。"
"Case Sensitive","大文字小文字を区別する"
"Enable CAPTCHA on Storefront","ストアフロントでCAPTCHAを有効にする"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","""ユーザー作成"" と ""パスワードを忘れた"" のCAPCHAのフォームは選ばれれば常に有効にできます。"
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
