"Always","සැමවිටම"
"After number of attempts to login","පුරනය වීමට උත්සාහයන් ගණනාවකට පසුව"
"Provided form does not exist","සපයා ඇති පෝරමය නොපවතී"
"Incorrect CAPTCHA","වැරදි CAPTCHA"
"Incorrect CAPTCHA.","වැරදි CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","ගිණුම අගුළු දමා ඇත. කරුණාකර රැඳී සිට නැවත උත්සාහ කරන්න නැතහොත් %1අමතන්න."
"Please enter the letters and numbers from the image","කරුණාකර රූපයෙන් අකුරු සහ අංක ඇතුළත් කරන්න"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>අවධානය</strong>: Captcha යනු සිද්ධි සංවේදී වේ."
"Reload captcha","කැප්චා නැවත පූරණය කරන්න"
"Please type the letters and numbers below","කරුණාකර පහත අකුරු සහ අංක ටයිප් කරන්න"
"Attention: Captcha is case sensitive.","අවධානය: Captcha යනු සිද්ධි සංවේදී වේ."
"CAPTCHA","කැප්චා"
"Enable CAPTCHA in Admin","පරිපාලක තුළ CAPTCHA සබල කරන්න"
"Font","අකුරු"
"Forms","ආකෘති පත්ර"
"Displaying Mode","සංදර්ශක මාදිලිය"
"Number of Unsuccessful Attempts to Login","පුරනය වීමට අසාර්ථක උත්සාහයන් ගණන"
"If 0 is specified, CAPTCHA on the Login form will be always available.","0 සඳහන් කර ඇත්නම්, පිවිසුම් පෝරමයේ CAPTCHA සැමවිටම පවතී."
"CAPTCHA Timeout (minutes)","CAPTCHA කල් ඉකුත්වීම (මිනිත්තු)"
"Number of Symbols","සංකේත ගණන"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","කරුණාකර උපරිම වශයෙන් සංකේත 8ක් සඳහන් කරන්න. අවසර ලත් පරාසය (උදා 3-5)"
"Symbols Used in CAPTCHA","CAPTCHA හි භාවිතා කරන සංකේත"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","කරුණාකර මෙම ක්ෂේත්‍රයේ අකුරු (az හෝ AZ) හෝ අංක (0-9) පමණක් භාවිතා කරන්න. හිස්තැන් හෝ වෙනත් අක්ෂරවලට ඉඩ නොදේ.<br />සමාන පෙනුමක් ඇති අක්ෂර (උදා: ""i"", ""l"", ""1"") පාරිභෝගිකයා විසින් නිවැරදි හඳුනාගැනීමේ අවස්ථාව අඩු කරයි."
"Case Sensitive","විෂය සංවේදී"
"Enable CAPTCHA on Storefront","වෙළඳසැල ඉදිරිපිට CAPTCHA සබල කරන්න"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","""පරිශීලක සාදන්න"" සහ ""මුරපදය අමතක වී ඇත"" පෝරම සඳහා CAPTCHA තෝරාගතහොත් සැමවිටම සක්‍රීය වේ."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
