"Always","Zawsze"
"After number of attempts to login","Po liczbie prób logowania"
"Provided form does not exist","Podany formularz nie istnieje"
"Incorrect CAPTCHA","Niepoprawna CAPTCHA"
"Incorrect CAPTCHA.","Niepoprawna CAPTCHA"
"The account is locked. Please wait and try again or contact %1.","Konto zostało zablokowane. Proszę poczekać i spróbować ponownie lub skontaktować się z %1."
"Please enter the letters and numbers from the image","Wpisz litery i cyfry z obrazka"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Uwaga</strong>: Captcha bierze pod uwagę wielkie i małe litery."
"Reload captcha","Przeładuj captcha"
"Please type the letters and numbers below","Prosimy wpisać litery i cyfry poniżej"
"Attention: Captcha is case sensitive.","Uwaga: Captcha rozróżnia wielkość liter."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Włącz CAPTCHA w panelu admina"
"Font","Czcionka"
"Forms","Formularze"
"Displaying Mode","Sposób wyświetlania"
"Number of Unsuccessful Attempts to Login","Ilość nieudanych prób logowania"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Jeśli wybrane jest 0, CAPTCHA na formularzu logowania będzie zawsze włączona."
"CAPTCHA Timeout (minutes)","Timeout CAPTCHA (minuty)"
"Number of Symbols","Liczby lub symbole"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Prosimy podać maksymalnie 8 znaków. Zakres dozwolony (np. 3-5)"
"Symbols Used in CAPTCHA","Symbole użyte w CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Prosimy o używanie jedynie liter (a-z lub A-Z) lub cyfr (0-9) w tym polu. Spacje i inne znaki nie są dozwolone.<br />Podobnie wyglądające znaki (np. ""i"", ""l"", ""1"") zmniejszają szansę pomyślnego rozpoznania przez użytkownika."
"Case Sensitive","Rozpoznaje wielkość liter"
"Enable CAPTCHA on Storefront","Włącz CAPTCHA na sklepie"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA dla formularzy ""Tworzenie użytkownika"" i ""Zapomniane hasło"" będzie zawsze włączone, jeśli wybrane."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
