"Always","دائماً"
"After number of attempts to login","بعد عدة محاولات لتسجيل الدخول"
"Provided form does not exist","النموذج المتوفر غير موجود"
"Incorrect CAPTCHA","كلمة التحقق غير صحيحة"
"Incorrect CAPTCHA.","كلمة التحقق غير صحيحة."
"The account is locked. Please wait and try again or contact %1.","الحساب مقفل. الرجاء الانتظار والمحاولة مرة أخرى أو الاتصال على %1."
"Please enter the letters and numbers from the image","الرجاء إدخال الحروف والأرقام من الصورة"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>تنبيه</strong>: كلمة التحقق حساسة لحالة الأحرف."
"Reload captcha","إعادة تحميل كلمة التحقق"
"Please type the letters and numbers below","الرجاء كتابة الحروف والأرقام أدناه"
"Attention: Captcha is case sensitive.","انتباه: كلمة التحقق حساسة لحالة الأحرف."
"CAPTCHA","كلمة التحقق"
"Enable CAPTCHA in Admin","تمكين كلمة التحقق للمشرف"
"Font","الخط"
"Forms","النماذج"
"Displaying Mode","وضع العرض"
"Number of Unsuccessful Attempts to Login","عدد المحاولات الغير ناجحة لتسجيل الدخول"
"If 0 is specified, CAPTCHA on the Login form will be always available.","إذا تم تحديد ""0""، كلمة التحقق في نموذج تسجيل الدخول سوف تكون متاحة دائماً."
"CAPTCHA Timeout (minutes)","مهلة كلمة التحقق (بالدقائق)"
"Number of Symbols","عدد الرموز"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","الرجاء تحديد 8رموز على الأكثر. النطاق المسموح به (مثلاً 3-5)"
"Symbols Used in CAPTCHA","الرموز المستخدمة في كلمة التحقق"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","الرجاء استخدام الأحرف (إلى z أو A إلى Z) أو أرقام (0-9) فقط في هذا الحقل. لايسمح بأية مسافات أو أحرف أخرى. < br/> الأحرف المماثلة (على سبيل المثال، ""i""، ""l""، ""1"") تقلل فرصة التعرف الصحيح من جانب العميل."
"Case Sensitive","تحسس حالة الأحرف"
"Enable CAPTCHA on Storefront","تمكين كلمة التحقق في الواجهة"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","يتم دوماً تمكين كلمة التحقق لأشكال ""نسيت كلمة المرور"" و ""إنشاء مستخدم"" إذا تم الإختيار."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
