"Always","Selalu"
"After number of attempts to login","Setelah sejumlah upaya untuk login"
"Provided form does not exist","Formulir yang disediakan tidak ada"
"Incorrect CAPTCHA","Captcha yang salah"
"Incorrect CAPTCHA.","Captcha yang salah."
"The account is locked. Please wait and try again or contact %1.","Akun terkunci. Tunggu dan coba lagi atau hubungi% 1."
"Please enter the letters and numbers from the image","Please enter the letters and numbers from the image"
"<strong>Attention</strong>: Captcha is case sensitive.","<Strong> Perhatian </ strong>: Captcha adalah kasus sensitif."
"Reload captcha","Muat Ulang Captcha"
"Please type the letters and numbers below","Please type the letters and numbers below"
"Attention: Captcha is case sensitive.","Perhatian: Captcha adalah kasus sensitif."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Aktifkan CAPTCHA dalam Admin"
"Font","Font"
"Forms","Form"
"Displaying Mode","Menampilkan Mode"
"Number of Unsuccessful Attempts to Login","Jumlah kegagalan upaya untuk login"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Jika 0 ditentukan, CAPTCHA pada form Login akan selalu tersedia."
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (menit)"
"Number of Symbols","Jumlah Simbol"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Sebutkan paling banyak 8 simbol. Kisaran diperbolehkan (misalnya 3-5)"
"Symbols Used in CAPTCHA","Simbol Terpakai dalam CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer."
"Case Sensitive","Kasus Sensitif"
"Enable CAPTCHA on Storefront","Aktifkan CAPTCHA di Etalase Toko"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA untuk form ""Buat user"" dan ""Lupa password"" selalu diaktifkan jika dipilih."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
