"Always","항상"
"After number of attempts to login","After number of attempts to login"
"Provided form does not exist","Provided form does not exist"
"Incorrect CAPTCHA","올바르지 않은 보안문자(CAPTCHA) 입니다"
"Incorrect CAPTCHA.","올바르지 않은 보안문자(CAPTCHA) 입니다."
"The account is locked. Please wait and try again or contact %1.","계정이 잠겨 있습니다. 기다렸다 다시 시도하시거나 %1로 연락하세요."
"Please enter the letters and numbers from the image","Please enter the letters and numbers from the image"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong> 주의</strong>: 보안문자(Captcha) 는 대소문자를 구분합니다."
"Reload captcha","보안문자(Captcha)를 리로드"
"Please type the letters and numbers below","Please type the letters and numbers below"
"Attention: Captcha is case sensitive.","주의: 보안문자(CAPTCHA)는 대소문자를 구분합니다."
"CAPTCHA","보안 문자"
"Enable CAPTCHA in Admin","Enable CAPTCHA in Admin"
"Font","글꼴"
"Forms","양식"
"Displaying Mode","Displaying Mode"
"Number of Unsuccessful Attempts to Login","다수의 실패한 로그인 시도가 있습니다."
"If 0 is specified, CAPTCHA on the Login form will be always available.","If 0 is specified, CAPTCHA on the Login form will be always available."
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minutes)"
"Number of Symbols","Number of Symbols"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Please specify 8 symbols at the most. Range allowed (e.g. 3-5)"
"Symbols Used in CAPTCHA","Symbols Used in CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer."
"Case Sensitive","대소문자 구분"
"Enable CAPTCHA on Storefront","Enable CAPTCHA on Storefront"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
