"Always","Selalu"
"After number of attempts to login","Setelah beberapa kali mencoba login"
"Provided form does not exist","Bentuk yang disediakan tidak ada"
"Incorrect CAPTCHA","Captcha yang salah"
"Incorrect CAPTCHA.","Captcha yang salah."
"The account is locked. Please wait and try again or contact %1.","Akun terkunci Harap tunggu dan coba lagi atau hubungi %1."
"Please enter the letters and numbers from the image","Silakan masukkan huruf dan angka dari gambar"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong> Perhatian </strong>: Captcha peka terhadap huruf besar."
"Reload captcha","Muat ulang captcha"
"Please type the letters and numbers below","dan nomor"
"Attention: Captcha is case sensitive.","Perhatian: Captcha bersifat case sensitive."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Mengaktifkan CAPTCHA di Admin"
"Font","Huruf"
"Forms","Bentuk"
"Displaying Mode","Menampilkan Mode"
"Number of Unsuccessful Attempts to Login","Jumlah Upaya yang Tidak Berhasil Masuk"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Jika 0 ditentukan, CAPTCHA pada form Login akan selalu tersedia."
"CAPTCHA Timeout (minutes)","Waktu tunggu CAPTCHA (menit)"
"Number of Symbols","Jumlah Simbol"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Harap tentukan 8 simbol paling banyak. Rentang yang diizinkan (misalnya 3-5)"
"Symbols Used in CAPTCHA","Simbol yang Digunakan di CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Harap gunakan hanya huruf (a-z atau A-Z) atau angka (0-9) di bidang ini. Tidak ada spasi atau karakter lain yang diperbolehkan<br />Karakter mirip yang terlihat (mis. ""I"", ""l"", ""1"") mengurangi kemungkinan pengakuan yang benar oleh pelanggan."
"Case Sensitive","Hal - hal sensitif"
"Enable CAPTCHA on Storefront","Aktifkan CAPTCHA di etalase"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA untuk formulir ""Buat pengguna"" dan ""Lupa kata sandi"" selalu diaktifkan jika dipilih."
"Please enter the letters from the image","Harap masukkan huruf dari gambar"
"Please type the letters below","Harap ketik huruf di bawah ini"
