"Always","תמיד"
"After number of attempts to login","לאחר מספר ניסיונות כניסה"
"Provided form does not exist","הטופס שסופק אינו קיים"
"Incorrect CAPTCHA","CAPTCHA שגוי"
"Incorrect CAPTCHA.","CAPTCHA שגוי."
"The account is locked. Please wait and try again or contact %1.","החשבון ננעל. בבקשה חכה, נסה שוב או פנה %1."
"Please enter the letters and numbers from the image","אנא הזן את האותיות והמספרים מהתמונה"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>לתשומת לבך</strong>: Captcha תלוי רישיות."
"Reload captcha","טען CAPTCHA מחדש"
"Please type the letters and numbers below","אנא הקלידו את האותיות והמספרים להלן"
"Attention: Captcha is case sensitive.","לתשומת לבך: Captcha תלוי רישיות."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","לאפשר CAPTCHA בממשק הניהול"
"Font","גופן"
"Forms","טפסים"
"Displaying Mode","מצב תצוגה"
"Number of Unsuccessful Attempts to Login","מספר ניסיונות התחברות כושלים"
"If 0 is specified, CAPTCHA on the Login form will be always available.","אם צוין 0, CAPTCHA על גבי טופס כניסה יהיה תמיד זמין."
"CAPTCHA Timeout (minutes)","זמן קצוב CAPTCHA (בדקות)"
"Number of Symbols","מספר סמלים"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","נא ציין 8 סמלים לכל היותר. מותר טווחים (למשל 3-5)"
"Symbols Used in CAPTCHA","סמלים המשמשים ב-CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","נא להשתמש רק באותיות (a-z או A-Z) או מספרים (0-9) בשדה זה. ללא רווחים או תווים אחרים.<br />שימוש בתווים דומים (למשל ""i"", ""l"", ""1"") מקטין את הסיכוי של זיהוי הנכון על-ידי הלקוח."
"Case Sensitive","תלוי רישיות"
"Enable CAPTCHA on Storefront","לאפשר CAPTCHA בתצוגת החנות"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA עבור טפסי ""צור חשבון"" ו-""שכחתי סיסמה"" תמיד פעילה אם נבחרה."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
