"Always","一律"
"After number of attempts to login","嘗試登錄的次數"
"Provided form does not exist","提供的表單不存在"
"Incorrect CAPTCHA","不正確的驗證碼。"
"Incorrect CAPTCHA.","不正確的驗證碼。"
"The account is locked. Please wait and try again or contact %1.","該帳戶被鎖定。請等待再試或聯繫 %1。"
"Please enter the letters and numbers from the image","Please enter the letters and numbers from the image"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>注意</strong>︰ 驗證碼是區分大小寫。"
"Reload captcha","重新載入驗證碼"
"Please type the letters and numbers below","Please type the letters and numbers below"
"Attention: Captcha is case sensitive.","注意︰ 驗證碼是區分大小寫。"
"CAPTCHA","驗證碼"
"Enable CAPTCHA in Admin","在管理員啟用驗證碼"
"Font","字體"
"Forms","表單 "
"Displaying Mode","顯示模式"
"Number of Unsuccessful Attempts to Login","嘗試登錄失敗次數"
"If 0 is specified, CAPTCHA on the Login form will be always available.","如果指定 0，登錄表單上的驗證碼將一律可用。"
"CAPTCHA Timeout (minutes)","驗證碼超時 （分鐘）"
"Number of Symbols","符號數"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","請最多指定8個符號。 範圍允許（例如3-5）"
"Symbols Used in CAPTCHA","在驗證碼中使用的符號"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer."
"Case Sensitive","區分大小寫"
"Enable CAPTCHA on Storefront","啟用在店面上的驗證碼"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","如果選擇了“創建用戶”和“忘記密碼”表單，一律啟用驗證碼。"
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
