"Always","هميشه"
"After number of attempts to login","بعد از تعدادی تلاش برای ورود"
"Provided form does not exist","فرم ارائه شده وجود ندارد"
"Incorrect CAPTCHA","CAPTCHA نادرست است"
"Incorrect CAPTCHA.","CAPTCHA نادرست است."
"The account is locked. Please wait and try again or contact %1.","حساب کاربری قفل شده است. لطفا صبر کنید و دوباره تلاش کنید یا با %1 تماس بگیرید."
"Please enter the letters and numbers from the image","لطفا حروف و اعداد در تصویر را وارد کنید"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>توجه</strong>: کد امنيتي به حروف حساس است."
"Reload captcha","بارگذاری مجدد captcha"
"Please type the letters and numbers below","لطفا حروف و اعداد زیر را تایپ کنید"
"Attention: Captcha is case sensitive.","توجه: کد امنيتي به حروف حساس است."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","فعال كردن CAPTCHA در مديريت"
"Font","فونت"
"Forms","فرم ها"
"Displaying Mode","حالت نمایش"
"Number of Unsuccessful Attempts to Login","تعداد تلاش های ناموفق برای ورود به سيستم"
"If 0 is specified, CAPTCHA on the Login form will be always available.","اگر 0 انتخاب شود، CAPTCHA در فرم ورود هميشه در دسترس خواهد بود."
"CAPTCHA Timeout (minutes)","اتمام مهلت كپچا (دقيقه)"
"Number of Symbols","تعداد نمادها"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","لطفا حداکثر 8 نماد مشخص کنید. محدوده مجاز (به عنوان مثال 3-5)"
"Symbols Used in CAPTCHA","نمادهای مورد استفاده در CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","لطفا از این حروف فقط حروف (a-z یا A-Z) یا اعداد (0-9) استفاده کنید. فاصله و یا کاراکتر دیگری مجاز نیست. <br /> کاراکترهای مشابه مانند (i، l، 1) احتمال تصدیق درست توسط مشتری را کاهش می دهند."
"Case Sensitive","حساس به حروف کوچک و بزرگ"
"Enable CAPTCHA on Storefront","فعال كردن CAPTCHA در نمای فروشگاه"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA برای فرم های ""ایجاد کاربر"" و ""فراموش کردن رمز عبور"" همیشه در صورت انتخاب شدن فعال است."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
