"Always","എപ്പോഴും"
"After number of attempts to login","ലോഗിൻ ചെയ്യാനുള്ള നിരവധി ശ്രമങ്ങൾക്ക് ശേഷം"
"Provided form does not exist","നൽകിയ ഫോം നിലവിലില്ല"
"Incorrect CAPTCHA","തെറ്റായ കാപ്ച"
"Incorrect CAPTCHA.","തെറ്റായ കാപ്ച."
"The account is locked. Please wait and try again or contact %1.","അക്കൗണ്ട് ലോക്കുചെയ്‌തു. കാത്തിരുന്ന് വീണ്ടും ശ്രമിക്കുക അല്ലെങ്കിൽ %1 നെ ബന്ധപ്പെടുക."
"Please enter the letters and numbers from the image","ചിത്രത്തിൽ നിന്ന് അക്ഷരങ്ങളും അക്കങ്ങളും നൽകുക"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>ശ്രദ്ധ</strong>: കാപ്ച കേസ് സെൻ‌സിറ്റീവ് ആണ്."
"Reload captcha","ക്യാപ്‌ച വീണ്ടും ലോഡുചെയ്യുക"
"Please type the letters and numbers below","ചുവടെയുള്ള അക്ഷരങ്ങളും അക്കങ്ങളും ടൈപ്പ് ചെയ്യുക"
"Attention: Captcha is case sensitive.","ശ്രദ്ധിക്കുക: കാപ്ച കേസ് സെൻ‌സിറ്റീവ് ആണ്."
"CAPTCHA","ക്യാപ്ച"
"Enable CAPTCHA in Admin","അഡ്‌മിനിൽ CAPTCHA പ്രവർത്തനക്ഷമമാക്കുക"
"Font","ഫോണ്ട്"
"Forms","ഫോമുകൾ"
"Displaying Mode","Displaying Mode"
"Number of Unsuccessful Attempts to Login","ലോഗിൻ ചെയ്യാനുള്ള പരാജയപ്പെട്ട ശ്രമങ്ങളുടെ എണ്ണം"
"If 0 is specified, CAPTCHA on the Login form will be always available.","If 0 is specified, CAPTCHA on the Login form will be always available."
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minutes)"
"Number of Symbols","Number of Symbols"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Please specify 8 symbols at the most. Range allowed (e.g. 3-5)"
"Symbols Used in CAPTCHA","Symbols Used in CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer."
"Case Sensitive","Case Sensitive"
"Enable CAPTCHA on Storefront","Enable CAPTCHA on Storefront"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
