"Make Check payable to:","Pagar el cheque a:"
"Send Check to:","Enviar cheque a:"
"Purchase Order Number","Número de orden de compra"
"Make Check payable to: %1","Hacer cheque pagadero a: %1"
"Purchase Order Number: %1","Número de orden de compra: %1"
"Make Check payable to","Pagar el cheque a"
"Send Check to","Enviar cheque a"
"Place Order","Realizar pedido"
"Check / Money Order","Cheque / Orden de pago internacional"
"Enabled","Habilitado"
"New Order Status","Nuevo estado del pedido"
"Sort Order","Ordenación"
"Title","Título"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Make Check Payable to","Pagar el cheque a"
"Minimum Order Total","Total mínimo del pedido"
"Maximum Order Total","Total máximo del pedido"
"Purchase Order","Orden de compra"
"Bank Transfer Payment","Pago por transferencia bancaria"
"Instructions","Instrucciones"
"Cash On Delivery Payment","Pago contra reembolso"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Purchase order number is a required field.","El número de orden de compra es un campo obligatorio."
