"Make Check payable to:","Check ausstellen auf:"
"Send Check to:","Bezahlvorgang bei 0,&mdash; Gesamtsumme"
"Purchase Order Number","Bestellnummer"
"Make Check payable to: %1","Check auf %1 ausstellen"
"Purchase Order Number: %1","Auftragsnummer: %1"
"Make Check payable to","Check ausstellen auf"
"Send Check to","Check senden an"
"Place Order","Jetzt kaufen"
"Check / Money Order","Scheck / Zahlungsanweisung"
"Enabled","Aktiviert"
"New Order Status","Neuer Bestellstatus"
"Sort Order","Sortierreihenfolge"
"Title","Titel"
"Payment from Applicable Countries","Zahlung aus erlaubten Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Make Check Payable to","Check ausstellen auf"
"Minimum Order Total","Mindestwert für Gesamtbestellung"
"Maximum Order Total","Maximalwert für Gesamtbestellung"
"Purchase Order","Kauf auf Rechnung"
"Bank Transfer Payment","Zahlung per Überweisung"
"Instructions","Anweisungen"
"Cash On Delivery Payment","Zahlung per Nachnahme"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Purchase order number is a required field.","Bestellnummer ist ein Pflichtfeld."
