"Make Check payable to:","Çek Alıcısı:"
"Send Check to:","Çeki Göndereceğiniz Adres:"
"Purchase Order Number","Sipariş Numarası"
"Make Check payable to: %1","Çeki Şu İsme Kesiniz"
"Purchase Order Number: %1","Sipariş numarası: %1"
"Make Check payable to","Çeki Şu İsme Kesiniz"
"Send Check to","Çeki Göndereceğiniz Adres"
"Place Order","Sipariş Ver"
"Check / Money Order","Çek / Havale"
"Enabled","Aktif edildi"
"New Order Status","Yeni sipariş durumu"
"Sort Order","Sıralama"
"Title","Başlık"
"Payment from Applicable Countries","Mümkün olan Ülkelerden Tahsilat"
"Payment from Specific Countries","Sadece Seçilen Ülkelerden Tahsilat"
"Make Check Payable to","Çek Alıcısı"
"Minimum Order Total","En düşük Sipariş Toplamı"
"Maximum Order Total","En Yüksek Sipariş Toplamı"
"Purchase Order","Satınalma Siparişi"
"Bank Transfer Payment","Banka Havalesi ile Ödeme"
"Instructions","Kullanım Talimatları"
"Cash On Delivery Payment","Kapıda Nakit Ödeme"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Purchase order number is a required field.","Purchase order number is a required field."
