"Make Check payable to:","Fare assegno intestato a:"
"Send Check to:","Invia assegno a:"
"Purchase Order Number","Numero ordine d'acquisto"
"Make Check payable to: %1","Intesta assegno a: %1"
"Purchase Order Number: %1","Numero ordine d'acquisto: %1"
"Make Check payable to","Fare assegno intestato a"
"Send Check to","Inviare assegno a"
"Place Order","Effettua Ordine"
"Check / Money Order","Vaglia"
"Enabled","Abilitato"
"New Order Status","Nuovo stato dell'ordine"
"Sort Order","Ordinamento"
"Title","Titolo"
"Payment from Applicable Countries","Pagamento dai paesi applicabili"
"Payment from Specific Countries","Pagamento da Paesi specifici"
"Make Check Payable to","Fare Check intestato a"
"Minimum Order Total","Totale ordine minimo"
"Maximum Order Total","Totale ordine massimo"
"Purchase Order","Ordine d'acquisto"
"Bank Transfer Payment","Pagamento tramite bonifico bancario"
"Instructions","Istruzioni"
"Cash On Delivery Payment","Pagamento in contrassegno"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Purchase order number is a required field.","Purchase order number is a required field."
