"Make Check payable to:","Checkbetalning till:"
"Send Check to:","Skicka check till:"
"Purchase Order Number","Inköpsordernummer"
"Make Check payable to: %1","Check utställd till: %1"
"Purchase Order Number: %1","Inköpsordernummer: %1"
"Make Check payable to","Ställ ut checken till"
"Send Check to","Skicka check till"
"Place Order","Beställ"
"Check / Money Order","Check/kontantorder"
"Enabled","Aktiverad"
"New Order Status","Ny orderstatus"
"Sort Order","Sorteringsordning"
"Title","Titel"
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från specifika länder"
"Make Check Payable to","Ställ ut checken till"
"Minimum Order Total","Minsta orderbelopp"
"Maximum Order Total","Högsta orderbelopp"
"Purchase Order","Inköpsorder"
"Bank Transfer Payment","Betalning via bankgiro"
"Instructions","Instruktioner"
"Cash On Delivery Payment","Kontant betalning vid leverans"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Purchase order number is a required field.","Inköpsordernummer är ett obligatoriskt fält."
