"Make Check payable to:","Направи чековете платими за:"
"Send Check to:","Изпрати проверка за:"
"Purchase Order Number","Номер на поръчка"
"Make Check payable to: %1","Направи чека платим на: %1"
"Purchase Order Number: %1","Номер на поръчка за покупка: %1"
"Make Check payable to","Направи проверка в платими на"
"Send Check to","Изпрати проверка за"
"Place Order","Направи поръчка"
"Check / Money Order","Чек / пощенски запис"
"Enabled","Активиран"
"New Order Status","Статус нова поръчка"
"Sort Order","Ред на сортиране"
"Title","Заглавиe"
"Payment from Applicable Countries","Плащане от приложимите страни"
"Payment from Specific Countries","Плащане от определени страни"
"Make Check Payable to","Направи проверка в платими на"
"Minimum Order Total","Минимална стойност на поръчка"
"Maximum Order Total","Максимална стойност на поръчка"
"Purchase Order","Поръчка за покупка"
"Bank Transfer Payment","Плащане с банков превод"
"Instructions","Инструкции"
"Cash On Delivery Payment","В брой, при доставка"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Purchase order number is a required field.","Номера на поръчката е задължително поле."
