"Make Check payable to:","Šek vystavit na jméno:"
"Send Check to:","Příjemce platby složenkou:"
"Purchase Order Number","Číslo nákupní objednávky"
"Make Check payable to: %1","Šek vystavit na jméno: %1"
"Purchase Order Number: %1","Číslo nákupní objednávky: %1"
"Make Check payable to","Šek vystavit na jméno"
"Send Check to","Příjemce platby složenkou"
"Place Order","Objednat"
"Check / Money Order","Šek / složenka"
"Enabled","Zapnuto"
"New Order Status","Stav nové objednávky"
"Sort Order","Řadit podle"
"Title","Název"
"Payment from Applicable Countries","Platby z dostupných zemí"
"Payment from Specific Countries","Platby ze zvolených zemí"
"Make Check Payable to","Šek vystavit na jméno"
"Minimum Order Total","Minimální hodnota objednávky"
"Maximum Order Total","Maximální hodnota objednávky"
"Purchase Order","Nákupní objednávka"
"Bank Transfer Payment","Platba bankovním převodem"
"Instructions","Pokyny"
"Cash On Delivery Payment","Platba dobírkou"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Purchase order number is a required field.","Purchase order number is a required field."
