"Make Check payable to:","Gjør sjekk betalbar til:"
"Send Check to:","Send sjekk til:"
"Purchase Order Number","Innkjøpsordrenummer"
"Make Check payable to: %1","Gjøre sjekk betalbar til: %1"
"Purchase Order Number: %1","Innkjøpsordrenummer: %1"
"Make Check payable to","Gjør sjekk betalbar til"
"Send Check to","Send sjekk til"
"Place Order","Bestill"
"Check / Money Order","Check / Money Order"
"Enabled","Aktivert"
"New Order Status","Ny ordrestatus"
"Sort Order","Sorteringsrekkefølge"
"Title","Tittel"
"Payment from Applicable Countries","Betaling fra aktuelle land"
"Payment from Specific Countries","Betaling fra bestemte land"
"Make Check Payable to","Gjør sjekk betalbar til"
"Minimum Order Total","Minimum ordretotal"
"Maximum Order Total","Maks ordretotal"
"Purchase Order","Innkjøpsordre"
"Bank Transfer Payment","Bank Overføring Betaling"
"Instructions","Instruksjoner"
"Cash On Delivery Payment","Kontant Ved Levering Betaling"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Purchase order number is a required field.","Purchase order number is a required field."
