"Make Check payable to:","Vyplatiť šek:"
"Send Check to:","Send Check to:"
"Purchase Order Number","Purchase Order Number"
"Make Check payable to: %1","Make Check payable to: %1"
"Purchase Order Number: %1","Purchase Order Number: %1"
"Make Check payable to","Make Check payable to"
"Send Check to","Send Check to"
"Place Order","Objednať"
"Check / Money Order","Check / Money Order"
"Enabled","Zapnuté"
"New Order Status","Stav novej objednávky"
"Sort Order","Poradie radenia"
"Title","Titulok"
"Payment from Applicable Countries","Platba z dostupných krajín"
"Payment from Specific Countries","Platba z vybratých krajín"
"Make Check Payable to","Make Check Payable to"
"Minimum Order Total","Minimálna suma objednávky"
"Maximum Order Total","Maximálna suma objednávky"
"Purchase Order","Purchase Order"
"Bank Transfer Payment","Platba Prevodom"
"Instructions","Instructions"
"Cash On Delivery Payment","Cash On Delivery Payment"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Purchase order number is a required field.","Purchase order number is a required field."
