"Store Credit","Crédit du magasin"
"Delete Orphan Balances","Le paiement par crédit a été supprimé de votre panier."
"Date","Date"
"Website","Site web"
"Action","Action"
"Balance Change","Changement de solde"
"Balance","Solde"
"Customer notified","Client notifié"
"Notified","Notifié"
"No","Non"
"More information","Plus d'informations"
"Update Balance","Mettre à jour le solde"
"An amount on which to change the balance","Un montant sur lequel modifier le solde"
"Notify Customer by Email","Avertir le client par email"
"Send Email Notification From the Following Store View","Envoyer une notification par email pour la vue magasin"
"Comment","Commentaire"
"Failed to initialize customer","Echec lors de l'initialisation du client"
"The store credit payment has been removed from shopping cart.","Le paiement par crédit a été supprimé de votre panier."
"You are not using store credit in your shopping cart.","Vous n'utilisez pas de crédit magasin dans votre panier."
"Please set a website ID.","Merci de définir un identifiant du site Web."
"By admin: %1.","Par l'administrateur : %1."
"By admin: %1. (%2)","Par administrateur : %1. (%2)"
"Please also set the Store ID.","Merci de définir l'identifiant du magasin."
"Please enter a store ID to send email notifications.","Veuillez entrer un ID de magasin pour envoyer des notifications par email."
"Please specify a customer ID.","Merci de spécifier un identifiant client."
"Please specify a valid customer.","Merci de spécifier un client valide."
"Created","Créé"
"Updated","Mis à jour"
"Used","Utilisé"
"Refunded","Remboursé"
"Reverted","Reversé"
"You need a balance to save your balance history.","Vous avez besoin d'un solde pour sauvegarder votre historique de solde."
"Order #%1","Commande n°%1"
"There is no credit memo set to balance model.","Il n'y a pas de note de crédit ensemble de l'équilibre du modèle."
"Order #%1, creditmemo #%2","Commande n° %1, note de crédit n° %2"
"Unknown balance history action code","Code d'action de l'historique du solde inconnu"
"There is no order set to balance model.","Il n'y a pas de commande définie pour équilibrer un modèle."
"You do not have enough store credit to complete this order.","Vous n'avez pas assez de crédit de magasin pour effectuer cette commande."
"You can't use more store credit than the order amount.","Vous ne pouvez pas utiliser plus de crédit de magasin que le montant de la commande."
"Store Credit Balance","Solde du crédit magasin"
"Balance History","Historique du solde"
"Refund Store Credit to Store Credit","Rembourser un crédit du magasin au crédit magasin"
"Refund Money to Store Credit","Rembourser de l'argent au crédit magasin"
"Refund to Store Credit","Rembourser au crédit magasin"
"Use Store Credit (%1 available)","Utiliser le crédit magasin (%1 disponible)"
"Your balance is:","Votre solde est :"
"Use Store Credit","Utiliser un crédit magasin"
"available","disponible"
"Remove","Supprimer"
"Refunded to Store Credit","Remboursé au crédit magasin"
"Store Credit update","Mise à jour du crédit magasin"
"%name,","%name,"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","Nous avons mis à jour votre compte <a href=""%store_url"">%store_name</a> et vous avez un crédit que vous pouvez utiliser pour vos achats futurs."
"Your Store Credit balance is now %balance.","Votre solde crédit magasin est maintenant %balance."
"Store credit","Crédit magasin"
"Store credit available","Crédit magasin disponible"
"Your store credit was successfully applied","Votre crédit magasin a été appliqué avec succès"
"Store Credit Options","Options du crédit magasin"
"Enable Store Credit Functionality","Activer la fonctionnalité 'crédit magasin'"
"Show Store Credit History to Customers","Montrer l'historique de crédit magasin aux clients"
"Refund Store Credit Automatically","Rembourser automatiquement le crédit magasin"
"Store Credit Update Email Sender","Expéditeur du courriel de mise à jour du crédit magasin"
"Store Credit Update Email Template","Modèle de courriel de mise à jour du crédit magasin"
"A balance is needed to save a balance history.","Un solde est nécessaire pour enregistrer un historique des soldes."
"The balance history action code is unknown. Verify the code and try again.","Le code d'action de l'historique des soldes est inconnu. Vérifiez-le et réessayez."
