"Store Credit","Kredit Toko"
"Delete Orphan Balances","Hapus Saldo Orphan"
"Date","Tanggal"
"Website","Situs web"
"Action","Tindakan"
"Balance Change","Perubahan Saldo"
"Balance","Saldo"
"Customer notified","Informasi Pelanggan"
"Notified","Pemberitahuan"
"No","Tidak"
"More information","Informasi lebih lanjut"
"Update Balance","Perbarui Saldo"
"An amount on which to change the balance","Jumlah untuk mengubah saldo"
"Notify Customer by Email","Beritahu Pelanggan Lewat Email"
"Send Email Notification From the Following Store View","Kirim pemberitahuan Email dari Tampilan toko berikut"
"Comment","Komentar"
"Failed to initialize customer","Gagal menginisialisasi pelanggan"
"The store credit payment has been removed from shopping cart.","Pembayaran kredit toko telah dihapus dari keranjang belanja."
"You are not using store credit in your shopping cart.","Anda tidak menggunakan kredit toko dalam keranjang belanja anda."
"Please set a website ID.","Harap atur ID situs web."
"By admin: %1.","Oleh admin: %1."
"By admin: %1. (%2)","Oleh admin: %1. (%2)"
"Please also set the Store ID.","Harap atur juga ID toko."
"Please enter a store ID to send email notifications.","Harap masukkan ID toko untuk mengirim notifikasi email."
"Please specify a customer ID.","Harap tentukan ID pelanggan."
"Please specify a valid customer.","Harap tentukan pelanggan yang valid."
"Created","Buat"
"Updated","Diperbarui"
"Used","Dipakai"
"Refunded","Dikembalikan"
"Reverted","Dikembalikan"
"You need a balance to save your balance history.","You need a balance to save your balance history."
"Order #%1","Pesanan #%1"
"There is no credit memo set to balance model.","Tidak ada memo kredit yang diatur untuk model saldo."
"Order #%1, creditmemo #%2","Pesanan #%1, memokredit#%2"
"Unknown balance history action code","Unknown balance history action code"
"There is no order set to balance model.","Tidak ada pesanan yang diatur ke model saldo."
"You do not have enough store credit to complete this order.","Anda tidak memiliki kredit toko yang cukup untuk menyelesaikan pesanan ini."
"You can't use more store credit than the order amount.","You can't use more store credit than the order amount."
"Store Credit Balance","Saldo kredit toko"
"Balance History","Riwayat Saldo"
"Refund Store Credit to Store Credit","Refund Store Credit to Store Credit"
"Refund Money to Store Credit","Mengembalikan Dana ke kredit toko"
"Refund to Store Credit","Default Welcome Email Without A Password"
"Use Store Credit (%1 available)","Use Store Credit (%1 available)"
"Your balance is:","Saldo Anda adalah:"
"Use Store Credit","Gunakan Kredit toko"
"available","tersedia"
"Remove","Menghapus"
"Refunded to Store Credit","Dikembalikan ke Toko Kredit"
"Store Credit update","Simpan pembaruan Kredit"
"%name,","%nama"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases."
"Your Store Credit balance is now %balance.","Your Store Credit balance is now %balance."
"Store credit","Store credit"
"Store credit available","Store credit available"
"Your store credit was successfully applied","Toko kredit berhasil diterapkan"
"Store Credit Options","Store Credit Options"
"Enable Store Credit Functionality","Mengaktifkan Fungsi Kredit Toko"
"Show Store Credit History to Customers","Tampilkan Menyimpan Sejarah Kredit untuk Pelanggan"
"Refund Store Credit Automatically","Pengembalian Kredit Toko Secara Otomatis"
"Store Credit Update Email Sender","Toko Kredit Update Email Pengirim"
"Store Credit Update Email Template","Toko Kredit Update Template Email"
"A balance is needed to save a balance history.","A balance is needed to save a balance history."
"The balance history action code is unknown. Verify the code and try again.","The balance history action code is unknown. Verify the code and try again."
