"Store Credit","Съхраняван баланс"
"Delete Orphan Balances","Изтриване на кандидатстващите баланси"
"Date","Дата"
"Website","Уебсайт"
"Action","Действие"
"Balance Change","Промяна на баланс"
"Balance","Баланс"
"Customer notified","Клиент уведомен"
"Notified","Уведомен"
"No","Не"
"More information","Повече информация"
"Update Balance","Актуализиране на баланс"
"An amount on which to change the balance","Сума на която да промени баланса"
"Notify Customer by Email","Уведомява клиента по имейл"
"Send Email Notification From the Following Store View","Изпрати уведомление по имейл от този изглед на магазина"
"Comment","Коментар"
"Failed to initialize customer","Неуспешно инициализиране на клиент"
"The store credit payment has been removed from shopping cart.","Кредитното плащане към магазина е премахнато от кошницата."
"You are not using store credit in your shopping cart.","Вие не използвате кредит от магазина във вашата количка."
"Please set a website ID.","Задайте ID на сайта."
"By admin: %1.","От администратор: %1."
"By admin: %1. (%2)","От администратор: %1. (%2)"
"Please also set the Store ID.","Моля също така да зададете ИД на магазин."
"Please enter a store ID to send email notifications.","Въведете ИД на магазина за да изпратите известия по имейл."
"Please specify a customer ID.","Задайте ИД на клиент."
"Please specify a valid customer.","Моля, посочете валиден клиент."
"Created","Създаден:"
"Updated","Актуализиран"
"Used","Използван"
"Refunded","Възстановен"
"Reverted","Обърнат"
"You need a balance to save your balance history.","You need a balance to save your balance history."
"Order #%1","Поръчка #%1"
"There is no credit memo set to balance model.","Няма зададена кредитна история, която да бъде зададена като модел на баланса."
"Order #%1, creditmemo #%2","Поръчка #%1, Кредитно изв. #%2"
"Unknown balance history action code","Unknown balance history action code"
"There is no order set to balance model.","Няма зададен ред на баланс модела."
"You do not have enough store credit to complete this order.","Вие нямате достатъчно кредити, за да се изпълни тази поръчка."
"You can't use more store credit than the order amount.","You can't use more store credit than the order amount."
"Store Credit Balance","Кредитно салдо на магазина"
"Balance History","История на баланса"
"Refund Store Credit to Store Credit","Възстановяване на кредит за съхраняване на кредитни"
"Refund Money to Store Credit","Възстановяване на пари за съхранение в кредитния баланс"
"Refund to Store Credit","Възстановяване към кредита"
"Use Store Credit (%1 available)","Използвайте кредит (%1 наличен)"
"Your balance is:","Балансът ви е:"
"Use Store Credit","Използвайте кредит"
"available","наличен"
"Remove","Премахване"
"Refunded to Store Credit","Възстановяване към кредита"
"Store Credit update","Кредит актуализация"
"%name,","%name,"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","Обновихме вашият <a href=""%store_url""> %store_name</a> акаунт и имате кредит, който можете да използвате за бъдещи покупки."
"Your Store Credit balance is now %balance.","Вашето кредитно салдо сега е %balance."
"Store credit","Store credit"
"Store credit available","Наличен кредит"
"Your store credit was successfully applied","Успешно приложихте вашият кредит"
"Store Credit Options","Кредитни опции на магазина"
"Enable Store Credit Functionality","Разреши кредитна функционалност"
"Show Store Credit History to Customers","Покажи кредитна история на клиенти"
"Refund Store Credit Automatically","Възстановяване на кредит автоматично"
"Store Credit Update Email Sender","Кредит актуализация имейл подател"
"Store Credit Update Email Template","Кредит актуализация имейл шаблон"
"A balance is needed to save a balance history.","Необходим е баланс, за да се запази историята на баланса."
"The balance history action code is unknown. Verify the code and try again.","Кодът за действие на историята на баланса е неизвестен. Проверете кода и опитайте отново."
