"Store Credit","זיכוי חנות"
"Delete Orphan Balances","מחיקת יתרות בודדות"
"Date","תאריך"
"Website","אתר"
"Action","פעולה"
"Balance Change","שינוי יתרה"
"Balance","יתרה"
"Customer notified","הלקוח קיבל התראה"
"Notified","התראה"
"No","לא"
"More information","מידע נוסף"
"Update Balance","עדכון יתרה"
"An amount on which to change the balance","סכום שעליו לשנות את היתרה"
"Notify Customer by Email","נא להתריע ללקוח בדואר אלקטרוני"
"Send Email Notification From the Following Store View","שלח הודעת דואר אלקטרוני מתצוגת החנות הבאה"
"Comment","הערה"
"Failed to initialize customer","נכשל באתחול הלקוח"
"The store credit payment has been removed from shopping cart.","התשלום באשראי בחנות הוסר מן עגלת קניות."
"You are not using store credit in your shopping cart.","אתה לא משתמש בזיכוי בעגלת הקניות שלך."
"Please set a website ID.","נא הגדר מזהה האתר."
"By admin: %1.","על ידי מנהל האתר: %1."
"By admin: %1. (%2)","על ידי מנהל האתר: %1. (%2)"
"Please also set the Store ID.","בבקשה להגדיר גם את בחנות ' מזהה '."
"Please enter a store ID to send email notifications.","הזינו בבקשה את מזהה החנות כדי לשלוח הודעות דואר אלקטרוני."
"Please specify a customer ID.","נא ציין מזהה הלקוח."
"Please specify a valid customer.","נא ציין לקוח חוקי."
"Created","נוצר"
"Updated","עודכן"
"Used","בשימוש"
"Refunded","זוכה"
"Reverted","להחזיר"
"You need a balance to save your balance history.","You need a balance to save your balance history."
"Order #%1","הזמנה #%1"
"There is no credit memo set to balance model.","אין סט תזכירי קרדיט למודל המאוזן."
"Order #%1, creditmemo #%2","סדר #%1, creditmemo #%2"
"Unknown balance history action code","Unknown balance history action code"
"There is no order set to balance model.","לא ידוע על סט הזמנה למודל המאוזן."
"You do not have enough store credit to complete this order.","אין לך מספיק קרדיט בחנות כדי להשלים את ההזמנה הזאת."
"You can't use more store credit than the order amount.","You can't use more store credit than the order amount."
"Store Credit Balance","יתרת קרדיט בחנות"
"Balance History","איזון היסטוריה"
"Refund Store Credit to Store Credit","החזר זיכוי על לזיכוי בחנות"
"Refund Money to Store Credit","החזר כסף לזיכוי בחנות"
"Refund to Store Credit","החזר לזיכוי בחנות"
"Use Store Credit (%1 available)","השתמש בזיכוי בחנות (%1 זמין)"
"Your balance is:","המאזן שלך הוא:"
"Use Store Credit","שימוש בזיכוי החנות"
"available","זמין"
"Remove","הסר"
"Refunded to Store Credit","החזר לזיכוי בחנות"
"Store Credit update","עדכון אשראי בחנות"
"%name,","%name,"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","עדכנו את החשבון <a href=""%store_url""> %store_name</a> שלך ויש לך אשראי שבו ניתן להשתמש עבור רכישות עתידיות."
"Your Store Credit balance is now %balance.","איזון הזיכוי שלך הוא כעת %balance."
"Store credit","Store credit"
"Store credit available","זיכוי חנות זמין"
"Your store credit was successfully applied","הזיכוי שלך הוחל בהצלחה"
"Store Credit Options","אפשרויות זיכוי בחנות"
"Enable Store Credit Functionality","אפשר פונקציונליות אשראי לחנות"
"Show Store Credit History to Customers","הצג היסטוריית קרדיט בחנות ללקוחות"
"Refund Store Credit Automatically","החזר זיכוי אוטומטי"
"Store Credit Update Email Sender","עדכון דואר אלטקרוני השולח עבור זיכוי בחנות"
"Store Credit Update Email Template","תבנית עדכון דואר אלטקרוני עבור זיכוי בחנות"
"A balance is needed to save a balance history.","A balance is needed to save a balance history."
"The balance history action code is unknown. Verify the code and try again.","The balance history action code is unknown. Verify the code and try again."
