"Store Credit","Crédito na Loja"
"Delete Orphan Balances","Remover Saldos Orfãos"
"Date","Data"
"Website","Site"
"Action","Ação"
"Balance Change","Alterações do Saldo"
"Balance","Saldo"
"Customer notified","Cliente notificado"
"Notified","Notificado"
"No","Não"
"More information","Mais informação"
"Update Balance","Atualizar Saldo"
"An amount on which to change the balance","O montante com que se irá modificar o saldo"
"Notify Customer by Email","Notificar Cliente por Email"
"Send Email Notification From the Following Store View","Enviar Notificação de Email A Partir da Seguinte Vista de Loja"
"Comment","Comentário"
"Failed to initialize customer","Falha a inicializar cliente"
"The store credit payment has been removed from shopping cart.","O pagamento com o crédito de loja foi removido do carrinho de compras."
"You are not using store credit in your shopping cart.","Não está a usar crédito de loja no seu carrinho de compras."
"Please set a website ID.","Por favor defina o ID do site."
"By admin: %1.","Pelo admin: %1."
"By admin: %1. (%2)","Pelo admin: %1. (%2)"
"Please also set the Store ID.","Por favor defina também o ID da Loja."
"Please enter a store ID to send email notifications.","Por favor introduza um ID de loja para enviar notificações de email."
"Please specify a customer ID.","Por favor especifique qual o ID de cliente."
"Please specify a valid customer.","Por favor indique um cliente válido."
"Created","Criado"
"Updated","Atualizado"
"Used","Utilizado"
"Refunded","Reembolsada"
"Reverted","Revertido"
"You need a balance to save your balance history.","You need a balance to save your balance history."
"Order #%1","Encomenda #%1"
"There is no credit memo set to balance model.","Não há nenhum conjunto de notas de crédito para o modelo de saldo."
"Order #%1, creditmemo #%2","Ordem #%1, nota de crédito #%2"
"Unknown balance history action code","Unknown balance history action code"
"There is no order set to balance model.","Não existe uma ordem definida para o modelo de saldo."
"You do not have enough store credit to complete this order.","Não tem crédito na loja suficiente para finalizar esta encomenda."
"You can't use more store credit than the order amount.","You can't use more store credit than the order amount."
"Store Credit Balance","Saldo de Crédito de Loja"
"Balance History","Histórico de Balanço"
"Refund Store Credit to Store Credit","Reembolsar Crédito de Loja para Crédito de Loja"
"Refund Money to Store Credit","Reembolsar Dinheiro para Crédito de Loja"
"Refund to Store Credit","Reembolsar para Crédito de Loja"
"Use Store Credit (%1 available)","Usar Crédito de Loja (%1 disponível)"
"Your balance is:","O seu saldo é:"
"Use Store Credit","Usar Crédito de Loja"
"available","disponível"
"Remove","Eliminar"
"Refunded to Store Credit","Reembolsado para Crédito de Loja"
"Store Credit update","Atualização de crédito da loja"
"%name,","%name,"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","Atualizámos a sua conta <a href=""%store_url"">%store_name</a> e tem agora crédito que pode usar em compras futuras."
"Your Store Credit balance is now %balance.","O seu Crédito de Loja é %balance."
"Store credit","Store credit"
"Store credit available","Crédito de loja disponível"
"Your store credit was successfully applied","O seu crédito de loja foi aplicado com sucesso"
"Store Credit Options","Opções de Crédito de Loja"
"Enable Store Credit Functionality","Ativar Funcionalidade de Crédito de Loja"
"Show Store Credit History to Customers","Mostrar Histórico de Crédito na Loja aos Clientes"
"Refund Store Credit Automatically","Reembolsar Crédito na Loja Automaticamente"
"Store Credit Update Email Sender","Remetente de Email para Atualização do Crédito de Loja"
"Store Credit Update Email Template","Template de Email para Atualização do Crédito de Loja"
"A balance is needed to save a balance history.","A balance is needed to save a balance history."
"The balance history action code is unknown. Verify the code and try again.","The balance history action code is unknown. Verify the code and try again."
