"Store Credit","Bolti hitel"
"Delete Orphan Balances","Árva egyenlegek törlése"
"Date","Dátum"
"Website","Honlap"
"Action","Akció"
"Balance Change","Egyenlegváltozás"
"Balance","Egyenleg"
"Customer notified","Vevő értesítve"
"Notified","Értesítve"
"No","Nem "
"More information","További információ"
"Update Balance","Egyenleg frissítése"
"An amount on which to change the balance","Az egyenleget módosító összeg"
"Notify Customer by Email","Vevő értesítése e-mailben"
"Send Email Notification From the Following Store View","Email értesítés küldése a következő bolt nézetből"
"Comment","Hozzászólás"
"Failed to initialize customer","A vevő inicializálása sikertelen"
"The store credit payment has been removed from shopping cart.","A bolti hitel fizetési mód eltávolításra került a bevásárlókosárból."
"You are not using store credit in your shopping cart.","Ön nem használja a bolti hitelt bevásárlókosarában."
"Please set a website ID.","Kérjük, állítsa be a weboldal-azonosítót!"
"By admin: %1.","Admin: %1."
"By admin: %1. (%2)","Admin: %1. (%2)"
"Please also set the Store ID.","Kérjük, állítsa be a boltazonosítót!"
"Please enter a store ID to send email notifications.","Kérjük, írja be a boltazonosítót az e-mail értesítés küldéséhez!"
"Please specify a customer ID.","Kérjük, adjon meg egy vásárlóazonosítót!"
"Please specify a valid customer.","Kérjük, adjon meg egy érvényes vásárlót!"
"Created","Létrehozva"
"Updated","Frissítve"
"Used","Használva"
"Refunded","Visszatérített"
"Reverted","Visszaszállítva"
"You need a balance to save your balance history.","You need a balance to save your balance history."
"Order #%1","Megrendelés #%1"
"There is no credit memo set to balance model.","Nincs jóváírás beállítva az egyenlegmodellhez."
"Order #%1, creditmemo #%2","Megrendelés #%1, jóváírás #%2"
"Unknown balance history action code","Unknown balance history action code"
"There is no order set to balance model.","Nincs megrendelés beállítva az egyenlegmodellhez."
"You do not have enough store credit to complete this order.","Önnek nincs elegendő bolti hitele, hogy feladhassa e megrendelést."
"You can't use more store credit than the order amount.","You can't use more store credit than the order amount."
"Store Credit Balance","Bolti hitel egyenlege"
"Balance History","Egyenlegelőzmények"
"Refund Store Credit to Store Credit","Bolti hitel visszatérítése a bolti hitelbe"
"Refund Money to Store Credit","Pénz visszatérítése a bolti hitelbe"
"Refund to Store Credit","Visszatérítés bolti hitelbe"
"Use Store Credit (%1 available)","Bolti hitel felhasználása (%1 elérhető)"
"Your balance is:","Az Ön egyenlege:"
"Use Store Credit","Bolti hitel használata"
"available","elérhető"
"Remove","Eltávolítás"
"Refunded to Store Credit","Visszatérítve a bolti hitelbe"
"Store Credit update","Bolti hitel frissítése"
"%name,","%name,"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","Frissítettük az Ön <a href=""%store_url""> %store_name</a> fiókját; Önnek van jövőbeli vásárlásainál felhasználható hitelkerete."
"Your Store Credit balance is now %balance.","Az Ön bolti hitelegyenlege jelenleg %balance."
"Store credit","Store credit"
"Store credit available","Bolti hitel elérhető"
"Your store credit was successfully applied","Az Ön bolti hitele alkalmazásra került"
"Store Credit Options","Bolti hitellehetőségek"
"Enable Store Credit Functionality","Bolti hitelfunkció bekapcsolása"
"Show Store Credit History to Customers","Bolti hiteltörténet megjelenítése a vevőknek"
"Refund Store Credit Automatically","Bolti hitel automatikus visszatérítése"
"Store Credit Update Email Sender","Bolti hitel frissüléséről küldött e-mail feladója"
"Store Credit Update Email Template","Bolti hitel frissüléséről küldött e-mail sablonja"
"A balance is needed to save a balance history.","A balance is needed to save a balance history."
"The balance history action code is unknown. Verify the code and try again.","The balance history action code is unknown. Verify the code and try again."
