"Store Credit","Crédito de tienda"
"Delete Orphan Balances","Eliminar saldos huérfanos"
"Date","Fecha"
"Website","Página web"
"Action","Acción"
"Balance Change","Modificación de saldo"
"Balance","Saldo"
"Customer notified","Cliente notificado"
"Notified","Notificado"
"No","No 	"
"More information","Más información"
"Update Balance","Actualizar saldo"
"An amount on which to change the balance","Una cantidad en la que modificar el equilibrio"
"Notify Customer by Email","Notificar al cliente por correo electrónico"
"Send Email Notification From the Following Store View","Enviar notificación por correo electrónico de las siguientes Vista de Tienda"
"Comment","Comentario"
"Failed to initialize customer","Falló la inicialización de cliente"
"The store credit payment has been removed from shopping cart.","El pago mediante tarjeta de crédito se ha eliminado de su carrito de compra."
"You are not using store credit in your shopping cart.","No estás utilizando crédito de la tienda en tu carrito de compra."
"Please set a website ID.","Por favor establezca un ID de sitio Web."
"By admin: %1.","Por admin: %1."
"By admin: %1. (%2)","Por admin: %1. (%2)"
"Please also set the Store ID.","También configure el ID de la tienda."
"Please enter a store ID to send email notifications.","Por favor, introduzca un ID de tienda para enviar notificaciones por correo electrónico."
"Please specify a customer ID.","Por favor especifique un ID de cliente."
"Please specify a valid customer.","Por favor especifique a un cliente válido."
"Created","Creado"
"Updated","Actualizado"
"Used","Utilizado"
"Refunded","Reembolsado"
"Reverted","Revertido"
"You need a balance to save your balance history.","You need a balance to save your balance history."
"Order #%1","Pedido #%1"
"There is no credit memo set to balance model.","No hay ninguna credit memo a fijar para balancear modelo."
"Order #%1, creditmemo #%2","Orden #%1, creditmemo #%2"
"Unknown balance history action code","Unknown balance history action code"
"There is no order set to balance model.","No hay un orden establecido para balancear el modelo."
"You do not have enough store credit to complete this order.","No tienes suficiente crédito de la tienda para completar este pedido."
"You can't use more store credit than the order amount.","You can't use more store credit than the order amount."
"Store Credit Balance","Saldo de crédito de la tienda"
"Balance History","Historial de saldo"
"Refund Store Credit to Store Credit","El reembolso de crédito de la tienda a crédito de la tienda"
"Refund Money to Store Credit","Reembolso de dinero a crédito de la tienda"
"Refund to Store Credit","Reembolsar a crédito de tienda"
"Use Store Credit (%1 available)","Usar crédito de la tienda (%1 disponibles)"
"Your balance is:","Su saldo:"
"Use Store Credit","Usar Crédito de tienda"
"available","disponible"
"Remove","Quitar"
"Refunded to Store Credit","Reembolsar a crédito de tienda"
"Store Credit update","Actualización de crédito de la tienda"
"%name,","%nombre,"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","Hemos actualizado su cuenta <a href=""%store_url""> %store_name</a> y tienes crédito que puede utilizar para futuras compras."
"Your Store Credit balance is now %balance.","Su saldo de crédito de la tienda es ahora %balance."
"Store credit","Store credit"
"Store credit available","Saldo de crédito de la tienda"
"Your store credit was successfully applied","Su crédito de la tienda fue aplicado con éxito"
"Store Credit Options","Opciones de crédito de la tienda"
"Enable Store Credit Functionality","Habilitar funcionalidad del almacén de Crédito"
"Show Store Credit History to Customers","Mostrar historial de crédito de la tienda a los clientes"
"Refund Store Credit Automatically","Reembolso de crédito automáticamente en tienda"
"Store Credit Update Email Sender","Actualizar créditos de la tienda Email Sender"
"Store Credit Update Email Template","Plantilla del correo electrónico Actualizar Credito de Tienda"
"A balance is needed to save a balance history.","A balance is needed to save a balance history."
"The balance history action code is unknown. Verify the code and try again.","The balance history action code is unknown. Verify the code and try again."
