"Store Credit","اعتبار فروشگاه"
"Delete Orphan Balances","حذف حساب های بدون پشتوانه"
"Date","تاریخ"
"Website","وب سایت"
"Action","اقدام"
"Balance Change","تغيير موجودی"
"Balance","موجودی"
"Customer notified","به مشتری اطلاع داده شده است"
"Notified","آگاه شده"
"No","خیر"
"More information","اطلاعات بیشتر"
"Update Balance","به روز رسانی موجودی"
"An amount on which to change the balance","موجودی حساب را براساس این مقدار تغییر بده"
"Notify Customer by Email","آگاه‌سازی مشتری توسط ایمیل"
"Send Email Notification From the Following Store View","ارسال ایمیل اطلاع رسانی از نمای فروشگاه زیر"
"Comment","نظر"
"Failed to initialize customer","راه اندازی مشتری ناموفق بود"
"The store credit payment has been removed from shopping cart.","پرداخت اعتباری فروشگاه از سبد خرید حذف شده است."
"You are not using store credit in your shopping cart.","شما از اعتبار فروشگاه در سبد خرید خود استفاده نمی کنید."
"Please set a website ID.","لطفا شناسه وب سایت را تنظیم کنید."
"By admin: %1.","توسط مدیر: %1."
"By admin: %1. (%2)","توسط مدیر: %1. (%2)"
"Please also set the Store ID.","لطفا شناسه فروشگاه را نیز تنظیم کنید."
"Please enter a store ID to send email notifications.","لطفا برای ارسال اطلاعیه های ایمیل شناسه فروشگاه را وارد کنید."
"Please specify a customer ID.","لطفا شناسه مشتری را مشخص کنید."
"Please specify a valid customer.","لطفا یک مشتری معتبر مشخص کنید."
"Created","ايجاد شد"
"Updated","به روز رسانی شده"
"Used","استفاده شده"
"Refunded","مسترد"
"Reverted","برگردانده شده"
"You need a balance to save your balance history.","You need a balance to save your balance history."
"Order #%1","سفارش #%1"
"There is no credit memo set to balance model.","هیچ اعلامیه بستانکاری برای مدل موجودی تنظیم نشده است."
"Order #%1, creditmemo #%2","سفارش%1# اعلامیه بستانکار #%2"
"Unknown balance history action code","Unknown balance history action code"
"There is no order set to balance model.","هیچ سفارشی برای مدل موجودی تنظیم نشده است."
"You do not have enough store credit to complete this order.","برای تکمیل این سفارش اعتبار کافی ندارید."
"You can't use more store credit than the order amount.","You can't use more store credit than the order amount."
"Store Credit Balance","موجودی اعتبار فروشگاه"
"Balance History","تاریخچه موجودی"
"Refund Store Credit to Store Credit","استرداد اعتبار به اعتبار فروشگاه"
"Refund Money to Store Credit","استرداد پول به اعتبار فروشگاه"
"Refund to Store Credit","استرداد به اعتبار فروشگاه"
"Use Store Credit (%1 available)","استفاده از اعتبار فروشگاه (%1 موجود)"
"Your balance is:","موجودی شما:"
"Use Store Credit","استفاده از اعتبار فروشگاه"
"available","موجود"
"Remove","برداشتن"
"Refunded to Store Credit","استرداد به اعتبار فروشگاه"
"Store Credit update","به روز رسانی اعتبار فروشگاه"
"%name,","%name"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","ما حساب کاربری <a href=""%store_url"">%store_name</a> شما را به روز کردیم و برای خریدهای آینده می توانید از اعتبار حسابتان استفاده کنید."
"Your Store Credit balance is now %balance.","موجودی اعتبار شما در حال حاضر %balance است."
"Store credit","Store credit"
"Store credit available","اعتبار فروشگاه موجود"
"Your store credit was successfully applied","اعتبار فروشگاه شما با موفقیت اعمال شد"
"Store Credit Options","گزینه های اعتبار فروشگاه"
"Enable Store Credit Functionality","فعالسازی قابلیت اعتبار فروشگاه"
"Show Store Credit History to Customers","نمایش تاریخچه اعتبار فروشگاه برای مشتریان"
"Refund Store Credit Automatically","استرداد اعتبار فروشگاه به صورت خودکار"
"Store Credit Update Email Sender","فرستنده ایمیل به روز رسانی اعتبار فروشگاه"
"Store Credit Update Email Template","قالب ایمیل به روز رسانی اعتبار فروشگاه"
"A balance is needed to save a balance history.","A balance is needed to save a balance history."
"The balance history action code is unknown. Verify the code and try again.","The balance history action code is unknown. Verify the code and try again."
