"Store Credit","ストアクレジット"
"Delete Orphan Balances","孤立した残高を削除"
"Date","日付"
"Website","ウェブサイト"
"Action","アクション"
"Balance Change","残高変更"
"Balance","残高"
"Customer notified","顧客への通知"
"Notified","通知済"
"No","No"
"More information","詳細情報"
"Update Balance","残高更新"
"An amount on which to change the balance","残高を変更する額"
"Notify Customer by Email","メールで顧客に通知する"
"Send Email Notification From the Following Store View","以下のストアビューからメール通知を送信"
"Comment","コメント"
"Failed to initialize customer","顧客の初期化に失敗しました"
"The store credit payment has been removed from shopping cart.","ストアクレジットをカートから削除しました。"
"You are not using store credit in your shopping cart.","ショッピングカートで店舗クレジットを使用していません。"
"Please set a website ID.","ウェブサイトIDを設定してください。"
"By admin: %1.","管理者: %1."
"By admin: %1. (%2)","管理者：%1(%2)"
"Please also set the Store ID.","店舗IDも設定してください。"
"Please enter a store ID to send email notifications.","電子メール通知を送信するには店舗IDを入力してください"
"Please specify a customer ID.","顧客IDを指定してください。"
"Please specify a valid customer.","有効な顧客を指定してください。"
"Created","作成済"
"Updated","更新"
"Used","使用済"
"Refunded","返金"
"Reverted","回復済"
"You need a balance to save your balance history.","残高履歴を保存するには残高が必要です。"
"Order #%1","注文 #%1"
"There is no credit memo set to balance model.","残高モデルに設定されたクレジットメモはありません。"
"Order #%1, creditmemo #%2","注文 #%1, クレジットメモ #%2"
"Unknown balance history action code","不明な残高履歴アクションコード"
"There is no order set to balance model.","残高モデルにセットされた注文がありません。"
"You do not have enough store credit to complete this order.","この注文を完了するのに十分な店舗クレジットがありません。"
"You can't use more store credit than the order amount.","注文金額より多いストア クレジットを使用できません。"
"Store Credit Balance","ストアクレジット残高"
"Balance History","残高履歴"
"Refund Store Credit to Store Credit","ストアクレジットをストアクレジットに返金する"
"Refund Money to Store Credit","返金をストアクレジットで行う"
"Refund to Store Credit","ストアクレジットに返金する"
"Use Store Credit (%1 available)","店舗クレジットを使用する（%1 利用可能）"
"Your balance is:","残高は:"
"Use Store Credit","ストアクレジットを使用する"
"available","利用可能"
"Remove","削除"
"Refunded to Store Credit","ストアクレジットに返金済"
"Store Credit update","ストアクレジット更新"
"%name,","%name,"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","<a href=""%store_url"">%store_name</a>アカウントを更新しました。今後の購入に使用できるクレジットがあります。"
"Your Store Credit balance is now %balance.","あなたの店のクレジット残高は現在 %balance 。"
"Store credit","店舗クレジット"
"Store credit available","利用可能な店舗クレジット"
"Your store credit was successfully applied","店舗のクレジットが正常に適用されました"
"Store Credit Options","ストアクレジットオプション"
"Enable Store Credit Functionality","ストアクレジット機能を有効にする"
"Show Store Credit History to Customers","顧客のストアクレジット履歴を表示する"
"Refund Store Credit Automatically","自動でストアクレジットに返金する"
"Store Credit Update Email Sender","ストアクレジット更新メール送信者"
"Store Credit Update Email Template","ストアクレジット更新メールテンプレート"
"A balance is needed to save a balance history.","残高履歴を保存するためには残高が必要です。"
"The balance history action code is unknown. Verify the code and try again.","残高履歴アクションコードが不明です。コードを確認して再度お試し下さい。"
