"Store Credit","Tiền trong store"
"Delete Orphan Balances","Xóa số dư lẻ"
"Date","Ngày"
"Website","Trang web"
"Action","Thao tác"
"Balance Change","Thay đổi số dư"
"Balance","Số dư"
"Customer notified","Khách hàng được thông báo"
"Notified","Thông báo"
"No","Không"
"More information","Biết thêm thông tin"
"Update Balance","Cập Nhật số dư"
"An amount on which to change the balance","Một số tiền mà trên đó để thay đổi sự cân bằng"
"Notify Customer by Email","Thông báo cho khách hàng bằng Email"
"Send Email Notification From the Following Store View","Gửi Email thông báo từ các cửa hàng dưới đây"
"Comment","Bình luận"
"Failed to initialize customer","Thất bại khi phê duyệt khách hàng"
"The store credit payment has been removed from shopping cart.","Thanh toán bằng tín dụng lưu trữ đã được gỡ bỏ khỏi giỏ mua hàng."
"You are not using store credit in your shopping cart.","Bạn không sử dụng tín dụng lưu trữ trong giỏ hàng của bạn."
"Please set a website ID.","Xin vui lòng thiết lập một trang web."
"By admin: %1.","Bởi: admin: %1."
"By admin: %1. (%2)","Bởi: admin: %1. (%2)"
"Please also set the Store ID.","Xin vui lòng cũng thiết lập cửa hàng ID."
"Please enter a store ID to send email notifications.","Vui lòng nhập một ID store để gửi email thông báo."
"Please specify a customer ID.","Vui lòng xác định một ID khách hàng."
"Please specify a valid customer.","Vui lòng xác định một khách hàng hợp lệ."
"Created","Đã tạo"
"Updated","Đã cập nhật"
"Used","Đã sử dụng"
"Refunded","Đã hoàn trả"
"Reverted","Trở lại"
"You need a balance to save your balance history.","You need a balance to save your balance history."
"Order #%1","Đơn hàng #%1"
"There is no credit memo set to balance model.","Có là không có memo tín dụng thiết lập cân bằng mô hình."
"Order #%1, creditmemo #%2","Đơn đặt hàng #%1, bản ghi nhớ thẻ tín dụng #%2"
"Unknown balance history action code","Unknown balance history action code"
"There is no order set to balance model.","Không có đơn hàng nào đặt chế độ số dư."
"You do not have enough store credit to complete this order.","Bạn không có đủ tín dụng cửa hàng để hoàn thành đơn đặt hàng này."
"You can't use more store credit than the order amount.","You can't use more store credit than the order amount."
"Store Credit Balance","Số dư cửa hàng tín dụng"
"Balance History","Lịch sử số dư"
"Refund Store Credit to Store Credit","Hoàn trả lại cửa hàng tín dụng"
"Refund Money to Store Credit","Hoàn trả lại tiền cho cửa hàng tín dụng"
"Refund to Store Credit","Hoàn trả lại cửa hàng tín dụng"
"Use Store Credit (%1 available)","Sử dụng cửa hàng tín dụng (%1 có sẵn)"
"Your balance is:","Số dư của bạn là:"
"Use Store Credit","Sử dụng cửa hàng tín dụng"
"available","có sẵn"
"Remove","Loại bỏ"
"Refunded to Store Credit","Đã hoàn trả lại cửa hàng tín dụng"
"Store Credit update","Cập Nhật Cửa hàng tín dụng"
"%name,","%name,"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","Chúng tôi đã cập nhật tài khoản <a href=""%store_url""> %store_name</a> của bạn và bạn có tín dụng mà có thể dùng cho việc mua bán trong tương lai."
"Your Store Credit balance is now %balance.","Số dư tín dụng cửa hàng của bạn bây giờ là %balance."
"Store credit","Store credit"
"Store credit available","Cửa hàng tín dụng có sẵn"
"Your store credit was successfully applied","Cửa hàng tín dụng của bạn được áp dụng thành công"
"Store Credit Options","Tùy chọn Cửa hàng tín dụng"
"Enable Store Credit Functionality","Kích hoạt tính năng cửa hàng tín dụng"
"Show Store Credit History to Customers","Hiển thị lịch sử Cửa hàng tín dụng cho khách hàng"
"Refund Store Credit Automatically","Tự động Hoàn trả tín dụng cửa hàng"
"Store Credit Update Email Sender","Người gửi Email Cập Nhật Cửa hàng tín dụng"
"Store Credit Update Email Template","Mẫu Email Cập Nhật Cửa hàng tín dụng"
"A balance is needed to save a balance history.","A balance is needed to save a balance history."
"The balance history action code is unknown. Verify the code and try again.","The balance history action code is unknown. Verify the code and try again."
