"Store Credit","Pulsa / Kredit Toko"
"Delete Orphan Balances","Hapus Uang Yatim Piatu"
"Date","Tanggal"
"Website","Situs web"
"Action","Tindakan"
"Balance Change","Perubahan Saldo"
"Balance","Saldo"
"Customer notified","Informasi pelanggan"
"Notified","Diberitahukan"
"No","Tidak"
"More information","Informasi lebih lanjut"
"Update Balance","Perbarui Saldo"
"An amount on which to change the balance","Jumlah untuk mengubah saldo"
"Notify Customer by Email","Beritahu Pelanggan melalui Email"
"Send Email Notification From the Following Store View","Kirim Pemberitahuan Email Dari Tampilan Toko Berikut"
"Comment","Komentar"
"Failed to initialize customer","Gagal menginisialisasi pelanggan"
"The store credit payment has been removed from shopping cart.","Pembayaran kredit toko telah dihapus dari keranjang belanja."
"You are not using store credit in your shopping cart.","Anda tidak menggunakan kredit toko di keranjang belanja Anda."
"Please set a website ID.","Silakan tetapkan ID situs web."
"By admin: %1.","Oleh admin: %1."
"By admin: %1. (%2)","Oleh admin: %1. (%2)"
"Please also set the Store ID.","Silakan juga atur ID Toko."
"Please enter a store ID to send email notifications.","Silakan masukkan ID toko untuk mengirim notifikasi email."
"Please specify a customer ID.","Silakan tentukan ID pelanggan."
"Please specify a valid customer.","Silakan tentukan pelanggan yang valid."
"Created","Dibuat"
"Updated","Diperbarui"
"Used","Bekas"
"Refunded","Dikembalikan"
"Reverted","Dikembalikan"
"You need a balance to save your balance history.","You need a balance to save your balance history."
"Order #%1","Pesan #%1"
"There is no credit memo set to balance model.","Tidak ada memo kredit yang disetel ke model saldo."
"Order #%1, creditmemo #%2","Pesanan #%1, creditmemo #%2"
"Unknown balance history action code","Unknown balance history action code"
"There is no order set to balance model.","Tidak ada memo kredit yang disetel ke model saldo."
"You do not have enough store credit to complete this order.","Anda tidak memiliki cukup kredit untuk menyelesaikan pesanan ini."
"You can't use more store credit than the order amount.","You can't use more store credit than the order amount."
"Store Credit Balance","Saldo Kredit Toko"
"Balance History","Riwayat Saldo"
"Refund Store Credit to Store Credit","Mengembalikan kartu hadiah untuk kredit"
"Refund Money to Store Credit","Pengembalian Uang untuk Menyimpan Kredit"
"Refund to Store Credit","Pengembalian dana untuk menyimpan kredit"
"Use Store Credit (%1 available)","Gunakan Kredit Store (%1 tersedia)"
"Your balance is:","Saldo Anda adalah:"
"Use Store Credit","Gunakan Kredit Store"
"available","tersedia"
"Remove","Hapus"
"Refunded to Store Credit","Dikembalikan ke Toko Kredit"
"Store Credit update","Simpan pembaruan Kredit"
"%name,","%nama,"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","Kami telah memperbarui akun <a href=""%store_url""> %store_name </a> Anda dan Anda memiliki kredit yang dapat Anda gunakan untuk pembelian di masa mendatang."
"Your Store Credit balance is now %balance.","Saldo Kredit Toko Anda sekarang adalah %balance."
"Store credit","Store credit"
"Store credit available","Simpan kredit yang tersedia"
"Your store credit was successfully applied","Kredit toko Anda berhasil diterapkan"
"Store Credit Options","Simpan Pilihan Kredit"
"Enable Store Credit Functionality","Aktifkan Fungsi Kredit Store"
"Show Store Credit History to Customers","Tampilkan Sejarah Kredit Simpan ke Pelanggan"
"Refund Store Credit Automatically","Pengembalian kredit toko secara otomatis"
"Store Credit Update Email Sender","Simpan Kredit Update Email Pengirim"
"Store Credit Update Email Template","Simpan Template Email Pembaruan Kredit"
"A balance is needed to save a balance history.","A balance is needed to save a balance history."
"The balance history action code is unknown. Verify the code and try again.","The balance history action code is unknown. Verify the code and try again."
