"Store Credit","Kredyt w sklepie"
"Delete Orphan Balances","Usuń bilans sierot"
"Date","Data"
"Website","Witryna"
"Action","Operacja"
"Balance Change","Zmiana bilansu"
"Balance","Bilans"
"Customer notified","Klient powiadomiony"
"Notified","Powiadomiony"
"No","Nie"
"More information","Więcej informacji"
"Update Balance","Aktualizacja salda"
"An amount on which to change the balance","Kwota zmiany bilansu"
"Notify Customer by Email","Powiadom klienta przez e-mail"
"Send Email Notification From the Following Store View","Wyślij powiadomienie e-mail z następującego widoku sklepu"
"Comment","Komentarz"
"Failed to initialize customer","Nie można zainicjować klienta"
"The store credit payment has been removed from shopping cart.","Płatność kredytem kupieckim została usunięta z koszyka."
"You are not using store credit in your shopping cart.","Nie używasz kredytu sklepu w koszyku."
"Please set a website ID.","Wprowadź ID witryny."
"By admin: %1.","Przez Administratora: %1."
"By admin: %1. (%2)","Przez Administratora: %1. (%2)"
"Please also set the Store ID.","Podaj także ID sklepu."
"Please enter a store ID to send email notifications.","Wprowadź identyfikator sklepu do wysyłania powiadomień e-mail."
"Please specify a customer ID.","Proszę podać identyfikator klienta."
"Please specify a valid customer.","Określ prawidłowego klienta."
"Created","Utworzono"
"Updated","Zaktualizowano"
"Used","Wykorzystane"
"Refunded","Zwrócone"
"Reverted","Odwrócony"
"You need a balance to save your balance history.","You need a balance to save your balance history."
"Order #%1","Zamówienie #%1"
"There is no credit memo set to balance model.","Brak noty kredytowej przypisanej do modelu wyliczania sumy koszyka."
"Order #%1, creditmemo #%2","Zamówienie nr %1, korekta nr %2"
"Unknown balance history action code","Unknown balance history action code"
"There is no order set to balance model.","Brak zamówienia przypisanego do modelu wyliczania sumy koszyka."
"You do not have enough store credit to complete this order.","Nie masz wystarczająco dużo kredytu sklepu do wykonania niniejszego zamówienia."
"You can't use more store credit than the order amount.","You can't use more store credit than the order amount."
"Store Credit Balance","Saldo kredytu kupieckiego"
"Balance History","Historia bilansu"
"Refund Store Credit to Store Credit","Zwrócony kredyt kupiecki będzie przechowywany w kredycie kupieckim"
"Refund Money to Store Credit","Zwrot pieniędzy na konto kredytu kupieckiego"
"Refund to Store Credit","Zwrot na konto kredytu kupieckiego"
"Use Store Credit (%1 available)","Wykorzysta kredyt sklepowy (dostępne %1)"
"Your balance is:","Saldo:"
"Use Store Credit","Użyj kredytu kupieckiego"
"available","dostępne"
"Remove","Usuń"
"Refunded to Store Credit","Zwrócono na konto kredytu kupieckiego"
"Store Credit update","Aktualizacja salda kredytowego"
"%name,","%name,"
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.","Zaktualizowaliśmy twoje <a href=""%store_url""> %store_name</a> konto i masz kredyt, którego możesz użyć płacąc za przyszłe zakupy."
"Your Store Credit balance is now %balance.","Twój Kredyt Sklepu wynosi teraz %balance."
"Store credit","Store credit"
"Store credit available","Dostępny kredyt sklepu"
"Your store credit was successfully applied","Pomyślnie zastosowano kartę kredytową w sklepie"
"Store Credit Options","Opcje kredytu kupieckiego"
"Enable Store Credit Functionality","Włącz kredyt kupiecki"
"Show Store Credit History to Customers","Pokaż klientom historię kredytu kupieckiego"
"Refund Store Credit Automatically","Zwróć kredyt kupiecki automatycznie"
"Store Credit Update Email Sender","Nadawca wiadomości e-mail o aktualizacji kredytu kupieckiego"
"Store Credit Update Email Template","Szablon wiadomości e-mail o aktualizacji kredytu kupieckiego"
"A balance is needed to save a balance history.","A balance is needed to save a balance history."
"The balance history action code is unknown. Verify the code and try again.","The balance history action code is unknown. Verify the code and try again."
