"All Payment Methods","සියලුම ගෙවීම් ක්‍රම"
"Specific Payment Methods","Specific Payment Methods"
"B2B Payment Methods","B2B ගෙවීම් ක්‍රම"
"All Enabled Payment Methods","සියලුම සක්‍රීය ගෙවීම් ක්‍රම"
" (disabled)"," (ආබාධිත)"
"Payment Information","ගෙවීම් තොරතුරු"
"Available Payment Methods","ලබා ගත හැකි ගෙවීම් ක්‍රම"
"This company has no payment methods. Please contact store administrator.","මෙම සමාගමට ගෙවීම් ක්‍රම නොමැත. කරුණාකර ගබඩා පරිපාලක අමතන්න."
"Default B2B Payment Methods","පෙරනිමි B2B ගෙවීම් ක්‍රම"
"Applicable Payment Methods","අදාළ ගෙවීම් ක්‍රම"
"Payment Methods","ගෙවීමේ ක්රමවේද"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","පෙරනිමියෙන්, සියලුම නව සමාගම් සඳහා තෝරාගත් ගෙවීම් ක්‍රම තිබේ. ඔබේ Magento වෙබ් අඩවියට වෙබ් අඩවි කිහිපයක් තිබේ නම්, විශේෂිත වෙබ් අඩවියක ගැනුම්කරුට එම වෙබ් අඩවිය සඳහා පමණක් පවතින ක්‍රමවලින් ගෙවීමට හැකි වනු ඇත."
"Payment Information (View)","ගෙවීම් තොරතුරු (බලන්න)"
"Use config settings","වින්‍යාස සැකසුම් භාවිතා කරන්න"
