"All Payment Methods","Све Плаћање Метходс"
"Specific Payment Methods","Специфиц Плаћање Метходс"
"B2B Payment Methods","Б2Б Плаћање Метходс"
"All Enabled Payment Methods","Све Омогућен Плаћање Метходс"
" (disabled)","(дисаблед)"
"Payment Information","Информације о Плаћању"
"Available Payment Methods","Аваилабле Плаћање Метходс"
"This company has no payment methods. Please contact store administrator.","This company has no payment methods. Please contact store administrator."
"Default B2B Payment Methods","Подразумевано Б2Б Плаћање Метходс"
"Applicable Payment Methods","Апплицабле Плаћање Метходс"
"Payment Methods","Плаћање Метходс"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only."
"Payment Information (View)","Плаћање Информације (Преглед)"
"Use config settings","Use config settings"
