"All Payment Methods","Sve Plaćanje Methods"
"Specific Payment Methods","Specific Plaćanje Methods"
"B2B Payment Methods","B2B Plaćanje Methods"
"All Enabled Payment Methods","Sve Omogućen Plaćanje Methods"
" (disabled)","(disabled)"
"Payment Information","Informacije o Plaćanju"
"Available Payment Methods","Available Plaćanje Methods"
"This company has no payment methods. Please contact store administrator.","This company has no payment methods. Please contact store administrator."
"Default B2B Payment Methods","Podrazumevano B2B Plaćanje Methods"
"Applicable Payment Methods","Applicable Plaćanje Methods"
"Payment Methods","Plaćanje Methods"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only."
"Payment Information (View)","Plaćanje Informacije (Pregled)"
"Use config settings","Use config settings"
