"Payment Type","支付方式"
"Transaction Type","交易类型"
"Transaction ID","交易记录 ID"
"BeagleScore","BeagleScore"
"CVV Verification","CVV验证"
"Address Verification","验证地址"
"Email Verification","电子邮件验证"
"Mobile Verification","移动核查"
"Phone Verification","电话核查"
"Card number","卡号"
"Expiration Date","过期日期"
"Response Code","响应代码"
"Fraud Message","欺诈邮件"
"Approve Message","批准的消息"
"Sorry, but something went wrong","对不起，但事情出了错"
"Wrong response type","错误的反应类型"
"Transaction has been declined. Please try again later.","交易记录已被拒绝。请稍后再试。"
"Authorize Only","仅供授权"
"Authorize and Capture","授权和获取"
"Credit Card Type","卡片验证号码"
"Credit Card Number","信用卡卡号"
"Card Verification Number","信用卡验证号码"
"eWAY","eWAY"
"Enabled","启动"
"Connection Type","连接类型"
"Title","标题"
"Sandbox Mode","沙盒模式"
"Live API Key","活的 API 密钥"
"Live API Password","活的 API 密码"
"Live Client-side Encryption Key","现场客户端加密密钥"
"Sandbox API Key","沙箱 API 密钥"
"Sandbox API Password","沙箱 API 密码"
"Sandbox Client-side Encryption Key","沙箱客户端加密密钥"
"Payment Action","支付行为"
"Debug","调试"
"Credit Card Types","信用卡类型"
"Payment from Applicable Countries","来自特定国家的付款"
"Payment from Specific Countries","具体国家的付款"
"Sort Order","排序"
"Transaction has been declined, please, try again later.","交易记录已被拒绝。请稍后再试。"
"Switch/Solo/Maestro Only","问题编号"
"Issue Number","发行号"
"Start Date","起始日期"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
