"System Backup","સિસ્ટમ બેકઅપ"
"Database and Media Backup","ડેટાબેઝ અને મીડિયા બેકઅપ"
"Database Backup","ડેટાબેઝ બેકઅપ"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Windows સિસ્ટમ્સ પર આર્કાઇવને <a href=""%1"">%2 </a> થી અસંગત કરી શકાય છે."
"You need more permissions to activate maintenance mode right now.","તમારે હમણાં જાળવણી મોડને સક્રિય કરવા માટે વધુ પરવાનગીઓની જરૂર છે."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","બેકઅપ બનાવવા માટે, કૃપા કરીને ""સ્ટોરને જાળવણી મોડમાં મૂકો"" ને નાપસંદ કરો અથવા તમારી પરવાનગીઓને અપડેટ કરો."
"Something went wrong while putting your store into maintenance mode.","તમારા સ્ટોરને જાળવણી મોડમાં મૂકતી વખતે કંઈક ખોટું થયું."
"You need more free space to create a backup.","બેકઅપ બનાવવા માટે તમારે વધુ ખાલી જગ્યાની જરૂર છે."
"You need more permissions to create a backup.","તમારે બેકઅપ બનાવવા માટે વધુ પરવાનગીઓની જરૂર છે."
"We can't create the backup right now.","અમે હમણાં બેકઅપ બનાવી શકતા નથી."
"Backups","બૅકઅપ્સ"
"System","સિસ્ટમ"
"Tools","સાધનો"
"Backup","બૅકઅપ"
"We can't delete one or more backups.","અમે એક અથવા વધુ બેકઅપ કાઢી શકતા નથી."
"failed","નિષ્ફળ"
"successful","સફળ"
"You deleted the selected backup(s).","તમે પસંદ કરેલ બેકઅપ કાઢી નાખ્યું છે."
"Can't load snapshot archive","સ્નેપશોટ આર્કાઇવ લોડ કરી શકાતું નથી"
"Please correct the password.","કૃપા કરી પાસવર્ડને સુધારો."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","રોલબેક પૂર્ણ કરવા માટે, કૃપા કરીને ""દુકાનને જાળવણી મોડમાં મૂકો"" ને નાપસંદ કરો અથવા તમારી પરવાનગીઓને અપડેટ કરો."
"We can't find the backup file.","અમે બેકઅપ ફાઇલ શોધી શકતા નથી."
"We can't connect to the FTP right now.","અમે અત્યારે FTP થી કનેક્ટ કરી શકતા નથી."
"Failed to validate FTP.","FTP માન્ય કરવા માટે નિષ્ફળ."
"You need more permissions to perform a rollback.","રોલબેક કરવા માટે તમને વધુ પરવાનગીઓની જરૂર છે."
"Failed to rollback.","રોલબેકમાં નિષ્ફળ"
"Database","ડેટાબેઝ"
"Database and Media","ડેટાબેઝ અને મીડિયા"
"System (excluding Media)","સિસ્ટમ (મીડિયા સિવાય)"
"You created the system backup.","તમે સિસ્ટમ બેકઅપ બનાવ્યું."
"You created the system backup (excluding media).","તમે સિસ્ટમ બેકઅપ (મીડિયાને બાદ કરતા) બનાવ્યું છે."
"You created the database and media backup.","તમે ડેટાબેઝ અને મીડિયા બેકઅપ બનાવ્યું."
"You created the database backup.","તમે ડેટાબેઝ બેકઅપ બનાવ્યું."
"Please correct the order of creation for a new backup.","કૃપા કરીને નવા બેકઅપ માટે નિર્માણના ક્રમમાં સુધારો કરો."
