"System Backup","ವ್ಯವಸ್ಥೆ ಬ್ಯಾಕಪ್"
"Database and Media Backup","ಡೇಟಾಬೇಸ್ ಮತ್ತು ಮಾಧ್ಯಮ ಬ್ಯಾಕಪ್"
"Database Backup","ಡೇಟಾಬೇಸ್ ಬ್ಯಾಕಪ್"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems."
"You need more permissions to activate maintenance mode right now.","You need more permissions to activate maintenance mode right now."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions."
"Something went wrong while putting your store into maintenance mode.","Something went wrong while putting your store into maintenance mode."
"You need more free space to create a backup.","ಬ್ಯಾಕಪ್ ಅನ್ನು ರಚಿಸಲು ನಿಮಗೆ ಹೆಚ್ಚಿನ ಖಾಲಿ ಜಾಗದ ಅಗತ್ಯವಿದೆ."
"You need more permissions to create a backup.","ಬ್ಯಾಕಪ್ ಅನ್ನು ರಚಿಸಲು ನಿಮಗೆ ಹೆಚ್ಚಿನ ಅನುಮತಿಗಳ ಅಗತ್ಯವಿದೆ."
"We can't create the backup right now.","ನಮಗೆ ಸಧ್ಯಕ್ಕೆ ಬ್ಯಾಕಪ್ ಅನ್ನು ರಚಿಸಲಾಗಲಿಲ್ಲ."
"Backups","ಬ್ಯಾಕಪ್‍ಗಳು"
"System","ವ್ಯವಸ್ಥೆ"
"Tools","ಉಪಕರಣಗಳು"
"Backup","ಬ್ಯಾಕಪ್‍"
"We can't delete one or more backups.","ಒಂದಕ್ಕಿಂತ ಹೆಚ್ಚು ಬ್ಯಾಕಪ್ ಗಳನ್ನು ನಾವು ಅಳಿಸಲಾಗುವುದಿಲ್ಲ."
"failed","ವಿಫಲಗೊಂಡಿದೆ"
"successful","ಯಶಸ್ವಿಯಾಗಿದೆ"
"You deleted the selected backup(s).","ನೀವು ಆಯ್ಕೆಮಾಡಿದ ಬ್ಯಾಕಪ್(ಗಳ) ನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"Can't load snapshot archive","Can't load snapshot archive"
