"System Backup","Rezervna kopija sistema"
"Database and Media Backup","Baze podataka i rezervne kopija medija"
"Database Backup","Rezervna kopija baze podataka"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Arhiva može biti raspakovani sa <a href=""%1"">%2</a> na Windows sistemima."
"You need more permissions to activate maintenance mode right now.","Trebaju ti veće dozvole da biste odmah aktivirali režim održavanja."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Da biste napravili rezervnu kopiju, opozovite izbor „Stavi prodavnicu u režimu održavanja” ili ažurirajte vaše dozvole."
"Something went wrong while putting your store into maintenance mode.","Došlo je do greške pri stavljanju vaše prodavnice u režim održavanja."
"You need more free space to create a backup.","Potrebno vam je više slobodnog prostora za izradu rezervne kopije."
"You need more permissions to create a backup.","Potrebno vam je više dozvola za izradu rezervne kopije."
"We can't create the backup right now.","Trenutno je nemoguće kreirati rezervnu kopiju."
"Backups","Rezervne kopije"
"System","Sistem"
"Tools","Alati"
"Backup","Pravljenje rezervne kopije"
"We can't delete one or more backups.","Nemoguće obrisate jednu ili više rezervnih kopija."
"failed","neuspešno"
"successful","uspešno"
"You deleted the selected backup(s).","Obrisali ste izabranu(e) rezervnu(e) kopije."
"Can't load snapshot archive","Nemoguće učitati arhivu snimaka"
"Please correct the password.","Molim ispravite lozinku."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Da biste dovršili vraćanje, opozovite izbor „Stavi prodavnicu u režimu održavanja” ili ažurirajte vaše dozvole."
"We can't find the backup file.","Nemožemo pronaći fajl rezervne kopije."
"We can't connect to the FTP right now.","Trenutno se nemožemo povezati na FTP."
"Failed to validate FTP.","Neuspešna provera FTP."
"You need more permissions to perform a rollback.","Potrebno vam je više dozvola za izvršavanje vraćanja na prethodno."
"Failed to rollback.","Neuspešno vraćanje na prethodno."
"Database","Baza podataka"
"Database and Media","Baze podataka i medij"
"System (excluding Media)","Sistem (bez medija)"
"You created the system backup.","Kreirali ste rezervnu kopiju sistema."
"You created the system backup (excluding media).","Kreirali ste rezervnu kopiju sistema (bez medija)."
"You created the database and media backup.","Kreirali ste rezervne kopije baze podataka i medija."
"You created the database backup.","Kreirali ste rezervne kopije baze podataka."
"Please correct the order of creation for a new backup.","Molim vas ispravite redosled kreiranja nove rezervnu kopiju."
"The backup file does not exist.","Rezervna datoteka ne postoji."
"The backup file path was not specified.","Putanja do datoteke rezervne kopije nije navedena."
"The backup file ""%1"" does not exist.","Rezervna kopija „%1” ne postoji."
"Sorry, but we cannot read from or write to backup file ""%1"".","Izvini, ali ne može se promeniti sadržaj rezervne datoteke „%1”."
"The backup file handler was unspecified.","Program za čitanje sadržaja rezervne kopije je neodređen."
"Something went wrong while writing to the backup file ""%1"".","Nešto je krenulo naopako pri upisu u rezervnu datoteku „%1”."
"We can't save the Cron expression.","Nemožemo dačuvati Cron izraz."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Izgubi ćete sve podatke napravljene od kada je napravljena rezervna kopija, uključujući i podatke o korisnicima, kupcima i porudžbinama."
"Are you sure you want to continue?","Da li ste sigurni da želite da nastavite?"
"This may take a few moments.","Ovo bi moglo da potraje."
"Be sure your store is in maintenance mode during backup.","Budi siguran da je tvoja prodavnica u režimu održavanja tokom pravljenja rezervne kopije."
"Backup Name","Ime rezervne kopije"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Molimo koristite samo slova (a-z ili A-Z), brojeve (0-9) ili razmake u ovom polju."
"Maintenance mode","Režim Održavanja"
"Please put your store into maintenance mode during backup.","Molim vas, stavite vaše prodavnicu u režim održavanja za vreme izrade rezervne kopije."
"Exclude","Isključi"
"Exclude media folder from backup","Izuzmi fascikle medija iz rezervne kopije"
"Please enter the password to confirm rollback.","Molimo vas da unesete lozinku radi potvrde vraćanja na prethodno stanje."
"This action cannot be undone.","Ovu akciju nije moguće opozvati."
"User Password","Korisnička lozinka"
"Please put your store into maintenance mode during rollback processing.","Molim vas, stavite vašu prodavnicu u režim održavanja za vreme vraćanja na prethodno stanje."
"FTP","FTP"
"Use FTP Connection","Koristite FTP vezu"
"FTP credentials","Akreditivi za FTP"
"FTP Host","FTP Domaćin"
"FTP Login","FTP prijava"
"FTP Password","FTP lozinka"
"Magento root directory","Magento korenski direktorijum"
"Create Backup","Kreiranje rezervne kopije"
"Rollback","Vraćanje na prethodno stanje"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Omogući planirano pravljenje rezervne kopije"
"Backup Type","Backup Type"
"Start Time","Vreme početka"
"Frequency","Učestalost"
"Maintenance Mode","Režim Održavanja"
"Delete","Obrisati"
"Are you sure you want to delete the selected backup(s)?","Sigurni ste da želite da izbrišete izabran(e) backup(e)?"
"Time","Vreme"
"Name","Ime"
"Size(bytes)","Veličina(bytes)"
"Type","Tip"
"Download","Preuzimanje"
"Action","Akcija"
"Backup functionality is disabled","Backup functionality is disabled"
"Backup Settings","Backup Settings"
"Enable Backup","Enable Backup"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Disabled by default for security reasons"
