"System Backup","پشتیبان سیستم"
"Database and Media Backup","پشتيبان پايگاه داده و رسانه"
"Database Backup","پشتيبان گيري پايگاه داده"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","بایگانی می تواند توسط <a href=""%1"">%2</a> در سیستم های ویندوز از حالت فشرده خارج شود."
"You need more permissions to activate maintenance mode right now.","برای فعال کردن حالت تعمیر و نگهداری در حال حاضر به دسترسی بالاتری نیاز دارید."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","برای ایجاد پشتیبان، لطفا گزینه ""قرار دادن فروشگاه به حالت تعمیر و نگهداری"" را غیرفعال کنید یا با دسترسی بالاتری وارد شوید."
"Something went wrong while putting your store into maintenance mode.","در هنگام قرار دادن فروشگاه در حالت تعمیر و نگهداری اشتباهی رخ داد."
"You need more free space to create a backup.","برای تهیه نسخه پشتیبان نیاز به فضای بیشتری دارید."
"You need more permissions to create a backup.","برای ایجاد پشتیبان نیاز به دسترسی بالاتری دارید."
"We can't create the backup right now.","ما اکنون نمی توانیم پشتیبان را ایجاد کنیم."
"Backups","پشتیبان ها"
"System","سيستم"
"Tools","ابزارها"
"Backup","پشتیبان"
"We can't delete one or more backups.","ما نمی توانیم یک یا چند پشتیبان را حذف کنیم."
"failed","ناموفق"
"successful","موفق"
"You deleted the selected backup(s).","پشتیبان(های) انتخاب شده را حذف کرده اید."
"Can't load snapshot archive","قادر به بارگیری عکس فوری بایگانی نمی باشد"
"Please correct the password.","لطفا رمز عبور را اصلاح کنید."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","برای تکمیل باز گرداندن، لطفا گزینه ""قرار دادن فروشگاه در حالت تعمیر و نگهداری"" را غیرفعال کنید یا با دسترسی بالاتری وارد شوید."
"We can't find the backup file.","پرونده پشتیبان را پیدا نمی کنیم."
"We can't connect to the FTP right now.","اکنون نمیتوانیم به FTP وصل شویم."
"Failed to validate FTP.","ناموفق در تأیید اعتبار FTP."
"You need more permissions to perform a rollback.","برای انجام بازگرداندن نیاز به دسترسی بالاتری دارید."
"Failed to rollback.","ناموفق در بازگرداندن."
"Database","پایگاه داده"
"Database and Media","پايگاه داده و رسانه"
