"System Backup","Záloha systému"
"Database and Media Backup","Záloha databáze a médií"
"Database Backup","Záloha databáze"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","V systémech Windows lze rozbalit v <a href=""%1"">%2</a>."
"You need more permissions to activate maintenance mode right now.","Ke spuštění režimu údržby nemáte potřebná oprávnění."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Chcete-li v zálohování pokračovat, zrušte zaškrtnutí ""Přepnout obchod do režimu údržby"" nebo upravte svá oprávnění."
"Something went wrong while putting your store into maintenance mode.","Při přepnutí obchodu do režimu údržby nastala chyba."
"You need more free space to create a backup.","K vytvoření zálohy potřebujete více volného prostoru na disku."
"You need more permissions to create a backup.","K vytvoření zálohy potřebujete vyšší oprávnění."
"We can't create the backup right now.","Momentálně nelze zálohu vytvořit."
"Backups","Zálohy"
"System","Systém"
"Tools","Nástroje"
"Backup","Zálohovat"
"We can't delete one or more backups.","Jednu nebo více záloh nelze odstranit."
"failed","chyba"
"successful","v pořádku"
"You deleted the selected backup(s).","Zvolené zálohy byly odstraněny."
"Can't load snapshot archive","Archiv snapshotů nelze nahrát"
"Please correct the password.","Opravte heslo prosím."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Chcete-li v obnově pokračovat, zrušte zaškrtnutí ""Přepnout obchod do režimu údržby"" nebo upravte svá oprávnění."
"We can't find the backup file.","Soubor zálohy nelze najít."
"We can't connect to the FTP right now.","K FTP serveru se nelze připojit."
"Failed to validate FTP.","FTP připojení se nepodařilo se ověřit."
"You need more permissions to perform a rollback.","Ke spuštění obnovy nemáte potřebná oprávnění."
"Failed to rollback.","Data se nepodařilo obnovit."
"Database","Databáze"
"Database and Media","Databáze a média"
"System (excluding Media)","Systém (bez médií)"
"You created the system backup.","Záloha systému byla vytvořena."
"You created the system backup (excluding media).","Záloha systému (bez médií) byla vytvořena."
"You created the database and media backup.","Záloha databáze a médií byla vytvořena."
"You created the database backup.","Záloha databáze byla vytvořena."
"Please correct the order of creation for a new backup.","Opravte prosím pořadí tvorby nové zálohy."
"The backup file does not exist.","Soubor zálohy neexistuje."
"The backup file path was not specified.","Není určena cesta k souboru zálohy."
"The backup file ""%1"" does not exist.","Soubor zálohy ""%1"" neexistuje."
"Sorry, but we cannot read from or write to backup file ""%1"".","Soubor zálohy ""%1"" nelze číst a ani do něj zapisovat."
"The backup file handler was unspecified.","Není určen Handler souboru zálohy."
"Something went wrong while writing to the backup file ""%1"".","Při zapisování do souboru zálohy ""%1"" nastala chyba."
"We can't save the Cron expression.","Cron výraz nelze uložit."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Všechny údaje, které byly vytvořeny od posledního zálohování budou ztracena, včetně správců, zákazníků a objednávek."
"Are you sure you want to continue?","Chcete skutečně pokračovat?"
"This may take a few moments.","Zálohování je dlouhotrvající proces."
"Be sure your store is in maintenance mode during backup.","Ujistěte se, že váš obchod je během zálohování v režimu údržby."
"Backup Name","Název zálohy"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","V tomto údaji používejte pouze písmena (a-z nebo A-Z), číslice (0-9) nebo mezery."
"Maintenance mode","Režim údržby"
"Please put your store into maintenance mode during backup.","V průběhu zálohování přepnout obchod do režimu údržby."
"Exclude","Vyloučit"
"Exclude media folder from backup","Ze zálohy vyjmout složku s médii"
"Please enter the password to confirm rollback.","Pro potvrzení obnovy dat zadejte heslo."
"This action cannot be undone.","Tuto akci nelze vrátit zpět."
"User Password","Uživatelské heslo"
"Please put your store into maintenance mode during rollback processing.","V průběhu obnovy dat přepnout obchod do režimu údržby."
"FTP","FTP"
"Use FTP Connection","Použít FTP server"
"FTP credentials","FTP údaje"
"FTP Host","FTP host"
"FTP Login","FTP uživatel"
"FTP Password","FTP heslo"
"Magento root directory","Kořenový adresář Magenta"
"Create Backup","Vytvořit zálohu"
"Rollback","Obnova"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Zapnout pravidelné zálohování"
"Backup Type","Typ zálohy"
"Start Time","Čas zahájení"
"Frequency","Četnost"
"Maintenance Mode","Režim údržby"
"Delete","Smazat"
"Are you sure you want to delete the selected backup(s)?","Skutečně chcete zvolenou zálohu(y) odstranit?"
"Time","Čas"
"Name","Jméno"
"Size(bytes)","Bajty"
"Type","Typ"
"Download","Stáhnout"
"Action","Akce"
"Backup functionality is disabled","Funkce zálohování je zakázána"
"Backup Settings","Nastavení záloh"
"Enable Backup","Povolit zálohování"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Ve výchozím nastavení z bezpečnostních důvodů zakázáno"
