"System Backup","System-sikkerhetskopiering"
"Database and Media Backup","Database- og mediabackup"
"Database Backup","Databasesikkerhetskopi"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Arkivet kan dekomprimeres med <a href=""%1"">%2</a> på Windows-systemer."
"You need more permissions to activate maintenance mode right now.","Du trenger utvidede rettigheter for å aktivere vedlikeholdsmodus akkurat nå."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Hvis du vil opprette sikkerhetskopien, vennligst fjern markeringen for «Sett butikk i vedlikeholdsmodus» eller oppdater tillatelsene."
"Something went wrong while putting your store into maintenance mode.","Noe gikk galt mens du prøvde å sette din butikk i vedlikeholdsmodus."
"You need more free space to create a backup.","Du trenger mer ledig plass for å opprette en sikkerhetskopi."
"You need more permissions to create a backup.","Du trenger flere tillatelser for å opprette en sikkerhetskopi."
"We can't create the backup right now.","We can't create the backup right now."
"Backups","Sikkerhetskopier"
"System","System"
"Tools","Verktøy"
"Backup","Sikkerhetskopi"
"We can't delete one or more backups.","We can't delete one or more backups."
"failed","mislyktes"
"successful","vellykket"
"You deleted the selected backup(s).","Du har slettet valgt(e) sikkerhetskopi(er)."
"Can't load snapshot archive","Can't load snapshot archive"
"Please correct the password.","Korriger passordet."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","For å fullføre tilbakeføring, vennligst fjern markeringen for «Sett butikk i vedlikeholdsmodus» eller oppdatere tillatelsene."
"We can't find the backup file.","Vi finner ikke sikkerhetskopien."
"We can't connect to the FTP right now.","Vi kan ikke opprette noen tilkobling til FTP-serveren akkurat nå."
"Failed to validate FTP.","Kan ikke validere FTP."
"You need more permissions to perform a rollback.","Du trenger flere tillatelser for å utføre en tilbakeføring."
"Failed to rollback.","Kan ikke tilbakestille."
"Database","Database"
"Database and Media","Database og Media"
"System (excluding Media)","System (unntatt Media)"
"You created the system backup.","Du opprettet sikkerhetskopi av systemet."
"You created the system backup (excluding media).","Du opprettet sikkerhetskopi av systemet (unntatt media)."
"You created the database and media backup.","Du opprettet databasen og media sikkerhetskopien."
"You created the database backup.","Du opprettet sikkerhetskopi av systemet."
"Please correct the order of creation for a new backup.","Korriger rekkefølgen på etableringen for en ny sikkerhetskopi."
"The backup file does not exist.","Sikkerhetskopifilen finnes ikke."
"The backup file path was not specified.","Sikkerhetskopifilbanen ble ikke angitt."
"The backup file ""%1"" does not exist.","Sikkerhetskopifilen ""%1"" finnes ikke."
"Sorry, but we cannot read from or write to backup file ""%1"".","Beklager, men vi kan ikke lese fra eller skrive til sikkerhetskopifilen ""%1""."
"The backup file handler was unspecified.","Sikkerhetskopifilbanen ble ikke angitt."
"Something went wrong while writing to the backup file ""%1"".","Noe gikk galt under skriving til sikkerhetskopifilen ""%1""."
"We can't save the Cron expression.","Cron-regelen kan ikke lagres."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Du vil miste data opprettet etter siste backup ble gjort, inkludert administratorbrukere, kunder og bestillinger."
"Are you sure you want to continue?","Er du sikker på at du vil fortsette?"
"This may take a few moments.","Dette kan ta litt tid."
"Be sure your store is in maintenance mode during backup.","Pass på butikken din er i vedlikeholdsmodus under sikkerhetskopiering."
"Backup Name","Sikkerhetskopinavn"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Bruk bare bokstaver (a-z eller A-Z), tall (0-9) eller mellomrom i dette feltet."
"Maintenance mode","Vedlikeholdsmodus"
"Please put your store into maintenance mode during backup.","Sett butikken i vedlikeholdsmodus under sikkerhetskopiering."
"Exclude","Ekskluder"
"Exclude media folder from backup","Ekskluder media-mappen fra sikkerhetskopiering"
"Please enter the password to confirm rollback.","Skriv inn passordet for å bekrefte tilbakeføring."
"This action cannot be undone.","Denne handlingen kan ikke angres."
"User Password","Brukerpassord"
"Please put your store into maintenance mode during rollback processing.","Sett butikken i vedlikeholdsmodus under tilbakeføringprosessen."
"FTP","FTP"
"Use FTP Connection","Bruk FTP-tilkobling"
"FTP credentials","FTP påloggingsinformasjon"
"FTP Host","FTP-vert"
"FTP Login","FTP pålogging"
"FTP Password","FTP passord"
"Magento root directory","Magento root mappe"
"Create Backup","Opprett sikkerhetskopi"
"Rollback","Rull tilbake"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Aktiver planlagt sikkerhetskopiering"
"Backup Type","Backup Type"
"Start Time","Starttid"
"Frequency","Frekvens"
"Maintenance Mode","Vedlikeholdsmodus"
"Delete","Slett"
"Are you sure you want to delete the selected backup(s)?","Er du sikker på at du vil slette valgt(e) sikkerhetskopi(er)?"
"Time","Tid"
"Name","Navn"
"Size(bytes)","Størrelse(bytes)"
"Type","Type"
"Download","Last ned"
"Action","Handling"
"Backup functionality is disabled","Sikkerhetskopiering er deaktivert"
"Backup Settings","Innstillinger for sikkerhetskopiering"
"Enable Backup","Aktiver sikkerhetskopiering"
"Scheduled Backup Type","Planlegg sikkerhetskopiering"
"Disabled by default for security reasons","Disabled by default for security reasons"
