"System Backup","시스템 백업"
"Database and Media Backup","데이터베이스와 미디어 백업"
"Database Backup","데이터베이스 백업"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","압축파일은 윈도우 시스템에서 <a href=""%1"">%2</a>로 풀 수 있습니다."
"You need more permissions to activate maintenance mode right now.","즉시 유지보수 모드를 활성화 시키려면 더 많은 권한이 필요합니다."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","백업을 만들려면 ""스토어를 유지보수 모드로 변경""을 해제하거나 권한을 업데이트 해야합니다."
"Something went wrong while putting your store into maintenance mode.","스토어를 유지보수 모드로 변경하는 도중 문제가 발생했습니다."
"You need more free space to create a backup.","백업을 수행하려면 더 많은 여유 공간이 있어야 합니다."
"You need more permissions to create a backup.","백업을 수행하려면 더 많은 권한이 있어야 합니다."
"We can't create the backup right now.","We can't create the backup right now."
"Backups","백업"
"System","시스템"
"Tools","도구"
"Backup","백업"
"We can't delete one or more backups.","We can't delete one or more backups."
"failed","실패"
"successful","성공"
"You deleted the selected backup(s).","선택한 백업을 삭제했습니다."
"Can't load snapshot archive","Can't load snapshot archive"
"Please correct the password.","암호를 수정해 주십시오."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","롤백을 완료하려면 ""스토어를 유지보수 모드로 변경""을 해제하거나 권한을 업데이트 해야합니다."
"We can't find the backup file.","We can't find the backup file."
"We can't connect to the FTP right now.","We can't connect to the FTP right now."
"Failed to validate FTP.","FTP 확인에 실패했습니다."
"You need more permissions to perform a rollback.","롤백을 수행하려면 더 많은 권한이 필요합니다."
"Failed to rollback.","롤백에 실패했습니다."
"Database","데이터베이스"
"Database and Media","데이터베이스와 미디어"
"System (excluding Media)","시스템 (미디어 제외)"
"You created the system backup.","시스템 백업을 만들었습니다."
"You created the system backup (excluding media).","시스템 백업을 만들었습니다(미디어 제외)."
"You created the database and media backup.","데이터베이스와 미디어 백업을 만들었습니다."
"You created the database backup.","데이터 베이스 백업을 만들었습니다."
"Please correct the order of creation for a new backup.","신규 백업의 생성 순서를 수정하십시오."
"The backup file does not exist.","백업 파일이 없습니다."
"The backup file path was not specified.","백업 파일 경로를 지정하지 않았습니다."
"The backup file ""%1"" does not exist.","백업파일 ""%1""이 없습니다."
"Sorry, but we cannot read from or write to backup file ""%1"".","죄송합니다, 백업파일 ""%1""은 읽기/쓰기가 불가능 합니다."
"The backup file handler was unspecified.","백업 파일 처리기가 지정되지 않았습니다."
"Something went wrong while writing to the backup file ""%1"".","백업파일 ""%1""을 쓰는중 문제가 발생했습니다."
"We can't save the Cron expression.","We can't save the Cron expression."
"You will lose any data created since the backup was made, including admin users, customers and orders.","관리자, 고객, 주문을 포함하여 백업 이후 만들어진 모든 데이터가 손실됩니다."
"Are you sure you want to continue?","정말 계속 진행하시겠습니까?"
"This may take a few moments.","이 작업은 몇 분 정도 소요될 수 있습니다."
"Be sure your store is in maintenance mode during backup.","주의하십시오. 백업이 진행되는동안 스토어는 유지보수 모드로 변경됩니다."
"Backup Name","백업 이름"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","이 필드에는 영문 대소문자, 숫자, 공백만 입력해야 합니다."
"Maintenance mode","유지보수 모드"
"Please put your store into maintenance mode during backup.","백업이 진행되는동안 스토어를 유지보수 모드로 변경해 주십시오."
"Exclude","제외"
"Exclude media folder from backup","미디어 폴더를 백업에서 제외"
"Please enter the password to confirm rollback.","롤백 확인 암호를 입력 하십시오."
"This action cannot be undone.","이 작업은 취소할 수 없습니다."
"User Password","비밀번호"
"Please put your store into maintenance mode during rollback processing.","롤백이 진행되는 동안 스토어를 유지보수 모드로 변경해 주십시오."
"FTP","FTP"
"Use FTP Connection","FTP 연결 사용"
"FTP credentials","FTP 자격 증명"
"FTP Host","FTP 호스트"
"FTP Login","FTP 로그인"
"FTP Password","FTP 비밀 번호"
"Magento root directory","마젠토 루트 디렉터리"
"Create Backup","백업 생성"
"Rollback","롤백"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","스케쥴 백업 활성화"
"Backup Type","Backup Type"
"Start Time","시작 시간"
"Frequency","빈도"
"Maintenance Mode","유지보수 모드"
"Delete","삭제"
"Are you sure you want to delete the selected backup(s)?","선택한 백업을 정말 삭제하시겠습니까?"
"Time","시간"
"Name","이름 "
"Size(bytes)","크기(bytes)"
"Type","타입"
"Download","다운로드"
"Action","동작"
"Backup functionality is disabled","Backup functionality is disabled"
"Backup Settings","Backup Settings"
"Enable Backup","Enable Backup"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Disabled by default for security reasons"
