"System Backup","Sistēmas rezerves kopija"
"Database and Media Backup","Datu bāzes un multimēdijas rezerves kopija"
"Database Backup","Datu bāzes rezerves kopija"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Uz Windows sistēmām arhīvu var atkompresēt ar <a href=""%1"">%2</a>."
"You need more permissions to activate maintenance mode right now.","Jums nepieciešams vairāk tisības lai ieslēgtu lapu uzturēšanas režīmā."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Lai izveidotu rezerves kopiju, izslēdziet ""Pārslēgt veikalu uzturēšanas režīmā"" vai atjaunojiet atļaujas."
"Something went wrong while putting your store into maintenance mode.","Kļūdz pārslēdzot veikalu uzturēšanas režīmā."
"You need more free space to create a backup.","Nepieciešams vairāk vietas lai izveidotu rezerves kopiju."
"You need more permissions to create a backup.","Nepieciešams vairāk atļaujas lai izveidotu rezerves kopiju."
"We can't create the backup right now.","Pašlaik nevar izveidot rezerves kopiju."
"Backups","Rezerves kopijas"
"System","Sistēma"
"Tools","Rīki"
"Backup","Rezerves kopija"
"We can't delete one or more backups.","Nevar nodzēst vienu vai vairākas rezerves kopijas."
"failed","neizdevās"
"successful","veiksmīgi"
"You deleted the selected backup(s).","Izvēlētās rezerves ir nodzēstas."
"Can't load snapshot archive","Nevar ielādēt ēnkopijas arhīvu"
"Please correct the password.","Izlabojiet paroli."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Lai pabeigtu atriti, izslēdziet ""Pārslēgt veikalu uzturēšanas režīmā"" vai atjaunojiet savas atļaujas."
"We can't find the backup file.","Nevar atrast rezerves kopijas failu."
"We can't connect to the FTP right now.","Pašlaik nevar pieslēgties FTP."
"Failed to validate FTP.","Neizdevās validēt FTP."
"You need more permissions to perform a rollback.","Nepieciešams vairāk atļaujas lai veiktu atriti."
"Failed to rollback.","Atrites kļūda."
"Database","Datu bāze"
"Database and Media","Datu bāze un multimēdija"
"System (excluding Media)","Sistēma (izņemot multimēdiju)"
"You created the system backup.","Rezerves kopija ir izveidota."
"You created the system backup (excluding media).","Rezerves kopija ir izveidota (izņemot mēdiju failus)."
"You created the database and media backup.","Datubāzes un mādeiju rezerves kopijas fails ir izveidots."
"You created the database backup.","Datubāzes rezerves kopija ir izveidota."
"Please correct the order of creation for a new backup.","Izlabojiet jaunas rezerves kopiju izveidošanas kārtību."
"The backup file does not exist.","Rezerves kopijas fails neeksistē."
"The backup file path was not specified.","Nav norādīts rezerves kopijas faila ceļš."
"The backup file ""%1"" does not exist.","Rezerves kopijas fails ""%1"" neeksistē."
"Sorry, but we cannot read from or write to backup file ""%1"".","Nevar nolasīt vai ierakstīt rezerves kopijas failu ""%1""."
"The backup file handler was unspecified.","Nav norādīts rezerves kopijas faila manipulators."
"Something went wrong while writing to the backup file ""%1"".","Kļūda ierakstot rezerves kopijas failu ""%1""."
"We can't save the Cron expression.","Nevar saglabāt Cron izteiksmi."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Tiksa zaudēti dati kas bija vēikti pēc pēdējās rezerves kopijas, ieskaitot administratorus, lietotājus un pasūtījumus."
"Are you sure you want to continue?","Vai vēlaties turpināt?"
"This may take a few moments.","Uzgaidiet brīdi."
"Be sure your store is in maintenance mode during backup.","Parliecinieties vai veikals ir uzturēšanas režīmā rezerves kopijas veidošanas laikā."
"Backup Name","Rezerves kopijas nosaukums"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Lietojiet tikai burtus (a-z vai A-Z), ciparus (0-9) vai atstarpes šajā laukā."
"Maintenance mode","Uzturēšanas režīms"
"Please put your store into maintenance mode during backup.","Pārslēdziet veikalu uzturēšanas režīmā rezerves kopijas veidošanas laikā."
"Exclude","Izņemot"
"Exclude media folder from backup","Rezerves kopija izņemot mēdiju failu direktoriju"
"Please enter the password to confirm rollback.","Ievadiet paroli lai apstiprinātu atriti."
"This action cannot be undone.","Šo darbību nevar atcelt."
"User Password","Lietotāja parole"
"Please put your store into maintenance mode during rollback processing.","Pārslēdziet veikalu uzturēšanas režīmā veicot atrites procesu."
"FTP","FTP"
"Use FTP Connection","Lietot FTP pieslēgumu"
"FTP credentials","FTP piekļuve"
"FTP Host","FTP resursdators"
"FTP Login","FTP lietotājvārds"
"FTP Password","FTP parole"
"Magento root directory","Magento saknes direktorija"
"Create Backup","Izveidot rezerves kopiju"
"Rollback","Iepriekšējās versijas atrite"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Ieslēgt rezerves kopiju veidošanu pēc saraksta"
"Backup Type","Backup Type"
"Start Time","Sākuma laiks"
"Frequency","Biežums"
"Maintenance Mode","Apkopes režīms"
"Delete","Dzēst"
"Are you sure you want to delete the selected backup(s)?","Vai vēlaties izdzēst rezerves kopijas failu(s)?"
"Time","Laiks"
"Name","Vārds"
"Size(bytes)","Lielums(bytes)"
"Type","Veids"
"Download","Lejupielādēt"
"Action","Darbība"
"Backup functionality is disabled","Backup functionality is disabled"
"Backup Settings","Backup Settings"
"Enable Backup","Enable Backup"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Disabled by default for security reasons"
