"System Backup","Systeem-backup"
"Database and Media Backup","Database- en mediabackup"
"Database Backup","Databasebackup"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Dit gecomprimeerde bestand kan worden uitgepakt met <a href=""%1"">%2</a> op Windows systemen."
"You need more permissions to activate maintenance mode right now.","Je hebt meer bevoegdheden nodig om de onderhoudsmodus te activeren."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Als je een back-up wilt maken, deselecteer ""Zet winkel in onderhoudsmodus"" of werk je bevoegdheden bij."
"Something went wrong while putting your store into maintenance mode.","Winkel kan niet in onderhoudsmodus worden gezet."
"You need more free space to create a backup.","Onvoldoende opslagruimte voor het maken van een back-up."
"You need more permissions to create a backup.","Je hebt meer bevoegdheden nodig om een back-up te maken."
"We can't create the backup right now.","We kunnen de back-up nu niet maken."
"Backups","Back-ups"
"System","Systeem"
"Tools","Instellingen"
"Backup","Back-up"
"We can't delete one or more backups.","Wij kunnen een of meerdere back-ups niet verwijderen."
"failed","mislukt"
"successful","geslaagd"
"You deleted the selected backup(s).","Je hebt de geselecteerde back-up(s) verwijderd."
"Can't load snapshot archive","Kan momentopname (snapshot) niet laden"
"Please correct the password.","Corrigeer het wachtwoord."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Om de back-up te herstellen, selecteer ""Zet winkel in onderhoudsmodus"" of werk je Rechten bij."
"We can't find the backup file.","Wij kunnen het back-upbestand niet vinden."
"We can't connect to the FTP right now.","Verbinding maken met de FTP is nu niet mogelijk."
"Failed to validate FTP.","Niet gelukt om FTP te valideren."
"You need more permissions to perform a rollback.","Je hebt meer bevoegdheden nodig om te kunnen terugdraaien."
"Failed to rollback.","Terugdraaien niet gelukt."
"Database","Database"
"Database and Media","Database en media"
"System (excluding Media)","Systeem (exclusief media)"
"You created the system backup.","Je hebt een systeemback-up gemaakt."
"You created the system backup (excluding media).","Systeemback-up is gemaakt (excl. media)."
"You created the database and media backup.","Database en media back-up aangemaakt."
"You created the database backup.","Database back-up aangemaakt."
"Please correct the order of creation for a new backup.","Corrigeer de volgorde voor het maken van een back-up."
"The backup file does not exist.","Het back-up bestand bestaat niet."
"The backup file path was not specified.","Bestandspad voor back-ups is onbekend."
"The backup file ""%1"" does not exist.","Het back-up bestand ""%1"" bestaat niet."
"Sorry, but we cannot read from or write to backup file ""%1"".","We kunnen niet lezen uit of schrijven naar back-up bestand ""%1""."
"The backup file handler was unspecified.","Back-up bestand handler is niet gedefinieerd."
"Something went wrong while writing to the backup file ""%1"".","Er ging iets mis tijdens het schrijven naar het back-up bestand ""%1""."
"We can't save the Cron expression.","We kunnen de Cron opdracht niet opslaan."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Je verliest alle gegevens die aangemaakt of gewijzigd zijn nadat de back-up gemaakt is, inclusief gegevens betreffende administratieve gebruikers, klanten en bestellingen."
"Are you sure you want to continue?","Weet je zeker dat je door wilt gaan?"
"This may take a few moments.","Dit kan enkele ogenblikken duren."
"Be sure your store is in maintenance mode during backup.","Zorg ervoor dat jew winkel in onderhoudsmodus is tijdens back-up."
"Backup Name","Naam backup"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Gebruik alleen letters (a-z of A-Z), cijfers (0-9) of spaties in dit veld."
"Maintenance mode","Onderhoudsmodus"
"Please put your store into maintenance mode during backup.","Plaats je winkel in onderhoudsmodus tijdens het maken van de back-up."
"Exclude","Sluit uit"
"Exclude media folder from backup","Sla media-map over bij maken backup"
"Please enter the password to confirm rollback.","Vul je wachtwoord in om het systeem te herstellen."
"This action cannot be undone.","Deze actie kan niet ongedaan gemaakt worden."
"User Password","Gebruikerswachtwoord"
"Please put your store into maintenance mode during rollback processing.","Plaats je winkel in onderhoudsmodus tijdens terugdraaien van de back-up."
"FTP","FTP"
"Use FTP Connection","Gebruik FTP-verbinding"
"FTP credentials","FTP gegevens"
"FTP Host","FTP-host"
"FTP Login","FTP-login"
"FTP Password","FTP Wachtwoord"
"Magento root directory","Magento root folder"
"Create Backup","Backup maken"
"Rollback","Terugdraaien"
"Scheduled Backup Settings","Geplande backup instellingen"
"Enable Scheduled Backup","Geplande backup inschakelen"
"Backup Type","Type back-up"
"Start Time","Begin Tijd"
"Frequency","Frequentie"
"Maintenance Mode","Onderhoudsmodus"
"Delete","Verwijder"
"Are you sure you want to delete the selected backup(s)?","Weet je zeker dat je de geselecteerde backup(s) wilt verwijderen?"
"Time","Tijd"
"Name","Naam"
"Size(bytes)","Grootte(bytes)"
"Type","Soort"
"Download","Downloads"
"Action","Actie"
"Backup functionality is disabled","Back-up functionaliteit is uitgeschakeld"
"Backup Settings","Back-up Instellingen"
"Enable Backup","Back-up Inschakelen"
"Scheduled Backup Type","Gepland Back-up Type"
"Disabled by default for security reasons","Standaard uitgeschakeld om beveiligingsredenen"
