"System Backup","システムバックアップ"
"Database and Media Backup","データベースとメディアバックアップ"
"Database Backup","データベースバックアップ"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Windowsシステムでは<a href=""""%1"""">%2</a>でアーカイブを解凍できます。"
"You need more permissions to activate maintenance mode right now.","メンテナンスモードにするには更に権限が必要です。"
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","バックアップを作るために、 ""Put store into maintenance mode"" の選択を外すか権限をアップデートしてください。"
"Something went wrong while putting your store into maintenance mode.","ストアをメンテナンスモードに変更中に問題が発生しました。"
"You need more free space to create a backup.","バックアップを作成するにはもっと容量が必要です。"
"You need more permissions to create a backup.","バックアップを作成するにはもっと権限が必要です。"
"We can't create the backup right now.","現在バックアップを作成できません。"
"Backups","バックアップ"
"System","システム"
"Tools","ツール"
"Backup","バックアップ"
"We can't delete one or more backups.","1つ以上のバックアップを削除できません。"
"failed","失敗"
"successful","成功"
"You deleted the selected backup(s).","選択したバックアップを削除しました。"
"Can't load snapshot archive","スナップショットのアーカイブの読み込みができませんでした。"
"Please correct the password.","パスワードを修正してください。"
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","ロールバックを完了するには、 ""Put store into maintenance mode"" の選択を外すか権限をアップデートしてください。"
"We can't find the backup file.","バックアップファイルが見つかりませんでした。"
"We can't connect to the FTP right now.","現在FTPに接続できません。"
"Failed to validate FTP.","FTPの認証に失敗しました。"
"You need more permissions to perform a rollback.","ロールバックを実行するには権限が足りません。"
"Failed to rollback.","ロールバック失敗"
"Database","データベース"
"Database and Media","データベースとメディア"
"System (excluding Media)","システム (メディア以外)"
"You created the system backup.","システムバックアップを作成しました。"
"You created the system backup (excluding media).","システムバックアップを作成しました (メディアを除く)."
"You created the database and media backup.","データベースとメディアのバックアップを作成しました。"
"You created the database backup.","データベースのバックアップを作成しました。"
"Please correct the order of creation for a new backup.","新しいバックアップのために作成順を修正してください。"
"The backup file does not exist.","バックアップファイルは存在しません。"
"The backup file path was not specified.","バックアップファイルのパスが指定されていません。"
"The backup file ""%1"" does not exist.","バックアップファイル""%1""は存在しません。"
"Sorry, but we cannot read from or write to backup file ""%1"".","申し訳ありませんがバックアップファイル""%1""を読むことも書き込むこともできません。"
"The backup file handler was unspecified.","バックアップファイルハンドラーが不明です。"
"Something went wrong while writing to the backup file ""%1"".","バックアップ ""%1""に書き込み中に問題が発生しました。"
"We can't save the Cron expression.","Cron設定を保存できません。"
"You will lose any data created since the backup was made, including admin users, customers and orders.","バックアップが作成後の管理者ユーザー、顧客、注文を含む全てのデータを失います。"
"Are you sure you want to continue?","作業を続けますか？"
"This may take a few moments.","少々お待ち下さい。"
"Be sure your store is in maintenance mode during backup.","バックアップ中はストアがメンテナンスモードになっていることをご確認ください。"
"Backup Name","バックアップ名"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","半角英数字またはスペースを使用してください。"
"Maintenance mode","メンテナンスモード"
"Please put your store into maintenance mode during backup.","バックアップ中はストアをメンテナンスモードにしてください。"
"Exclude","除外"
"Exclude media folder from backup","メディアフォルダをバックアップから除外する"
"Please enter the password to confirm rollback.","ロールバックを確認するためにパスワードを入力してください。"
"This action cannot be undone.","このアクションは取り消せません。"
"User Password","パスワード"
"Please put your store into maintenance mode during rollback processing.","ロールバック作業中はストアをメンテナンスモードにしてください。"
"FTP","FTP"
"Use FTP Connection","FTP接続を使用"
"FTP credentials","FTP証明書"
"FTP Host","FTPホスト"
"FTP Login","FTPログインID"
"FTP Password","FTPパスワード"
"Magento root directory","Magentoルートディレクトリ"
"Create Backup","バックアップ作成"
"Rollback","ロールバック"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","スケジュールバックアップを有効にする"
"Backup Type","Backup Type"
"Start Time","開始時間"
"Frequency","頻度"
"Maintenance Mode","メンテナンスモード"
"Delete","削除"
"Are you sure you want to delete the selected backup(s)?","選択したバックアップを削除してもいいですか?"
"Time","時間"
"Name","名前"
"Size(bytes)","サイズ(bytes)"
"Type","種別"
"Download","ダウンロード"
"Action","アクション"
"Backup functionality is disabled","バックアップ機能は停止中です"
"Backup Settings","バックアップ設定"
"Enable Backup","バックアップを有効化"
"Scheduled Backup Type","スケジュールバックアップ種別"
"Disabled by default for security reasons","Disabled by default for security reasons"
