"System Backup","Sistemi yedekleme"
"Database and Media Backup","Veritabanı ve Medya Yedeği"
"Database Backup","Veritabanı yedekleme"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Arşiv Windows sistemlerinde <a href=""%1"">%2</a> ile sıkıştırılamaz."
"You need more permissions to activate maintenance mode right now.","Şu anda bakım modunu etkinleştirmek için daha fazla izin almanız gerekiyor."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Yedeği oluşturmak için lütfen ""Mağazayı bakım moduna al"" seçimini kaldırın veya izinlerinizi güncelleyin."
"Something went wrong while putting your store into maintenance mode.","Mağazanızı bakım moduna geçirirken bir şeyler ters gitti."
"You need more free space to create a backup.","Bir yedek oluşturmak için daha fazla boş alana ihtiyacınız var."
"You need more permissions to create a backup.","Bir yedek oluşturabilmek için daha fazla izine ihtiyacınız var."
"We can't create the backup right now.","Şu anda yedekleme oluşturamazsınız."
"Backups","Yedekler"
"System","Sistem"
"Tools","Araçlar"
"Backup","Yedek"
"We can't delete one or more backups.","Bir yada daha çok yedeği silemiyoruz."
"failed","tamamlanamadı"
"successful","başarılı"
"You deleted the selected backup(s).","Seçili yedek(ler) silindi."
"Can't load snapshot archive","Anlık görüntü arşiv yüklenemiyor"
"Please correct the password.","Lütfen şifreyi kontrol ediniz."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Geriye almayı tamamlamak için lütfen ""Mağazayı bakım moduna al"" 'ı seçin ya da izinleri güncelleyin."
"We can't find the backup file.","Yedek dosyayı bulamıyoruz."
"We can't connect to the FTP right now.","Şu anda FTP bağlanamıyor."
"Failed to validate FTP.","FTP doğrulama başarısız."
"You need more permissions to perform a rollback.","Geri alma işlemini gerçekleştirmek için daha fazla izine ihtiyacınız var."
"Failed to rollback.","Geri alınma başarısız."
"Database","Veritabanı"
"Database and Media","Veritabanı ve Medya"
"System (excluding Media)","Sistem (Medya hariç)"
"You created the system backup.","Sistem yedeği oluşturdunuz."
"You created the system backup (excluding media).","Sistem yedeği oluşturdunuz (ortam hariç)."
"You created the database and media backup.","Veritabanı ve ortam yedeği oluşturdunuz."
"You created the database backup.","Veritabanı yedeği oluşturdunuz."
"Please correct the order of creation for a new backup.","Lütfen yeni bir yedek oluşturmak için siparişi düzenleyin."
"The backup file does not exist.","Yedek dosyası mevcut değil."
"The backup file path was not specified.","Yedek dosya yolu belirtilmedi."
"The backup file ""%1"" does not exist.","""%1"" yedek dosyası mevcut değil."
"Sorry, but we cannot read from or write to backup file ""%1"".","Maalesef, ancak yedek dosyadan okuyamıyor veya yedek dosyaya yazamıyoruz ""%1""."
"The backup file handler was unspecified.","Yedek dosya yolu belirtilmedi."
"Something went wrong while writing to the backup file ""%1"".","""%1"" yedek dosyasına yazarken bir sorun oluştu."
"We can't save the Cron expression.","Cron ifade kurtaramayız."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Yedekleme yapıldıktan sonra oluşturulan yönetim kullanıcıları, müşteriler ve siparişler de dahil olmak üzere verileri kaybedeceksin."
"Are you sure you want to continue?","Devam etmek istediğinize emin misiniz?"
"This may take a few moments.","Bu işlem biraz zaman alabilir."
"Be sure your store is in maintenance mode during backup.","Yedekleme sırasında mağazanızın bakım modunda olduğundan emin olun."
"Backup Name","Yedek Adı"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Bu alanda sadece harfler (a-z or A-Z), rakamlar (0-9) veya boşluk kullanınız."
"Maintenance mode","Bakım Modu"
"Please put your store into maintenance mode during backup.","Lütfen mağaza yedekleme sırasında bakım moduna koymak."
"Exclude","Hariç Tut"
"Exclude media folder from backup","Media klasörünü yedekten hariç tut"
"Please enter the password to confirm rollback.","Lütfen geri alma onaylamak için parolayı girin."
"This action cannot be undone.","Bu işlem geri alınamaz."
"User Password","Şifre"
"Please put your store into maintenance mode during rollback processing.","Geri alma işlemi sırasında mağazanızı bakım moduna alın."
"FTP","FTP"
"Use FTP Connection","FTP bağlantısı kullan"
"FTP credentials","FTP bilgileri"
"FTP Host","FTP Sunucu"
"FTP Login","FTP Kullanıcı Adı"
"FTP Password","FTP Şifre"
"Magento root directory","Magento Ana Dizini"
"Create Backup","Yedek Oluştur"
"Rollback","Geri Yükleme"
"Scheduled Backup Settings","Zamanlanmış Yedekleme Ayarları"
"Enable Scheduled Backup","Zamanlanmış Yedeklemeyi Aç"
"Backup Type","Yedek Tipi"
"Start Time","Başlangıç Zamanı"
"Frequency","Sıklık"
"Maintenance Mode","Bakım Modu"
"Delete","Sil"
"Are you sure you want to delete the selected backup(s)?","Seçilen yedek(ler)i silmek istediğinizden emin misiniz?"
"Time","Saat"
"Name","Adı"
"Size(bytes)","Boyut(byte)"
"Type","Tip"
"Download","İndir"
"Action","Eylem"
"Backup functionality is disabled","Yedekleme işlevini devre dışı"
"Backup Settings","Ayarları yedekle"
"Enable Backup","Yedeklemeyi etkinleştir"
"Scheduled Backup Type","Zamanlanmış yedekleme türü"
"Disabled by default for security reasons","Güvenlik nedeniyle varsayılan olarak devre dışı"
