"System Backup","Záloha systému"
"Database and Media Backup","Záloha Databáze a multimédií"
"Database Backup","Záloha databáze"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Archív môže byť dekomprimovaný s <a href=""%1"">%2</a> na systémoch Windows."
"You need more permissions to activate maintenance mode right now.","Na aktivovanie režimu údržby nemáte dostatočné oprávnenia."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions."
"Something went wrong while putting your store into maintenance mode.","Počas nastavnia režimu údržby došlo k chybe."
"You need more free space to create a backup.","Budete potrebovať viac voľného miesta na vytvorenie zálohy."
"You need more permissions to create a backup.","Nemáte dostatočné oprávnenie na vytvorenie zálohy."
"We can't create the backup right now.","Nemôže vytvoriť zálohu práve teraz."
"Backups","Zálohovanie"
"System","Systém"
"Tools","Nástroje"
"Backup","Záloha"
"We can't delete one or more backups.","Jeden alebo viac záloh, sa nedá odstrániť."
"failed","neúspešné"
"successful","úspešné"
"You deleted the selected backup(s).","Zmazali ste vybrané zálohy."
"Can't load snapshot archive","Snímka Archívu sa nedá načítať"
"Please correct the password.","Opravte heslo."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions."
"We can't find the backup file.","Súbor zálohy sa nedá nájsť."
"We can't connect to the FTP right now.","Nemôžeme pripojiť na FTP práve teraz."
"Failed to validate FTP.","Nepodarilo sa overiť FTP."
"You need more permissions to perform a rollback.","You need more permissions to perform a rollback."
"Failed to rollback.","Failed to rollback."
"Database","Databáza"
"Database and Media","Databáza a multimédia"
"System (excluding Media)","Systém (bez médií)"
"You created the system backup.","Vytvorili ste zálohu sytému."
"You created the system backup (excluding media).","Vytvorili ste zálohu systému (bez multimediálnych súborov)."
"You created the database and media backup.","Vytvorili ste zálohu databáze a multimediálnych súborov."
"You created the database backup.","Vytvorili ste zálohu databáze."
"Please correct the order of creation for a new backup.","Please correct the order of creation for a new backup."
"The backup file does not exist.","Súbor zálohy neexistuje."
"The backup file path was not specified.","Nebolo zadaná cesta k súboru zálohy."
"The backup file ""%1"" does not exist.","Súbor zálohy ""%1"" neexistuje."
"Sorry, but we cannot read from or write to backup file ""%1"".","Nie je memôžeme čítať z alebo zapisovať do súboru zálohy ""%1""."
"The backup file handler was unspecified.","The backup file handler was unspecified."
"Something went wrong while writing to the backup file ""%1"".","Pri zápise do záložného súboru ""%1"" došlo k chybe."
"We can't save the Cron expression.","Nieje možné uložiť Cron výraz."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Stratíte všetky údaje vytvorené od doby vytvorenia zálohy, vrátane admin užívateľov, zákazníkov a objednávok."
"Are you sure you want to continue?","Naozaj chcete pokračovať?"
"This may take a few moments.","Može to trvať nejaký čas."
"Be sure your store is in maintenance mode during backup.","Uistite sa, že váš obchod je v režime údržby počas zálohovania."
"Backup Name","Názov zálohy"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field."
"Maintenance mode","Režim údržby"
"Please put your store into maintenance mode during backup.","Pre vytvorenie zálohy prepnite váš obchod do režimu údržby."
"Exclude","Vylúčiť"
"Exclude media folder from backup","Vylúčiť adresár médií zo zálohy"
"Please enter the password to confirm rollback.","Please enter the password to confirm rollback."
"This action cannot be undone.","Túto akciu nemožno vrátiť späť."
"User Password","Heslo používateľa"
"Please put your store into maintenance mode during rollback processing.","Please put your store into maintenance mode during rollback processing."
"FTP","FTP"
"Use FTP Connection","Použiť FTP pripojenie"
"FTP credentials","Údaje FTP"
"FTP Host","FTP Server"
"FTP Login","FTP užívatelské meno"
"FTP Password","FTP heslo"
"Magento root directory","Koreňový adresár inštalácie Magenta"
"Create Backup","Vytvoriť zálohu"
"Rollback","Rollback"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Enable Scheduled Backup"
"Backup Type","Backup Type"
"Start Time","Čas začiatku"
"Frequency","Frekvencia"
"Maintenance Mode","Režim údržby"
"Delete","Zmazať"
"Are you sure you want to delete the selected backup(s)?","Naozaj chcete odstrániť vybraté súbory zálohy?"
"Time","Čas"
"Name","Meno"
"Size(bytes)","Veľkosť(bajty)"
"Type","Typ"
"Download","Stiahnuť"
"Action","Akcia"
"Backup functionality is disabled","Backup functionality is disabled"
"Backup Settings","Backup Settings"
"Enable Backup","Enable Backup"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Disabled by default for security reasons"
