"System Backup","Sauvegarde système"
"Database and Media Backup","Sauvegarde de base de données et media"
"Database Backup","Sauvegarde de base de données"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","L' archive peut être décompressée avec <a href=""%1"">%2</a> sur les systèmes Windows."
"You need more permissions to activate maintenance mode right now.","Vous n'êtes pas autorisé à activer le mode maintenance."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Pour créer la sauvegarde, veuillez désélectionner ""Passer le magasin en mode maintenance"" ou mettez à jour vos autorisations."
"Something went wrong while putting your store into maintenance mode.","Une erreur s'est produite lors du passage du magasin en mode maintenance."
"You need more free space to create a backup.","Vous avez besoin de plus d'espace libre pour créer une sauvegarde."
"You need more permissions to create a backup.","Vous n'êtes pas autorisé à créer une sauvegarde."
"We can't create the backup right now.","Nous ne pouvons pas créer la sauvegarde dès maintenant."
"Backups","Sauvegardes"
"System","Système"
"Tools","Outils"
"Backup","Sauvegarde"
"We can't delete one or more backups.","Nous ne pouvons pas supprimer une ou plusieurs sauvegardes."
"failed","échoué"
"successful","réussi"
"You deleted the selected backup(s).","Vous avez supprimé les sauvegardes sélectionnées."
"Can't load snapshot archive","Impossible de charger l'archive de l'aperçu"
"Please correct the password.","Merci de corriger le mot de passe."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Pour terminer le retour arrière (rollback), veuillez désélectionner ""Passer le magasin en mode maintenance"" ou mettez à jour vos autorisations."
"We can't find the backup file.","Nous ne pouvons pas trouver le fichier de sauvegarde."
"We can't connect to the FTP right now.","Nous ne pouvons pas vous connecter au serveur FTP immédiatement."
"Failed to validate FTP.","Impossible de valider le serveur FTP."
"You need more permissions to perform a rollback.","Vous n'êtes pas autorisé à effectuer une restauration."
"Failed to rollback.","Échec de la restauration."
"Database","Base de données"
"Database and Media","Base de données et media"
"System (excluding Media)","Système (hors media)"
"You created the system backup.","Vous avez créé la sauvegarde du système."
"You created the system backup (excluding media).","Vous avez créé la sauvegarde du système (hors médias)."
"You created the database and media backup.","Vous avez créé la sauvegarde de la base de données et des médias."
"You created the database backup.","Vous avez créé la sauvegarde de la base de données."
"Please correct the order of creation for a new backup.","Merci de corriger l'ordre de création pour une nouvelle sauvegarde."
"The backup file does not exist.","Le fichier de sauvegarde n'existe pas."
"The backup file path was not specified.","Le chemin d'accès du fichier de sauvegarde n'est pas spécifié."
"The backup file ""%1"" does not exist.","Le fichier de sauvegarde ""%1"" n'existe pas."
"Sorry, but we cannot read from or write to backup file ""%1"".","Désolé, mais nous ne pouvons pas lire ou écrire dans le fichier de sauvegarde ""%1""."
"The backup file handler was unspecified.","Le gestionnaire de fichier de sauvegarde n'a pas été spécifié."
"Something went wrong while writing to the backup file ""%1"".","Une erreur s'est produite lors de l'écriture dans le fichier de sauvegarde ""%1""."
"We can't save the Cron expression.","Impossible de sauvegarder l'expression de la tâche programmée"
"You will lose any data created since the backup was made, including admin users, customers and orders.","Toutes les données créées depuis que la sauvegarde a été réalisée seront perdues (dont les comptes administrateurs, les clients et les commandes)."
"Are you sure you want to continue?","Êtes-vous sûr de vouloir continuer?"
"This may take a few moments.","Cela peut prendre quelques instants."
"Be sure your store is in maintenance mode during backup.","N’oubliez pas que votre magasin passe en mode maintenance pendant la sauvegarde."
"Backup Name","Nom de la sauvegarde"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9) ou des espaces dans ce champ."
"Maintenance mode","Mode maintenance"
"Please put your store into maintenance mode during backup.","Merci de mettre votre boutique en mode de maintenance durant la sauvegarde."
"Exclude","Exclure"
"Exclude media folder from backup","Exclure le dossier media de la sauvegarde"
"Please enter the password to confirm rollback.","Saisissez le mot de passe pour confirmer le retour arrière (rollback)."
"This action cannot be undone.","Cette action ne peut pas être annulée."
"User Password","Mot de passe utilisateur"
"Please put your store into maintenance mode during rollback processing.","Merci de mettre votre boutique en mode de maintenance durant le processus de restauration."
"FTP","FTP"
"Use FTP Connection","Utiliser une connexion FTP"
"FTP credentials","Informations de connexion FTP"
"FTP Host","Hôte FTP"
"FTP Login","Login FTP"
"FTP Password","Mot de passe FTP"
"Magento root directory","Répertoire racine de Magento"
"Create Backup","Créer une sauvegarde"
"Rollback","Retour arrière (rollback)"
"Scheduled Backup Settings","Paramètres de sauvegarde programmée"
"Enable Scheduled Backup","Activer la sauvegarde programmée"
"Backup Type","Type de sauvegarde"
"Start Time","Heure de début"
"Frequency","Fréquence"
"Maintenance Mode","Mode de maintenance"
"Delete","Supprimer"
"Are you sure you want to delete the selected backup(s)?","Êtes-vous sûr(e) de vouloir effacer les sauvegardes sélectionnées ?"
"Time","Heure"
"Name","Nom"
"Size(bytes)","Taille (octets)"
"Type","Type"
"Download","Télécharger"
"Action","Action"
"Backup functionality is disabled","La fonctionnalité de sauvegarde est désactivée"
"Backup Settings","Paramètres de sauvegarde"
"Enable Backup","Activer la sauvegarde"
"Scheduled Backup Type","Type de sauvegarde planifiée"
"Disabled by default for security reasons","Désactivé par défaut pour des raisons de sécurité"
