"System Backup","Varukoopia süsteemist"
"Database and Media Backup","Varukoopia andmebaasist ja meediast"
"Database Backup","Varukoopia andmebaasist"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Arhiivi <a href=""%1"">%2</a> võib lahti pakkida Windowsi süsteemides."
"You need more permissions to activate maintenance mode right now.","Hoolduserežiimi aktiveerimiseks on teil vaja rohkem õiguseid."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Varukoopia tegemiseks palun tühistage valik ""Pane pood hooldusrežiimi"" või uuendage oma õigusi."
"Something went wrong while putting your store into maintenance mode.","Midagi läks valesti pannes poodi hooldusrežiimi."
"You need more free space to create a backup.","Varukoopia tegemiseks on vaja rohkem ruumi."
"You need more permissions to create a backup.","Varukoopia tegemiseks on vaja rohkem õiguseid."
"We can't create the backup right now.","We can't create the backup right now."
"Backups","Varukoopiad"
"System","Süsteem"
"Tools","Tööriistad"
"Backup","Varukoopia"
"We can't delete one or more backups.","We can't delete one or more backups."
"failed","nurjus"
"successful","edukas"
"You deleted the selected backup(s).","Valitud varukoopia(d) kustutatud."
"Can't load snapshot archive","Can't load snapshot archive"
"Please correct the password.","Palun parandage salasõna."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions."
"We can't find the backup file.","We can't find the backup file."
"We can't connect to the FTP right now.","We can't connect to the FTP right now."
"Failed to validate FTP.","FTP valideerimine ebaõnnestus."
"You need more permissions to perform a rollback.","You need more permissions to perform a rollback."
"Failed to rollback.","Failed to rollback."
"Database","Andmebaas"
"Database and Media","Andmebaas ja meedia"
"System (excluding Media)","Süsteem ilma meediata"
"You created the system backup.","Süsteemi varukoopia loodud."
"You created the system backup (excluding media).","Süsteemi varukoopia loodud (v. a meedia)."
"You created the database and media backup.","Andmebaasi ja meedia tagavara loodud."
"You created the database backup.","Andmebaasi varukoopia loodud."
"Please correct the order of creation for a new backup.","Please correct the order of creation for a new backup."
"The backup file does not exist.","Varukoopia fail ei eksisteeri."
"The backup file path was not specified.","Varukoopia tee määramata."
"The backup file ""%1"" does not exist.","Varukoopia fail ""%1"" ei eksisteeri."
"Sorry, but we cannot read from or write to backup file ""%1"".","Sorry, but we cannot read from or write to backup file ""%1""."
"The backup file handler was unspecified.","The backup file handler was unspecified."
"Something went wrong while writing to the backup file ""%1"".","Varukoopia faili ""%1"" salvestades läks midagi valesti."
"We can't save the Cron expression.","We can't save the Cron expression."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Te kaotate kõik andmed alates varukoopia loomise kuupäevast, k. a. admini kasutajad, kliendid ja tellimused."
"Are you sure you want to continue?","Olete kindel et soovite jätkata?"
"This may take a few moments.","Selleks võib kuluda mõni moment."
"Be sure your store is in maintenance mode during backup.","Palun veenduge et teie pood on hooldusrežiimil varukoopia tegemise aegu."
"Backup Name","Varukoopia nimi"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Sellel väljal palun kasutage ainult tähti (a-z või A-Z), numbreid (0-9) või tühikuid."
"Maintenance mode","Hooldusrežiim"
"Please put your store into maintenance mode during backup.","Palun pane oma pood hooldusrežiimi varundamise ajaks."
"Exclude","Välista"
"Exclude media folder from backup","Välista meedia kaust tagavarast"
"Please enter the password to confirm rollback.","Palun sisestage salasõna taastamiseks."
"This action cannot be undone.","Seda toimingut ei saa tühistada."
"User Password","Salasõna"
"Please put your store into maintenance mode during rollback processing.","Please put your store into maintenance mode during rollback processing."
"FTP","FTP"
"Use FTP Connection","Kasuta FTP ühendust"
"FTP credentials","FTP andmed"
"FTP Host","FTP aadress"
"FTP Login","FTP kasutaja"
"FTP Password","FTP salasõna"
"Magento root directory","Magento juurkataloog"
"Create Backup","Loo varukoopia"
"Rollback","Taastamine"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Luba planeeritud varukoopia"
"Backup Type","Backup Type"
"Start Time","Algusaeg"
"Frequency","Sagedus"
"Maintenance Mode","Hooldusrežiim"
"Delete","Kustuta"
"Are you sure you want to delete the selected backup(s)?","Olete kindel et soovite kustutada valitud varukoopiad?"
"Time","Aeg"
"Name","Nimi"
"Size(bytes)","Suurus(baitides)"
"Type","Tüüp"
"Download","Lae alla"
"Action","Toiming"
"Backup functionality is disabled","Backup functionality is disabled"
"Backup Settings","Backup Settings"
"Enable Backup","Enable Backup"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Disabled by default for security reasons"
