"System Backup","Backup do Sistema"
"Database and Media Backup","Backup do Banco de dados e Mídia"
"Database Backup","Backup do banco de dados"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","O arquivo pode ser descomprimido com <a href=""%1"">%2</a> no sistema Windows."
"You need more permissions to activate maintenance mode right now.","Você precisa de mais permissões para ativar o modo de manutenção nesse momento."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Para criar o backup, por favor desmarque a opção ""Colocar loja em modo de manutenção"" ou atualize as suas permissões."
"Something went wrong while putting your store into maintenance mode.","Algo deu errado ao colocar sua loja no modo de manutenção."
"You need more free space to create a backup.","Você precisa de mais espaço livre para criar um backup."
"You need more permissions to create a backup.","Você precisa de mais permissões para criar um backup."
"We can't create the backup right now.","Não podemos criar o backup nesse momento."
"Backups","Backups"
"System","Sistema"
"Tools","Ferramentas"
"Backup","Backup"
"We can't delete one or more backups.","Nós não podemos deletar um ou mais backups."
"failed","falhou"
"successful","bem sucedido"
"You deleted the selected backup(s).","Você excluiu o(s) backup(s) selecionado(s)."
"Can't load snapshot archive","Não é possível carregar o arquivo de snapshot"
"Please correct the password.","Por favor, corrija a senha."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Para completar o rollback, por favor desmarque a opção ""Colocar loja em modo de manutenção"" ou atualize as suas permissões."
"We can't find the backup file.","Não encontramos o arquivo de backup."
"We can't connect to the FTP right now.","Nós não podemos conectar ao FTP nesse momento."
"Failed to validate FTP.","Falha ao validar FTP."
"You need more permissions to perform a rollback.","Você precisa mais permissões para executar uma reversão."
"Failed to rollback.","Falha ao reverter."
"Database","Banco de dados"
"Database and Media","Banco de dados e Mídia"
"System (excluding Media)","Sistema (excluindo Mídia)"
"You created the system backup.","Você criou o backup do sistema."
"You created the system backup (excluding media).","Você criou o backup do sistema (excluindo mídia)."
"You created the database and media backup.","Você criou um backup do banco de dados e mídia."
"You created the database backup.","Você criou um backup do banco de dados."
"Please correct the order of creation for a new backup.","Por favor, corrija a ordem de criação para um novo backup."
"The backup file does not exist.","O arquivo de backup não existe."
"The backup file path was not specified.","O caminho do arquivo de backup não foi especificado."
"The backup file ""%1"" does not exist.","O arquivo de backup ""%1"" não existe."
"Sorry, but we cannot read from or write to backup file ""%1"".","Desculpe, não foi possível ler ou gravar o arquivo de backup ""%1""."
"The backup file handler was unspecified.","O arquivo de backup apontado foi especificado."
"Something went wrong while writing to the backup file ""%1"".","Algo deu errado durante a gravação do arquivo de backup ""%1""."
"We can't save the Cron expression.","Não podemos salvar a expressão ""Cron""."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Você vai perder qualquer dado criado desde que o backup foi feito, incluindo usuários do admin, clientes e pedidos."
"Are you sure you want to continue?","Você tem certeza que deseja continuar?"
"This may take a few moments.","Isto pode demorar alguns minutos."
"Be sure your store is in maintenance mode during backup.","Certifique-se que a sua loja está no modo de manutenção durante o backup."
"Backup Name","Nome do backup"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Por favor, use somente letras (a-z ou A-Z), números (0-9) ou espaços neste campo."
"Maintenance mode","Modo de manutenção"
"Please put your store into maintenance mode during backup.","Por favor, coloque sua loja em modo de manutenção durante o backup."
"Exclude","Excluir"
"Exclude media folder from backup","Excluir a pasta de mídia do backup"
"Please enter the password to confirm rollback.","Por favor digite a senha para confirmar a reversão."
"This action cannot be undone.","Esta ação não pode ser desfeita."
"User Password","Senha de usuário"
"Please put your store into maintenance mode during rollback processing.","Por favor, coloque sua loja em modo de manutenção durante o processamento de reversão."
"FTP","FTP"
"Use FTP Connection","Usar Conexão FTP"
"FTP credentials","Credenciais FTP"
"FTP Host","Servidor FTP"
"FTP Login","Login FTP"
"FTP Password","Senha FTP"
"Magento root directory","Diretório raiz do Magento"
"Create Backup","Criar Backup"
"Rollback","Reversão"
"Scheduled Backup Settings","Configurações de backup agendados"
"Enable Scheduled Backup","Habilitar o Backup Agendado"
"Backup Type","Tipo de backup"
"Start Time","Hora de Início"
"Frequency","Frequência"
"Maintenance Mode","Modo de manutenção"
"Delete","Excluir"
"Are you sure you want to delete the selected backup(s)?","Você tem certeza que deseja excluir o(s) backup(s) selecionado(s)?"
"Time","Tempo"
"Name","Nome"
"Size(bytes)","Tamanho (bytes)"
"Type","Tipo"
"Download","Fazer Download"
"Action","Ação"
"Backup functionality is disabled","A funcionalidade de backup está desativada"
"Backup Settings","Configurações de Backup"
"Enable Backup","Ativar Backup"
"Scheduled Backup Type","Tipo de backup agendado"
"Disabled by default for security reasons","Desativado por padrão por motivos de segurança"
