"System Backup","Sistem Backup"
"Database and Media Backup","Backup Database dan Media"
"Database Backup","Backup Database"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Arsip dapat terkompresi dengan <a href=""%1"">% 2 </a> pada sistem Windows."
"You need more permissions to activate maintenance mode right now.","Anda membutuhkan lebih banyak izin untuk mengaktifkan modus pemeliharaan sekarang."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Untuk membuat cadangan, batalkan pilihan ""Masukkan ke dalam mode perawatan"" atau perbarui izin Anda."
"Something went wrong while putting your store into maintenance mode.","Ada yang tidak beres saat meletakkan toko Anda ke mode perawatan."
"You need more free space to create a backup.","Anda membutuhkan lebih banyak ruang kosong untuk membuat cadangan."
"You need more permissions to create a backup.","Anda memerlukan lebih banyak izin untuk membuat cadangan."
"We can't create the backup right now.","We can't create the backup right now."
"Backups","Backup"
"System","Sistem"
"Tools","Alat tukar"
"Backup","Backup"
"We can't delete one or more backups.","We can't delete one or more backups."
"failed","gagal paham"
"successful","sukses besar"
"You deleted the selected backup(s).","Anda telah menghapus cadangan yang dipilih."
"Can't load snapshot archive","Can't load snapshot archive"
"Please correct the password.","Harap perbaiki password."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Untuk menyelesaikan rollback, batalkan pilihan ""Masukkan ke dalam mode perawatan"" atau perbarui izin Anda."
"We can't find the backup file.","We can't find the backup file."
"We can't connect to the FTP right now.","We can't connect to the FTP right now."
"Failed to validate FTP.","Gagal memvalidasi FTP."
"You need more permissions to perform a rollback.","Anda memerlukan lebih banyak izin untuk melakukan rollback."
"Failed to rollback.","Gagal untuk rollback."
"Database","Database"
"Database and Media","Database dan Media file"
"System (excluding Media)","Sistem (tidak termasuk Media)"
"You created the system backup.","Anda membuat backup sistem."
"You created the system backup (excluding media).","Anda membuat backup sistem (tidak termasuk media)."
"You created the database and media backup.","Anda membuat database dan backup media."
"You created the database backup.","Anda membuat backup database."
"Please correct the order of creation for a new backup.","Perbaiki urutan pembuatan cadangan baru."
"The backup file does not exist.","File cadangan tidak ada."
"The backup file path was not specified.","Jalur file cadangan tidak ditentukan."
"The backup file ""%1"" does not exist.","The backup file ""%1"" does not exist."
"Sorry, but we cannot read from or write to backup file ""%1"".","Maaf, tapi kami tidak bisa membaca atau menulis ke berkas cadangan ""% 1""."
"The backup file handler was unspecified.","Penangan file cadangan tidak ditentukan."
"Something went wrong while writing to the backup file ""%1"".","Terjadi kesalahan saat menulis berkas cadangan ""%1""."
"We can't save the Cron expression.","We can't save the Cron expression."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Anda akan kehilangan data yang dibuat sejak cadangan dibuat, termasuk pengguna admin, pelanggan dan pesanan."
"Are you sure you want to continue?","Apakah anda yakin ingin melanjutkan?"
"This may take a few moments.","Ini mungkin memakan waktu beberapa saat."
"Be sure your store is in maintenance mode during backup.","Pastikan toko Anda dalam mode perawatan saat melakukan backup."
"Backup Name","Nama cadangan"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Hanya gunakan huruf (a-z atau A-Z), angka (0-9) atau spasi di field ini."
"Maintenance mode","Mode perawatan"
"Please put your store into maintenance mode during backup.","Tolong simpan toko Anda ke mode perawatan saat melakukan backup."
"Exclude","Mengecualikan"
"Exclude media folder from backup","Kecualikan folder media dari cadangan"
"Please enter the password to confirm rollback.","Harap masukkan kata sandi untuk mengkonfirmasi rollback."
"This action cannot be undone.","Tindakan ini tidak bisa dibatalkan."
"User Password","Kata sandi pengguna"
"Please put your store into maintenance mode during rollback processing.","Tolong simpan toko Anda ke mode perawatan selama proses rollback."
"FTP","FTP"
"Use FTP Connection","Gunakan Koneksi FTP"
"FTP credentials","Mandat FTP"
"FTP Host","Host FTP"
"FTP Login","Login FTP"
"FTP Password","Kata Sandi FTP"
"Magento root directory","Direktori root Magento"
"Create Backup","Membuat backup"
"Rollback","Putar kembali"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Aktifkan Backup Terjadwal"
"Backup Type","Backup Type"
"Start Time","Waktu mulai"
"Frequency","Frekuensi"
"Maintenance Mode","Mode Pemeliharaan file"
"Delete","Hapus"
"Are you sure you want to delete the selected backup(s)?","Apakah anda yakin ingin menghapus cadangan yang telah dipilih?"
"Time","Waktu"
"Name","Nama"
"Size(bytes)","Ukuran (byte)"
"Type","Jenis"
"Download","Unduh"
"Action","Tindakan"
"Backup functionality is disabled","Backup functionality is disabled"
"Backup Settings","Backup Settings"
"Enable Backup","Enable Backup"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Disabled by default for security reasons"
