"System Backup","Системен архив"
"Database and Media Backup","Архивиране на Базата данни и Медия"
"Database Backup","Архив на база данни"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","The archive can be uncompressed with <a href=""%1"">%2</a> on Windows Системиs."
"You need more permissions to activate maintenance mode right now.","Вие имате нужда от повече правомощия, за да запишете тази настройка."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","За да създадете архив моля деактивирайте ""Включи сервизен режим"" или променете вашите права."
"Something went wrong while putting your store into maintenance mode.","Не що не е наред при вклюването на сервизния режим на магазина."
"You need more free space to create a backup.","Имате нужда от повече свободно място за да създадете архив."
"You need more permissions to create a backup.","Нуждаете се от повече права за да създадете архив."
"We can't create the backup right now.","Не може да създаде архивирането сега."
"Backups","Архиви"
"System","Системи"
"Tools","Инструменти"
"Backup","Архив"
"We can't delete one or more backups.","Не може да изтриете един или повече архиви."
"failed","неуспешен"
"successful","успешно"
"You deleted the selected backup(s).","Изтрихте избраните архиви."
"Can't load snapshot archive","Не може да зареди снимка Архив"
"Please correct the password.","Моля коригирайте паролата."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","За да завършите възстановяването, декативирайте ""Сервизния режим на магазина"" или променете правата си."
"We can't find the backup file.","Не може да намери архивния файл."
"We can't connect to the FTP right now.","Не може да се свърже към FTP точно сега."
"Failed to validate FTP.","Неуспешна проверка на FTP."
"You need more permissions to perform a rollback.","Нуждаете се от повече права за активирате възстановяване."
"Failed to rollback.","Неуспешно връщане."
"Database","База данни"
"Database and Media","Архивиране на Базата и Медия"
"System (excluding Media)","Системи (excluding Media)"
"You created the system backup.","You created the Системи backup."
"You created the system backup (excluding media).","You created the Системи backup (excluding media)."
"You created the database and media backup.","Създадохте архив на Базата и Медията."
"You created the database backup.","Създадохте архив на Базата."
"Please correct the order of creation for a new backup.","Моля коригирайте реда на създаване на нов архив."
"The backup file does not exist.","Архивът не съществува."
"The backup file path was not specified.","Не е опсочен път до архива."
"The backup file ""%1"" does not exist.","Архивният файл ""%1"" не съществува."
"Sorry, but we cannot read from or write to backup file ""%1"".","Съжаляваме, не може да се записва/чете във архивен файл ""%1""."
"The backup file handler was unspecified.","Неоределен файлов ресурс за архивиране."
"Something went wrong while writing to the backup file ""%1"".","Нещо не е наред при запис на архивен файл ""%1""."
"We can't save the Cron expression.","Не може да запише Cron израз."
"You will lose any data created since the backup was made, including admin users, customers and orders.","You will lose any data created since the backup was made, including admin users, Клиенти and Поръчки."
"Are you sure you want to continue?","Сигурни ли сте, че желаете продължение?"
"This may take a few moments.","Това може да продъжи известно време."
"Be sure your store is in maintenance mode during backup.","Уверете се че магазинът е в сервизен режим по време на архивиране."
"Backup Name","Име на Архив"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Моля използвайте замо букви (a-z or A-Z), числа (0-9) или празно в това поле."
"Maintenance mode","Сервизен режим"
"Please put your store into maintenance mode during backup.","Моля поставете магазина в Сервизен режим по време на архивирането."
"Exclude","Изключи"
"Exclude media folder from backup","Изключете папката за Медия от архива"
"Please enter the password to confirm rollback.","Моля, въведете паролата, за да потвърдите възстановяването."
"This action cannot be undone.","Това действи е не може да бъде отменено."
"User Password","Потребителска парола"
"Please put your store into maintenance mode during rollback processing.","Моля поставете магазина в Сервизен режим по време на възстановяването."
"FTP","FTP"
"Use FTP Connection","Използвайте FTP връзка"
"FTP credentials","FTP акредитиви"
"FTP Host","FTP Хост"
"FTP Login","FTP Вход"
"FTP Password","FTP Парола"
"Magento root directory","Основна директория на Magento"
"Create Backup","Създаване на резервно копие"
"Rollback","Връщане към предишна версия"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Разреши планирано архивиране"
"Backup Type","Backup Type"
"Start Time","Начален час"
"Frequency","Честота"
"Maintenance Mode","Режим на профилактика"
"Delete","Изтрий"
"Are you sure you want to delete the selected backup(s)?","Сигурни ли сте, че искате да изтриете избраните архиви?"
"Time","Време"
"Name","Име"
"Size(bytes)","Размер (bytes)"
"Type","Тип"
"Download","Смъкни"
"Action","Действие"
"Backup functionality is disabled","Функционалността за архивиране е деактивирана"
"Backup Settings","Настройки за архивиране"
"Enable Backup","Включване на архивирането"
"Scheduled Backup Type","Тип планирано архивиране"
"Disabled by default for security reasons","Disabled by default for security reasons"
