"System Backup","පද්ධති උපස්ථය"
"Database and Media Backup","දත්ත සමුදාය සහ මාධ්‍ය උපස්ථය"
"Database Backup","දත්ත සමුදා උපස්ථය"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","වින්ඩෝස් පද්ධතිවල <a href=""%1"">%2</a> සමඟ සංරක්ෂිතය සම්පීඩනය කළ හැක."
"You need more permissions to activate maintenance mode right now.","ඔබට දැන් නඩත්තු මාදිලිය සක්‍රිය කිරීමට තවත් අවසර අවශ්‍යයි."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","උපස්ථය සෑදීමට, කරුණාකර ""ගබඩාව නඩත්තු ප්‍රකාරයට දමන්න"" තේරීම ඉවත් කරන්න හෝ ඔබේ අවසර යාවත්කාලීන කරන්න."
"Something went wrong while putting your store into maintenance mode.","ඔබේ වෙළඳසැල නඩත්තු ප්‍රකාරයට දැමීමේදී යම් දෙයක් වැරදී ඇත."
"You need more free space to create a backup.","උපස්ථයක් සෑදීමට ඔබට තවත් නිදහස් ඉඩක් අවශ්‍ය වේ."
"You need more permissions to create a backup.","උපස්ථයක් සෑදීමට ඔබට තවත් අවසර අවශ්‍ය වේ."
"We can't create the backup right now.","අපට දැන් උපස්ථය සෑදිය නොහැක."
"Backups","උපස්ථ"
"System","පද්ධතිය"
"Tools","මෙවලම්"
"Backup","උපස්ථ"
"We can't delete one or more backups.","අපට උපස්ථ එකක් හෝ කිහිපයක් මකා දැමිය නොහැක."
"failed","අසාර්ථක විය"
"successful","සාර්ථක"
"You deleted the selected backup(s).","ඔබ තෝරාගත් උපස්ථ(ය) මකා ඇත."
"Can't load snapshot archive","ස්නැප්ෂොට් සංරක්ෂිතය පූරණය කළ නොහැක"
"Please correct the password.","කරුණාකර මුරපදය නිවැරදි කරන්න."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","ආපසු හැරීම සම්පූර්ණ කිරීමට, කරුණාකර ""ගබඩාව නඩත්තු ප්‍රකාරයට දමන්න"" තේරීම ඉවත් කරන්න හෝ ඔබේ අවසර යාවත්කාලීන කරන්න."
"We can't find the backup file.","අපට උපස්ථ ගොනුව සොයාගත නොහැක."
"We can't connect to the FTP right now.","අපට දැන් FTP වෙත සම්බන්ධ විය නොහැක."
"Failed to validate FTP.","FTP වලංගු කිරීමට අසමත් විය."
"You need more permissions to perform a rollback.","ආපසු හැරීමක් සිදු කිරීමට ඔබට තවත් අවසර අවශ්‍ය වේ."
"Failed to rollback.","ආපසු හැරවීමට අසමත් විය."
"Database","දත්ත සමුදාය"
"Database and Media","දත්ත සමුදාය සහ මාධ්ය"
"System (excluding Media)","පද්ධතිය (මාධ්‍ය හැර)"
"You created the system backup.","ඔබ පද්ධති උපස්ථය සෑදුවා."
"You created the system backup (excluding media).","ඔබ පද්ධති උපස්ථය (මාධ්‍ය හැර) සාදා ඇත."
"You created the database and media backup.","ඔබ දත්ත සමුදාය සහ මාධ්‍ය උපස්ථය සාදා ඇත."
"You created the database backup.","ඔබ දත්ත සමුදා උපස්ථය සාදා ඇත."
"Please correct the order of creation for a new backup.","කරුණාකර නව උපස්ථයක් සඳහා නිර්මාණයේ අනුපිළිවෙල නිවැරදි කරන්න."
"The backup file does not exist.","උපස්ථ ගොනුව නොපවතී."
"The backup file path was not specified.","උපස්ථ ගොනු මාර්ගය සඳහන් කර නොමැත."
"The backup file ""%1"" does not exist.","උපස්ථ ගොනුව ""%1"" නොපවතී."
"Sorry, but we cannot read from or write to backup file ""%1"".","කණගාටුයි, නමුත් අපට ""%1"" ගොනුවෙන් කියවීමට හෝ ලිවීමට නොහැක."
"The backup file handler was unspecified.","උපස්ථ ගොනු හසුරුවන්නා නිශ්චිතව දක්වා නැත."
"Something went wrong while writing to the backup file ""%1"".","උපස්ථ ගොනුව ""%1"" වෙත ලිවීමේදී යමක් වැරදී ඇත."
"We can't save the Cron expression.","අපට Cron ප්‍රකාශනය සුරැකිය නොහැක."
"You will lose any data created since the backup was made, including admin users, customers and orders.","පරිපාලක පරිශීලකයින්, පාරිභෝගිකයින් සහ ඇණවුම් ඇතුළුව උපස්ථය සෑදූ දා සිට සාදන ලද ඕනෑම දත්තයක් ඔබට අහිමි වනු ඇත."
"Are you sure you want to continue?","ඔබට දිගටම කරගෙන යාමට අවශ්‍ය බව විශ්වාසද?"
"This may take a few moments.","මෙය සුළු මොහොතක් ගත විය හැක."
"Be sure your store is in maintenance mode during backup.","උපස්ථ කිරීමේදී ඔබේ වෙළඳසැල නඩත්තු මාදිලියේ ඇති බවට වග බලා ගන්න."
"Backup Name","උපස්ථ නම"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ අකුරු (az හෝ AZ), අංක (0-9) හෝ හිස්තැන් පමණක් භාවිතා කරන්න."
"Maintenance mode","නඩත්තු ප්රකාරය"
"Please put your store into maintenance mode during backup.","කරුණාකර උපස්ථ කිරීමේදී ඔබේ වෙළඳසැල නඩත්තු ප්‍රකාරයට දමන්න."
"Exclude","බැහැර කරන්න"
"Exclude media folder from backup","උපස්ථයෙන් මාධ්‍ය ෆෝල්ඩරය බැහැර කරන්න"
"Please enter the password to confirm rollback.","ආපසු හැරීම තහවුරු කිරීමට කරුණාකර මුරපදය ඇතුළත් කරන්න."
"This action cannot be undone.","මෙම ක්‍රියාව පසුගමනය කළ නොහැක."
"User Password","පරිශීලක මුරපදය"
"Please put your store into maintenance mode during rollback processing.","කරුණාකර පෙරළීමේ ක්‍රියාවලියේදී ඔබේ වෙළඳසැල නඩත්තු ප්‍රකාරයට දමන්න."
"FTP","FTP"
"Use FTP Connection","FTP සම්බන්ධතාවය භාවිතා කරන්න"
"FTP credentials","FTP අක්තපත්‍ර"
"FTP Host","FTP සත්කාරක"
"FTP Login","FTP පිවිසුම"
"FTP Password","FTP මුරපදය"
"Magento root directory","Magento මූල නාමාවලිය"
"Create Backup","උපස්ථ සාදන්න"
"Rollback","ආපසු හැරවීම"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","උපලේඛනගත උපස්ථය සබල කරන්න"
"Backup Type","Backup Type"
"Start Time","ආරම්භක වේලාව"
"Frequency","සංඛ්යාතය"
"Maintenance Mode","නඩත්තු ප්රකාරය"
"Delete","මකන්න"
"Are you sure you want to delete the selected backup(s)?","ඔබට තෝරාගත් උපස්ථ(ය) මකා දැමීමට අවශ්‍ය බව විශ්වාසද?"
"Time","කාලය"
"Name","නම"
"Size(bytes)","ප්‍රමාණය(බයිට්)"
"Type","ටයිප් කරන්න"
"Download","බාගත"
"Action","කටයුතු"
"Backup functionality is disabled","උපස්ථ ක්‍රියාකාරීත්වය අබල කර ඇත"
"Backup Settings","උපස්ථ සැකසුම්"
"Enable Backup","උපස්ථය සබල කරන්න"
"Scheduled Backup Type","උපලේඛනගත උපස්ථ වර්ගය"
"Disabled by default for security reasons","Disabled by default for security reasons"
