"System Backup","Systemsicherung"
"Database and Media Backup","Datenbank- und Mediensicherung"
"Database Backup","Datenbanksicherung"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Das Archiv kann mit <a href=""%1"">%2</a> auf Windows-Systemen dekomprimiert werden."
"You need more permissions to activate maintenance mode right now.","Sie benötigen weitere Berechtigungen um den Wartungsmodus jetzt zu aktivieren."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Um die Sicherung zu erstellen, deaktivieren Sie bitte ""Store in den Wartungsmodus versetzen"" oder aktualisieren Sie Ihre Berechtigungen."
"Something went wrong while putting your store into maintenance mode.","Etwas ging schief, während Ihr Store in den Wartungsmodus versetzt wurde."
"You need more free space to create a backup.","Sie brauchen mehr freien Speicherplatz, um eine Sicherung zu erstellen."
"You need more permissions to create a backup.","Sie benötigen weitere Berechtigungen zum Erstellen einer Sicherung."
"We can't create the backup right now.","Wir können die Sicherung jetzt nicht erstellen."
"Backups","Sicherungen"
"System","System"
"Tools","Werkzeuge"
"Backup","Sicherung"
"We can't delete one or more backups.","Wir können eine oder mehrere Sicherungen nicht löschen."
"failed","fehlgeschlagen"
"successful","erfolgreich"
"You deleted the selected backup(s).","Sie entfernten die ausgewählten Sicherung(en)."
"Can't load snapshot archive","Snapshot-Archiv kann nicht geladen werden"
"Please correct the password.","Bitte korrigieren Sie das Passwort."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Um das Rollback abzuschließen, deaktivieren Sie bitte die Option ""Store in den Wartungsmodus setzen"" oder aktualisieren Sie Ihre Berechtigungen."
"We can't find the backup file.","Wir können die Sicherungsdatei nicht finden."
"We can't connect to the FTP right now.","Wir können zur Zeit nicht mit FTP verbinden."
"Failed to validate FTP.","FTP-Überprüfung fehlgeschlagen."
"You need more permissions to perform a rollback.","Sie benötigen weitere Berechtigungen zum Ausführen eines Rollbacks."
"Failed to rollback.","Rollback fehlgeschlagen."
"Database","Datenbank"
"Database and Media","Datenbank und Medien"
"System (excluding Media)","System (ausgenommen Medien)"
"You created the system backup.","Sie haben die Systemsicherung erstellt."
"You created the system backup (excluding media).","Sie haben die Systemsicherung (ausgenommen Medien) erstellt."
"You created the database and media backup.","Sie haben die Datenbank- und Mediensicherung erstellt."
"You created the database backup.","Sie haben die Datenbanksicherung erstellt."
"Please correct the order of creation for a new backup.","Bitte korrigieren Sie die Erstellungsreihenfolge für eine neue Sicherung."
"The backup file does not exist.","Die Sicherungsdatei ist nicht vorhanden."
"The backup file path was not specified.","Der Pfad der Sicherungsdatei wurde nicht angegeben."
"The backup file ""%1"" does not exist.","Die Sicherungsdatei ""%1"" ist nicht vorhanden."
"Sorry, but we cannot read from or write to backup file ""%1"".","Entschuldigung, aber die Sicherungsdatei ""%1"" kann weder gelesen noch beschrieben werden."
"The backup file handler was unspecified.","Der Sicherungsdatei-Handler wurde nicht spezifiziert."
"Something went wrong while writing to the backup file ""%1"".","Etwas ging schief beim Beschreiben der Sicherungsdatei ""%1""."
"We can't save the Cron expression.","Der Cron-Ausdruck kann nicht gespeichert werden."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Sie werden alle Daten verlieren, die seit der letzten Sicherung erzeugt wurden. Dies schließt Admin-Benutzer, Kunden und Bestellungen ein."
"Are you sure you want to continue?","Sind Sie sicher, dass Sie fortfahren möchten?"
"This may take a few moments.","Die kann einige Augenblicke dauern."
"Be sure your store is in maintenance mode during backup.","Bitte versetzen Sie Ihren Store während der Sicherung in den Wartungsmodus."
"Backup Name","Name der Sicherung"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Bitte verwenden Sie nur Buchstaben (a-z und A-Z), Zahlen (0-9) oder Leerzeichen in diesem Feld."
"Maintenance mode","Wartungsmodus"
"Please put your store into maintenance mode during backup.","Bitte versetzen Sie Ihren Store während der Sicherung in den Wartungsmodus."
"Exclude","Ausschließen"
"Exclude media folder from backup","Medienordner von Sicherung ausschließen"
"Please enter the password to confirm rollback.","Bitte geben Sie ihr Passwort ein, um den Rollback zu bestätigen."
"This action cannot be undone.","Diese Aktion kann nicht rückgängig gemacht werden."
"User Password","Benutzerkennwort"
"Please put your store into maintenance mode during rollback processing.","Bitte aktivieren Sie den Wartungsmodus während des Rollbacks."
"FTP","FTP"
"Use FTP Connection","FTP-Verbindung verwenden"
"FTP credentials","FTP-Anmeldeinformationen"
"FTP Host","FTP-Server"
"FTP Login","FTP-Benutzername"
"FTP Password","FTP-Kennwort"
"Magento root directory","Magento-Root-Verzeichnis"
"Create Backup","Backup erstellen"
"Rollback","Wiederherstellung"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Geplante Sicherungen aktivieren"
"Backup Type","Backup Type"
"Start Time","Startzeit"
"Frequency","Häufigkeit"
"Maintenance Mode","Wartungsmodus"
"Delete","Löschen"
"Are you sure you want to delete the selected backup(s)?","Sind Sie sicher, dass Sie die ausgewählten Backups löschen möchten?"
"Time","Zeit"
"Name","Name"
"Size(bytes)","Größe (Bytes)"
"Type","Typ"
"Download","Herunterladen"
"Action","Aktion"
"Backup functionality is disabled","Die Sicherungsfunktion ist deaktiviert"
"Backup Settings","Sicherungseinstellungen"
"Enable Backup","Sicherung aktivieren"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Disabled by default for security reasons"
