"System Backup","Säkerhetskopia av systemet"
"Database and Media Backup","Databas och Media Backup"
"Database Backup","Säkerhetskopiering av databasen"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Arkivet kan vara komprimerade med <a href=""%1"">%2</a> på Windows-system."
"You need more permissions to activate maintenance mode right now.","Behöver du fler behörigheter att aktivera underhållsläge just nu."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Skapa säkerhetskopian, vänligen avmarkera ""Sätt store i underhållsläge"" eller uppdatera dina behörigheter."
"Something went wrong while putting your store into maintenance mode.","Något gick fel samtidigt sätta din butik i underhållsläge."
"You need more free space to create a backup.","Du behöver mer ledigt utrymme att skapa en säkerhetskopia."
"You need more permissions to create a backup.","Du behöver fler behörigheter att skapa en säkerhetskopia."
"We can't create the backup right now.","Vi kan inte skapa säkerhetskopian just nu."
"Backups","Säkerhetskopior"
"System","System"
"Tools","Verktyg"
"Backup","Säkerhetskopiering"
"We can't delete one or more backups.","Vi kan inte ta bort en eller flera säkerhetskopior."
"failed","misslyckades"
"successful","lyckades"
"You deleted the selected backup(s).","Du har tagit bort de markerade säkerhetskopiorna."
"Can't load snapshot archive","Kan inte ladda arkivet med ögonblicksbilder"
"Please correct the password.","Vänligen rätta lösenordet."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","För att slutföra återställningen, vänligen avmarkera ""Sätt store i underhållsläge"" eller uppdatera dina behörigheter."
"We can't find the backup file.","Vi kan inte hitta backupfilen."
"We can't connect to the FTP right now.","Vi kan inte ansluta till FTP just nu."
"Failed to validate FTP.","Det gick inte att validera FTP."
"You need more permissions to perform a rollback.","Behöver du fler behörigheter för att utföra en återställning."
"Failed to rollback.","Det gick inte att ångra."
"Database","Databas"
"Database and Media","Databas och Media"
"System (excluding Media)","System (exklusive Media)"
"You created the system backup.","Du skapade en säkerhetskopia av systemet."
"You created the system backup (excluding media).","Du skapade system säkerhetskopian (exklusive media)."
"You created the database and media backup.","Du skapat databasen och media backup."
"You created the database backup.","Du skapade säkerhetskopian av databasen."
"Please correct the order of creation for a new backup.","Vänligen rätta ordningen av skapandet för en ny säkerhetskopia."
"The backup file does not exist.","Den säkerhetskopierade filen existerar inte."
"The backup file path was not specified.","Sökvägen till säkerhetskopian angavs inte."
"The backup file ""%1"" does not exist.","Den säkerhetskopiera filen ""%1"" existerar inte."
"Sorry, but we cannot read from or write to backup file ""%1"".","Ledsen, men vi kan inte läsa från eller skriva till backup filen ""%1""."
"The backup file handler was unspecified.","Filhanteringssystemet i backup var ospecificerade."
"Something went wrong while writing to the backup file ""%1"".","Något gick fel vid skrivning till den säkerhetskopierade filen ""%1""."
"We can't save the Cron expression.","Vi kan inte spara cron-uttrycket."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Du kommer att förlora all data som skapats sedan säkerhetskopian gjordes, inklusive administratörsanvändare, kunder och order."
"Are you sure you want to continue?","Är du säker på att du vill fortsätta?"
"This may take a few moments.","Detta kan ta en stund."
"Be sure your store is in maintenance mode during backup.","Vara säker på att din butik är i underhållsläge under säkerhetskopieringen."
"Backup Name","Säkerhetskopians namn"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Använd endast bokstäver (a-z eller A-Z), siffror (0-9) eller blanksteg i fältet."
"Maintenance mode","Underhålls-läge: Förhindra kunder att se din butik. De möter istället ett underhålls-meddelande. Om du är inloggad som admin så ser du butiken som vanligt"
"Please put your store into maintenance mode during backup.","Vänligen sätta din butik i underhållsläge under säkerhetskopieringen."
"Exclude","Uteslut"
"Exclude media folder from backup","Utesluta media-mapp från säkerhetskopia"
"Please enter the password to confirm rollback.","Ange lösenordet för att bekräfta återställningen."
"This action cannot be undone.","Denna åtgärd kan inte ångras."
"User Password","Användarlösenord"
"Please put your store into maintenance mode during rollback processing.","Vänligen sätta din butik underhållsläge under rollback bearbetning."
"FTP","FTP"
"Use FTP Connection","Använd FTP-anslutning"
"FTP credentials","FTP-uppgifter"
"FTP Host","FTP-värd"
"FTP Login","FTP-inloggning"
"FTP Password","FTP-lösenord"
"Magento root directory","Magento rotkatalog"
"Create Backup","Skapa säkerhetskopia"
"Rollback","Återladdning"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Aktivera schemalagd säkerhetskopiering"
"Backup Type","Backup Type"
"Start Time","Starttid"
"Frequency","Frekvens"
"Maintenance Mode","Underhålls-läge: Förhindra kunder att se din butik. De möter istället ett underhålls-meddelande. Om du är inloggad som admin så ser du butiken som vanligt"
"Delete","Ta bort"
"Are you sure you want to delete the selected backup(s)?","Är du säker på att du vill ta bort de utvalda backup(sen)?"
"Time","Tid"
"Name","Namn"
"Size(bytes)","Storlek(bytes)"
"Type","Typ"
"Download","Ladda ner"
"Action","Åtgärd"
"Backup functionality is disabled","Säkerhetskopiering är inaktiverat"
"Backup Settings","Inställningar för säkerhetskopiering"
"Enable Backup","Aktivera säkerhetskopiering"
"Scheduled Backup Type","Schemalagd säkerhetskopieringstyp"
"Disabled by default for security reasons","Disabled by default for security reasons"
