"System Backup","สำรองข้อมูลระบบ"
"Database and Media Backup","สำรองข้อมูล ฐานข้อมูลและสื่อ"
"Database Backup","การสำรองข้อมูล ฐานข้อมูล"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems."
"You need more permissions to activate maintenance mode right now.","You need more permissions to activate maintenance mode right now."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions."
"Something went wrong while putting your store into maintenance mode.","Something went wrong while putting your store into maintenance mode."
"You need more free space to create a backup.","You need more free space to create a backup."
"You need more permissions to create a backup.","You need more permissions to create a backup."
"We can't create the backup right now.","We can't create the backup right now."
"Backups","การสำรองข้อมูล"
"System","ระบบ"
"Tools","เครื่องมือ"
"Backup","การสำรองข้อมูล"
"We can't delete one or more backups.","We can't delete one or more backups."
"failed","ล้มเหลว"
"successful","สำเร็จแล้ว"
"You deleted the selected backup(s).","คุณลบ backup(s) ที่เลือกแล้ว"
"Can't load snapshot archive","Can't load snapshot archive"
"Please correct the password.","โปรดแก้ไขรหัสผ่าน"
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions."
"We can't find the backup file.","We can't find the backup file."
"We can't connect to the FTP right now.","We can't connect to the FTP right now."
"Failed to validate FTP.","ล้มเหลวในการตรวจสอบ FTP"
"You need more permissions to perform a rollback.","You need more permissions to perform a rollback."
"Failed to rollback.","Failed to rollback."
"Database","ฐานข้อมูล"
"Database and Media","ฐานข้อมูลและสื่อ"
"System (excluding Media)","ระบบ (ไม่รวม สื่อ)"
"You created the system backup.","คุณสร้างการสำรองข้อมูลระบบแล้ว"
"You created the system backup (excluding media).","คุณสร้างการสำรองข้อมูล (ไม่รวมสื่อ) แล้ว"
"You created the database and media backup.","คุณสร้างการสำรองข้อมูล ฐานข้อมูลและสื่อ แล้ว"
"You created the database backup.","คุณสร้างการสำรองข้อมูล ฐานข้อมูล แล้ว"
"Please correct the order of creation for a new backup.","Please correct the order of creation for a new backup."
"The backup file does not exist.","The backup file does not exist."
"The backup file path was not specified.","The backup file path was not specified."
"The backup file ""%1"" does not exist.","The backup file ""%1"" does not exist."
"Sorry, but we cannot read from or write to backup file ""%1"".","Sorry, but we cannot read from or write to backup file ""%1""."
"The backup file handler was unspecified.","The backup file handler was unspecified."
"Something went wrong while writing to the backup file ""%1"".","Something went wrong while writing to the backup file ""%1""."
"We can't save the Cron expression.","We can't save the Cron expression."
"You will lose any data created since the backup was made, including admin users, customers and orders.","You will lose any data created since the backup was made, including admin users, customers and orders."
"Are you sure you want to continue?","คุณแน่ใจว่าต้องการดำเนินการต่อ?"
"This may take a few moments.","อาจใช้เวลาสักครู่…"
"Be sure your store is in maintenance mode during backup.","โปรดตรวจสอบให้แน่ใจว่าร้านค้าของคุณได้เปลี่ยนเป็น โหมดการบำรุงรักษา ในระหว่างการสำรองข้อมูล"
"Backup Name","ชื่อการสำรองข้อมูล"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","โปรดใช้เฉพาะตัวอักษร (a-z หรือ A-z), ตัวเลข (0-9) หรือ spaces ในฟิลด์นี้"
"Maintenance mode","โหมดการบำรุงรักษา"
"Please put your store into maintenance mode during backup.","กรุณาเปลี่ยนร้านค้าของคุณเป็น โหมดการบำรุงรักษา ในระหว่างการสำรองข้อมูล"
"Exclude","ไม่รวม"
"Exclude media folder from backup","ยกเว้นโฟลเดอร์ สื่อ ในการสำรองข้อมูล"
"Please enter the password to confirm rollback.","โปรดระบุ รหัสผ่าน เพื่อยืนยันการ คืนค่าย้อนกลับ"
"This action cannot be undone.","การกระทำนี้ไม่สามารถยกเลิกได้"
"User Password","รหัสผ่านของคุณ"
"Please put your store into maintenance mode during rollback processing.","กรุณาเปลี่ยนร้านค้าของคุณเป็น โหมดการบำรุงรักษา ในระหว่างการเรียกข้อมูลย้อนกลับ"
"FTP","FTP"
"Use FTP Connection","ใช้การเชื่อมต่อ FTP"
"FTP credentials","ข้อมูลรับรอง FTP"
"FTP Host","FTP Host"
"FTP Login","เข้าสู่ระบบ FTP"
"FTP Password","รหัสผ่าน FTP"
"Magento root directory","Magento root directory"
"Create Backup","สร้างการสำรองข้อมูลใหม่"
"Rollback","เรียกคืนค่าย้อนกลับ"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","เปิดการใช้งาน การสำรองข้อมูลล่วงหน้า"
"Backup Type","Backup Type"
"Start Time","วันที่เริ่มต้น"
"Frequency","ความถี่"
"Maintenance Mode","โหมดการบำรุงรักษา"
"Delete","ลบ"
"Are you sure you want to delete the selected backup(s)?","คุณแน่ใจว่าต้องการลบ backup(s) ที่เลือกหรือไม่?"
"Time","เวลา"
"Name","ชื่อ"
"Size(bytes)","ขนาด(bytes)"
"Type","ชนิด"
"Download","ดาวน์โหลด"
"Action","ดำเนินการ"
"Backup functionality is disabled","Backup functionality is disabled"
"Backup Settings","Backup Settings"
"Enable Backup","Enable Backup"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Disabled by default for security reasons"
