"System Backup","Rendszer biztonsági másolat"
"Database and Media Backup","Adatbázis média biztonsági mentés"
"Database Backup","Adatbázis biztonsági mentés"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Az Archívum kicsomagolható Windows rendszereken a <a href=""%1"">%2</a> segítségével."
"You need more permissions to activate maintenance mode right now.","Szüksége van további jogosultságokra, ha most a karbantartási üzemmódot szeretné aktiválni."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","A biztonsági másolat létrehozásához kérem törölje a kijelölést a ""Weboldalt karbantartási módba állítása"" mellől, vagy változtasson a jogosultságán."
"Something went wrong while putting your store into maintenance mode.","Valami félresikerült miközben a weboldalt karbantartási módba próbáltuk állítani."
"You need more free space to create a backup.","Kevés a szabad hely a meghajtón a biztonsági másolat készítéséhez."
"You need more permissions to create a backup.","Önnek további jogosultságokra van szüksége a biztonsági másolat készítéséhez."
"We can't create the backup right now.","Jelenleg nem tudjuk létrehozni a biztonsági mentést."
"Backups","Biztonsági mentések"
"System","Rendszer"
"Tools","Eszközök"
"Backup","Biztonsági mentés"
"We can't delete one or more backups.","Nem tudunk törölni egy vagy több biztonsági mentést."
"failed","nem sikerült"
"successful","sikeres"
"You deleted the selected backup(s).","Törölte a kijelölt biztonsági mentését vagy mentéseit."
"Can't load snapshot archive","Nem tudjuk betölteni a tárolt pillanatfelvételt"
"Please correct the password.","Kérem javítsa ki a jelszót."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","A visszaállításhoz kérem törölje a kijelölést a ""Weboldalt karbantartási módba állítása"" mellől, vagy változtasson a jogosultságán."
"We can't find the backup file.","A biztonsági mentés állománya nem található."
"We can't connect to the FTP right now.","Jelenleg nem tudunk FTP kapcsolatot létrehozni."
"Failed to validate FTP.","Nem sikerült érvényesíteni az FTP-t."
"You need more permissions to perform a rollback.","Önnek további jogosultságokra van szüksége a visszaállításhoz."
"Failed to rollback.","Nem sikerült a visszaállítás."
"Database","Adatbázis"
"Database and Media","Adatbázis és média"
"System (excluding Media)","Rendszer (kivéve a Media)"
"You created the system backup.","A rendszer biztonsági másolat létrejött."
"You created the system backup (excluding media).","A rendszer biztonsági másolat létrejött (kivéve a Médiát)."
"You created the database and media backup.","Az adatbázis és a média biztonsági mentés létrejött."
"You created the database backup.","Az Adatbázis biztonsági másolata létrejött."
"Please correct the order of creation for a new backup.","Kérem javítsa ki az új biztonsági mentés készítésének sorrendjét."
"The backup file does not exist.","A biztonságimásolat-fájl nem létezik."
"The backup file path was not specified.","A biztonságimásolat-fájl elérési útja nincs megadva."
"The backup file ""%1"" does not exist.","A biztonságimásolat-fájl ""%1"" nem létezik."
"Sorry, but we cannot read from or write to backup file ""%1"".","Sajnáljuk, de nem lehet olvasni vagy írni a biztonságimásolat-fájl ""%1""."
"The backup file handler was unspecified.","A biztonságimásolat-fájl kezelő nincs megadva."
"Something went wrong while writing to the backup file ""%1"".","Valami elromlott a biztonságimásolat-fájl ""%1"" írása közben."
"We can't save the Cron expression.","Nem tudjuk menteni a Cron kifejezést."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Minden adat el fog veszni ami a biztonsági másolat készítése után jött létre. Beleértve felhasználói fiókokat, rendeléseket, és az Admin felhasználókat is."
"Are you sure you want to continue?","Biztosan folytatni kívánja?"
"This may take a few moments.","Ez néhány percet igénybevesz."
"Be sure your store is in maintenance mode during backup.","Győződjön meg arról, hogy a weboldal karbantartási üzemmódban van a biztonsági másolat készítése alatt."
"Backup Name","Biztonsági másolat neve"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Ebben a mezőben csak betűket (a-z vagy A-Z), számokat (0-9) vagy szóközöket használhat."
"Maintenance mode","Karbantartás üzemmód"
"Please put your store into maintenance mode during backup.","Kérjük, hogy a weboldalt állítsa karbantartási módba biztonsági mentés során."
"Exclude","Kizárás"
"Exclude media folder from backup","Média könyvtár kizárása"
"Please enter the password to confirm rollback.","Kérjük írja be a jelszót, hogy megerősítse visszaállítást."
"This action cannot be undone.","Ez a művelet nem vonható vissza."
"User Password","Felhasználói jelszó"
"Please put your store into maintenance mode during rollback processing.","Kérjük, hogy a webáruházat állítsa karbantartási módba visszaállítás ideje alatt."
"FTP","FTP"
"Use FTP Connection","Használja az FTP-kapcsolatot"
"FTP credentials","FTP-hitelesítő adatok"
"FTP Host","FTP állomás"
"FTP Login","FTP bejelentkezés"
"FTP Password","FTP jelszó"
"Magento root directory","Magento gyökérkönyvtár"
"Create Backup","Másolat készítése"
"Rollback","Visszaállítás"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Ütemezett biztonságimásolat-készítés engedélyezése"
"Backup Type","Backup Type"
"Start Time","Kezdés ideje"
"Frequency","Gyakoriság"
"Maintenance Mode","Karbantartás üzemmód"
"Delete","Törlés"
"Are you sure you want to delete the selected backup(s)?","Biztosan törli a kijelölt biztonsági mentését vagy mentéseit?"
"Time","Idő"
"Name","Név"
"Size(bytes)","Méret(bytes)"
"Type","Típus"
"Download","Letöltés"
"Action","Akció"
"Backup functionality is disabled","Biztonsági mentés letiltva"
"Backup Settings","Biztonsági mentés beállításai"
"Enable Backup","Biztonsági mentés engedélyezése"
"Scheduled Backup Type","Ütemezett biztonsági mentés fajtája"
"Disabled by default for security reasons","Disabled by default for security reasons"
