"System Backup","Tizimni zaxiralash"
"Database and Media Backup","Ma'lumotlar bazasi va media zaxiralash"
"Database Backup","Ma'lumotlar bazasini zahiralash"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Arxiv Windows tizimlarida <a href=""%1"">%2</a> bilan siqilgan bo'lishi mumkin."
"You need more permissions to activate maintenance mode right now.","Hozirgi vaqtda texnik rejimni yoqish uchun qo'shimcha huquqlar talab qilinadi."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Zahira nusxasini yaratish uchun ""Do'konda xizmat ko'rsatish rejimida"" variantini o'chiring yoki o'z huquqlaringizni yangilang."
"Something went wrong while putting your store into maintenance mode.","Do'konni texnik rejimga o'tkazishda muammo yuz berdi."
"You need more free space to create a backup.","Zahiraga ega bo'lish uchun ko'proq bo'sh joy kerak."
"You need more permissions to create a backup.","Zahiraga ega bo'lish uchun qo'shimcha huquqlar talab qilinadi."
"We can't create the backup right now.","We can't create the backup right now."
"Backups","Zaxiralashlar"
"System","Tizim"
"Tools","Asboblar"
"Backup","Zaxiralash"
"We can't delete one or more backups.","We can't delete one or more backups."
"failed","xatolik"
"successful","muvaffaqiyatli"
"You deleted the selected backup(s).","Tanlangan zahirani (lar) o'chirdingiz."
"Can't load snapshot archive","Can't load snapshot archive"
"Please correct the password.","Iltimos, parolni to'g'rilang."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Orqaga qaytish jarayonini yakunlash uchun ""Do'konni ta'mirlash rejimiga qo'ying"" bandini bekor qiling yoki huquqlarni yangilang."
"We can't find the backup file.","We can't find the backup file."
"We can't connect to the FTP right now.","We can't connect to the FTP right now."
"Failed to validate FTP.","FTPni tekshirib bo'lmadi."
"You need more permissions to perform a rollback.","Qaytish jarayonini amalga oshirish uchun qo'shimcha huquqlar talab qilinadi."
"Failed to rollback.","Orqaga olish amalga oshmadi."
"Database","Ma'lumotlar bazasi"
"Database and Media","Ma'lumotlar bazasi va media fayllari"
"System (excluding Media)","Tizim (Mediadan tashqari)"
"You created the system backup.","Siz tizim zahirasini yaratdingiz."
"You created the system backup (excluding media).","Siz tizim zahirasini yaratdingiz (mediadan tashqari)."
"You created the database and media backup.","Ma'lumotlar bazasini va media zahirasini yaratdingiz."
"You created the database backup.","Siz ma'lumotlar bazasining zaxira nusxasini yaratdingiz."
"Please correct the order of creation for a new backup.","Iltimos, yangi zaxira yaratish tartibini to'g'rilang."
"The backup file does not exist.","Zaxira fayl mavjud emas."
"The backup file path was not specified.","Zaxira faylining yo'li aniqlanmadi."
"The backup file ""%1"" does not exist.","""%1"" zaxira fayli mavjud emas."
"Sorry, but we cannot read from or write to backup file ""%1"".","Kechirasiz, lekin biz ""%1"" zaxira faylini o'qiy olmaymiz yoki yozolmaymiz."
"The backup file handler was unspecified.","Zahiralangan fayllar yo'li ko'rsatilmagan."
"Something went wrong while writing to the backup file ""%1"".","""%1"" zaxira faylida xatolik yuz berdi."
"We can't save the Cron expression.","We can't save the Cron expression."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Zaxira qilingan vaqtdan so'ng yaratilgan ma'lumotlar, jumladan, administrator foydalanuvchilar, mijozlar va buyurtmalarni yo'qotasiz."
"Are you sure you want to continue?","Davom etishni xohlaysizmi?"
"This may take a few moments.","Bu bir necha daqiqa vaqt olishi mumkin."
"Be sure your store is in maintenance mode during backup.","Do'kon zaxiralash paytida xizmat ko'rsatish rejimida ekanligiga ishonch hosil qiling."
"Backup Name","Zaxiralash nomi"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Iltimos, faqat ushbu harflardan foydalaning (a-z yoki A-Z), raqamlar (0-9) yoki probeldan."
"Maintenance mode","Xizmat holati"
"Please put your store into maintenance mode during backup.","Zaxira paytida do'koningizni texnik rejimga o'tkazing."
"Exclude","Istisno"
"Exclude media folder from backup","Media papkasini zahiradan chiqarib tashlang"
"Please enter the password to confirm rollback.","Qaytarilishni tasdiqlash uchun parolni kiriting."
"This action cannot be undone.","Ushbu amalni bekor qilish mumkin emas."
"User Password","Foydalanuvchi paroli"
"Please put your store into maintenance mode during rollback processing.","Qaytarish jarayonida do'koningizni texnik rejimga o'tkazing."
"FTP","FTP"
"Use FTP Connection","FTP ulanishidan foydalaning"
"FTP credentials","FTP sozlamalari"
"FTP Host","FTP server"
"FTP Login","FTP Login"
"FTP Password","FTP Paroli"
"Magento root directory","Magentoning asosiy katalogi"
"Create Backup","Zahira nusxasini yarating"
"Rollback","Orqaga qaytish"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Jadvaldagi zaxirani yoqish"
"Backup Type","Backup Type"
"Start Time","Boshlanish vaqti"
"Frequency","Muntazamlik"
"Maintenance Mode","Xizmat rejimi"
"Delete","O‘chirish"
"Are you sure you want to delete the selected backup(s)?","Siz tanlagan zahira(lar) ni o'chirmoqchimisiz?"
"Time","Vaqt"
"Name","Ism"
"Size(bytes)","Hajmi (bytes)"
"Type","Turi"
"Download","Yuklab oling"
"Action","Harakat"
"Backup functionality is disabled","Backup functionality is disabled"
"Backup Settings","Backup Settings"
"Enable Backup","Enable Backup"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Disabled by default for security reasons"
