"System Backup","גיבוי המערכת"
"Database and Media Backup","גיבוי מסד נתונים ומדיה"
"Database Backup","גיבוי מסד הנתונים"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","הארכיון יכול להיות דחוס עם <a href=""%1"">%2</a> על מערכות Windows."
"You need more permissions to activate maintenance mode right now.","אתה צריך הרשאות נוספות להפעלת מצב תחזוקה ברגע זה."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","כדי ליצור את הגיבוי, אנא בטלו את הסימון ""לשים את החנות למצב ' תחזוקה '"" או לעדכן את ההרשאות שלך."
"Something went wrong while putting your store into maintenance mode.","משהו השתבש כאשר שמת את החנות שלך במצב ' תחזוקה '."
"You need more free space to create a backup.","עליך לפנות שטח נוסף כדי ליצור גיבוי."
"You need more permissions to create a backup.","אתה צריך הרשאות נוספות כדי ליצור גיבוי."
"We can't create the backup right now.","איננו יכולים ליצור את הגיבוי שביקשת כעת."
"Backups","גיבויים"
"System","מערכת"
"Tools","כלים"
"Backup","גיבוי"
"We can't delete one or more backups.","איננו יכולים למחוק את הגיבוי/ים."
"failed","נכשל"
"successful","עבר בהצלחה"
"You deleted the selected backup(s).","הגיבוי(ים) שנבחרו נמחקו בהצלחה."
"Can't load snapshot archive","איננו יכולים לטעון את הארכיון"
"Please correct the password.","נא לתקן את הסיסמה."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","כדי להשלים את החזרה למצב קודם, אנא בטלו את הסימון ""לשים את החנות למצב ' תחזוקה '"" או לעדכן את ההרשאות שלך."
"We can't find the backup file.","לא נמצאו קבצי גיבוי."
"We can't connect to the FTP right now.","לא ניתן להתחבר עם FTP כרגע."
"Failed to validate FTP.","לא ניתן לאמת את הגישה ל-FTP."
"You need more permissions to perform a rollback.","לא ניתן לבצע Rollback עם ההרשאות הנוכחיות."
"Failed to rollback.","תהליך ה-Rollback נכשל."
"Database","בסיס נתונים"
"Database and Media","בסיס נתונים ומדיה"
"System (excluding Media)","קבצי מערכת (לא כולל קבצי מדיה)"
"You created the system backup.","גיבוי למערכת נוצר."
"You created the system backup (excluding media).","גיבוי למערכת (ללא קבצי מדיה) נוצר."
"You created the database and media backup.","גיבוי לבסיס הנתונים ולקבצי המדיה נוצר."
"You created the database backup.","גיבוי לבסיס הנתונים נוצר."
"Please correct the order of creation for a new backup.","נא תקן את סדר היצירה עבור גיבוי חדש."
"The backup file does not exist.","לא קיים גיבוי."
"The backup file path was not specified.","לא צוין נתיב ליצירת קובץ הגיבוי."
"The backup file ""%1"" does not exist.","קובץ הגיבוי ""%1"" אינו קיים."
"Sorry, but we cannot read from or write to backup file ""%1"".","מצטערים, אבל אנחנו לא יכולים לקרוא או לכתוב את קובץ הגיבוי ""%1""."
"The backup file handler was unspecified.","הגיבוי עבור הקובץ לא צוין."
"Something went wrong while writing to the backup file ""%1"".","משהו השתבש בעת כתיבת קובץ גיבוי ""%1""."
"We can't save the Cron expression.","איננו יכולים לשמור את הCron."
"You will lose any data created since the backup was made, including admin users, customers and orders.","כל מידע שנוצר לאחר לקיחת הגיבוי יאבד, כולל משתמשים, לקוחות והזמנות."
"Are you sure you want to continue?","האם אתה בטוח שברצונך להמשיך?"
"This may take a few moments.","פעולה זו עשויה להימשך מספר רגעים."
"Be sure your store is in maintenance mode during backup.","ודא שאת החנות שלך נמצאת במצב תחזוקה במהלך הגיבוי."
"Backup Name","שם גיבוי"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","נא להשתמש רק באותיות (a-z או A-Z), מספרים (0-9) או רווחים בשדה זה."
"Maintenance mode","מצב תחזוקה"
"Please put your store into maintenance mode during backup.","בבקשה לשים את החנות שלך למצב ' Maintenance ' במהלך הגיבוי."
"Exclude","הוצא"
"Exclude media folder from backup","אל תכלול את תקיית המדיה לגיבוי"
"Please enter the password to confirm rollback.","נא הזן את הסיסמה כדי לאשר חזרה למצב קודם."
"This action cannot be undone.","פעולה זו לא ניתנת לביטול."
"User Password","סיסמת משתמש"
"Please put your store into maintenance mode during rollback processing.","בבקשה לשים את החנות שלך למצב ' maintenance ' במהלך השחזור למצב קודם."
"FTP","FTP"
"Use FTP Connection","השתמש בחיבור FTP"
"FTP credentials","פרטי ה-FTP"
"FTP Host","שרת FTP"
"FTP Login","התחברות ל-FTP"
"FTP Password","סיסמת FTP"
"Magento root directory","ספריית הRoot של מג'נטו"
"Create Backup","צור גיבוי"
"Rollback","חזרה למצב קודם"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","הפעלת גיבוי מתוזמן"
"Backup Type","Backup Type"
"Start Time","שעת התחלה"
"Frequency","תדירות"
"Maintenance Mode","מצב תחזוקה"
"Delete","מחק"
"Are you sure you want to delete the selected backup(s)?","האם אתה בטוח שברצונך למחוק את גיבויים שנבחרו?"
"Time","זמן"
"Name","שם"
"Size(bytes)","גודל(בייטים)"
"Type","סוג"
"Download","הורדה"
"Action","פעולה"
"Backup functionality is disabled","Backup functionality is disabled"
"Backup Settings","Backup Settings"
"Enable Backup","Enable Backup"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Disabled by default for security reasons"
