"System Backup","Kopia systemu"
"Database and Media Backup","Kopia bazy danych i mediów"
"Database Backup","Kopia bazy danych"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Archiwum może zostać rozpakowane przy pomocy <a href=%1"">%2</a> w systemach Windows""."
"You need more permissions to activate maintenance mode right now.","Potrzebujesz więcej uprawnień, aby uaktywnić tryb przerwy technicznej."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","W celu utworzenia kopii zapasowej, usuń zaznaczenie ""Przełącz sklep w tryb konserwacji"" lub zaktualizuj swoje uprawnienia."
"Something went wrong while putting your store into maintenance mode.","Coś się zepsuło podczas przechodzenia sklepu w tryb konserwacji."
"You need more free space to create a backup.","Potrzebujesz więcej wolnego miejsca, aby utworzyć kopię zapasową."
"You need more permissions to create a backup.","Potrzebujesz więcej uprawnień, aby utworzyć kopię zapasową."
"We can't create the backup right now.","Nie możemy teraz utworzyć kopii zapasowej."
"Backups","Kopia zapasowa"
"System","System"
"Tools","Narzędzia"
"Backup","Kopia zapasowa"
"We can't delete one or more backups.","Nie można usunąć jednej lub większej liczby kopii zapasowych."
"failed","nieudane"
"successful","zakończona pomyślnie"
"You deleted the selected backup(s).","Zaznaczone kopie zostały usunięte."
"Can't load snapshot archive","Nie można załadować archiwalnego obrazu"
"Please correct the password.","Proszę poprawić hasło."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Aby ukończyć wycofywanie, usuń zaznaczenie opcji ""Przełącz sklep w tryb konserwacji"" lub zaktualizuj swoje uprawnienia."
"We can't find the backup file.","Nie możemy odnaleźć kopii zapasowej."
"We can't connect to the FTP right now.","Nie możemy teraz połączyć się z FTP."
"Failed to validate FTP.","Nie udało się potwierdzić FTP."
"You need more permissions to perform a rollback.","Potrzebujesz wyższych uprawnień do wykonania przywrócenia."
"Failed to rollback.","Nie udało się przywrócić kopii."
"Database","Baza danych"
"Database and Media","Baza danych i media"
"System (excluding Media)","System (z wyłączeniem Media)"
"You created the system backup.","Utworzyłeś kopię zapasową."
"You created the system backup (excluding media).","Utworzyłeś kopię zapasową (bez zawartości folderu media)."
"You created the database and media backup.","Utworzyłeś kopię zapasową bazy danych i zawartości folderu media."
"You created the database backup.","Utworzono kopię zapasową bazy danych."
"Please correct the order of creation for a new backup.","Proszę poprawić kolejność tworzenia nowej kopii zapasowej."
"The backup file does not exist.","Nie istnieje plik kopii zapasowej."
"The backup file path was not specified.","Plik ""%1"" kopii zapasowej nie został określony."
"The backup file ""%1"" does not exist.","Plik ""%1"" kopii zapasowej nie istnieje."
"Sorry, but we cannot read from or write to backup file ""%1"".","Przepraszam, ale my nie można odczytywać lub zapisać dane do pliku kopii zapasowej ""%1""."
"The backup file handler was unspecified.","Uchwyt pliku kopii zapasowej nie został określony."
"Something went wrong while writing to the backup file ""%1"".","Coś się zepsuło podczas zapisywania pliku kopii zapasowej ""%1""."
"We can't save the Cron expression.","Nie możemy zapisać wyrażenia Cron."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Stracisz wszystkie dane utworzone od wykonania kopii zapasowej, w tym użytkowników administracyjnych, klientów i zamówienia."
"Are you sure you want to continue?","Czy na pewno chcesz kontynuować?"
"This may take a few moments.","To może chwilę potrwać."
"Be sure your store is in maintenance mode during backup.","Upewnij się, że Twój sklep jest w trybie konserwacji podczas wykonywania kopii zapasowej."
"Backup Name","Nazwa kopii zapasowej"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Prosimy o używanie jedynie liter (a-z lub A-Z), cyfr (0-9) lub spacji i # w tym polu."
"Maintenance mode","Tryb serwisowy"
"Please put your store into maintenance mode during backup.","Włącz tryb konserwacji Twojego sklepu podczas wykonywania kopii zapasowej."
"Exclude","Wyłącz"
"Exclude media folder from backup","Wyłącz katalog mediów z kopii zapasowej"
"Please enter the password to confirm rollback.","Wprowadź hasło, aby potwierdzić przywracanie."
"This action cannot be undone.","Ta akcja nie może być cofnięta."
"User Password","Hasło użytkownika"
"Please put your store into maintenance mode during rollback processing.","Przełącz swój sklep w trybie konserwacji na czas wycofywania zmian."
"FTP","FTP"
"Use FTP Connection","Użyj połączenia FTP"
"FTP credentials","Dane FTP"
"FTP Host","Host FTP"
"FTP Login","Login FTP"
"FTP Password","Hasło FTP"
"Magento root directory","Katalog źródłowy Magento"
"Create Backup","Wykonaj kopię"
"Rollback","Przywracanie"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Włącz zaplanowaną kopię"
"Backup Type","Backup Type"
"Start Time","Czas rozpoczęcia"
"Frequency","Częstotliwość"
"Maintenance Mode","Tryb remontowy"
"Delete","Usuń"
"Are you sure you want to delete the selected backup(s)?","Czy na pewno chcesz usunąć wybraną kopię bezpieczeństwa?"
"Time","Czas"
"Name","Nazwa"
"Size(bytes)","Rozmiar(Bajty)"
"Type","Rodzaj"
"Download","Pobierz"
"Action","Operacja"
"Backup functionality is disabled","Funkcjonalność kopii zapasowej jest wyłączona"
"Backup Settings","Ustawienia kopii zapasowej"
"Enable Backup","Włącz tworzenie kopii zapasowej"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Disabled by default for security reasons"
