"System Backup","Резервне копіювання системи"
"Database and Media Backup","Резервне копіювання бази даних та медіа"
"Database Backup","Резервне копіювання бази даних"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","На Windows-системах архів можна розпакувати за допомогою <a href=""%1"">%2</a>."
"You need more permissions to activate maintenance mode right now.","Вам потрібно більше прав, щоб активувати режим тех. обслуговування прямо зараз."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Щоб створити резервну копію, будь ласка, зніміть позначку ""Перевести крамницю у режим тех. обслуговування"" або оновіть ваші права доступу."
"Something went wrong while putting your store into maintenance mode.","Щось пішло не так під час переведення вашої крамниці у режим тех. обслуговування."
"You need more free space to create a backup.","Вам потрібно більше вільного простору для створення резервної копії."
"You need more permissions to create a backup.","Вам потрібно більше прав для створення резервної копії."
"We can't create the backup right now.","Ми не можемо створити резервну копію зараз."
"Backups","Резервні копії"
"System","Система"
"Tools","Інструменти"
"Backup","Резервне копіювання"
"We can't delete one or more backups.","Ми не можемо видалити одну чи кілька резервних копій."
"failed","не вдалося"
"successful","вдало"
"You deleted the selected backup(s).","Ви видалили вибрану(і) резервну(і) копію(ї)."
"Can't load snapshot archive","Немає змоги завантажити архів знімка"
"Please correct the password.","Будь ласка, виправте пароль."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Для завершення відкату, будь ласка, зніміть позначку ""Перевести крамницю у режим тех. обслуговування"" або оновіть ваші права доступу."
"We can't find the backup file.","Ми не можемо знайти файл резервної копії."
"We can't connect to the FTP right now.","Ми не можемо підключитися до FTP зараз."
"Failed to validate FTP.","Не вдалося перевірити FTP."
"You need more permissions to perform a rollback.","Вам потрібно більше прав для виконання відкату."
"Failed to rollback.","Не вдалося відкотити."
"Database","База даних"
"Database and Media","База даних і медіа"
"System (excluding Media)","Система (за винятком медіа)"
"You created the system backup.","Ви створили резервну копію системи."
"You created the system backup (excluding media).","Ви створили резервну копію системи (за винятком медіа)."
"You created the database and media backup.","Ви створили резервну копію бази даних і медіа."
"You created the database backup.","Ви створили резервну копію бази даних."
"Please correct the order of creation for a new backup.","Будь ласка, виправте порядок створення для нової резервної копії."
"The backup file does not exist.","Файл резервної копії не існує."
"The backup file path was not specified.","Не вказано шлях до файлу резервної копії."
"The backup file ""%1"" does not exist.","Файл резервної копії ""%1"" не існує."
"Sorry, but we cannot read from or write to backup file ""%1"".","Вибачте, але ми не в змозі читати з або записувати до файлу резервної копії ""%1""."
"The backup file handler was unspecified.","Не зазначено обробник файлу резервної копії."
"Something went wrong while writing to the backup file ""%1"".","Щось пішло не так під час запису до файлу резервної копії ""%1""."
"We can't save the Cron expression.","Ми не можемо зберегти вираз Cron."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Ви втратите всі дані, створені відтоді, як була зроблена резервна копія, включно з адміністративними користувачами, покупцями та замовленнями."
"Are you sure you want to continue?","Ви впевнені, що бажаєте продовжити?"
"This may take a few moments.","Це може зайняти деякий час."
"Be sure your store is in maintenance mode during backup.","Переконайтеся, що ваша крамниця знаходиться у режимі тех. обслуговування під час резервного копіювання."
"Backup Name","Назва резервної копії"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Будь ласка, використовуйте тільки літери (a-z або A-Z), цифри (0-9) або пробіли у цьому полі."
"Maintenance mode","Режим тех. обслуговування"
"Please put your store into maintenance mode during backup.","Будь ласка, переведіть вашу крамницю у режим тех. обслуговування під час резервного копіювання."
"Exclude","Виключаючи"
"Exclude media folder from backup","Виключити медіа папку з резервної копії"
"Please enter the password to confirm rollback.","Будь ласка, введіть пароль для підтвердження скасування установки."
"This action cannot be undone.","Ця дія не може бути скасована."
"User Password","Пароль користувача"
"Please put your store into maintenance mode during rollback processing.","Будь ласка, переведіть вашу крамницю у режим тех. обслуговування під час виконання відкату."
"FTP","FTP"
"Use FTP Connection","Використовувати FTP-підключення"
"FTP credentials","Облікові дані FTP"
"FTP Host","FTP вузол"
"FTP Login","FTP логін"
"FTP Password","FTP пароль"
"Magento root directory","Коренева папка Magento"
"Create Backup","Створити резервну копію"
"Rollback","Відкат"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Увімкнути резервне копіювання за розкладом"
"Backup Type","Backup Type"
"Start Time","Час початку"
"Frequency","Частота"
"Maintenance Mode","Режим тех. обслуговування"
"Delete","Видалити"
"Are you sure you want to delete the selected backup(s)?","Ви дійсно бажаєте видалити вибрану(і) резервну(і) копію(ї)?"
"Time","Час"
"Name","Назва"
"Size(bytes)","Розмір(байти)"
"Type","Тип"
"Download","Завантажити"
"Action","Дія"
"Backup functionality is disabled","Backup functionality is disabled"
"Backup Settings","Backup Settings"
"Enable Backup","Enable Backup"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Disabled by default for security reasons"
