"System Backup","Sao lưu hệ thống"
"Database and Media Backup","Cơ sở dữ liệu và phương tiện sao lưu"
"Database Backup","Sao lưu cơ sở dữ liệu"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems."
"You need more permissions to activate maintenance mode right now.","Bạn cần thêm quyền để kích hoạt chế độ bảo trì."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions."
"Something went wrong while putting your store into maintenance mode.","Xảy ra lỗi trong khi thiết lập chế độ bảo trì cửa hàng."
"You need more free space to create a backup.","Bạn cần thêm dung lượng trống để tạo bản sao lưu."
"You need more permissions to create a backup.","Bạn cần thêm quyền để tạo bản sao lưu."
"We can't create the backup right now.","Chúng tôi không thể tạo bản sao lưu ngay bây giờ."
"Backups","Bản sao lưu"
"System","Hệ thống"
"Tools","Công cụ"
"Backup","Bản sao lưu"
"We can't delete one or more backups.","Chúng tôi không thể xoá một hoặc nhiều bản sao lưu."
"failed","Thất bại"
"successful","Thành công"
"You deleted the selected backup(s).","Bạn đã xóa bản sao lưu được chọn."
"Can't load snapshot archive","Không thể nạp ảnh chụp lưu trữ"
"Please correct the password.","Vui lòng điền đúng mật khẩu."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions."
"We can't find the backup file.","Chúng tôi không thể tìm thấy tệp sao lưu."
"We can't connect to the FTP right now.","Chúng tôi không thể kết nối FTP ngay bây giờ."
"Failed to validate FTP.","FTP không thể xác nhận hợp lệ."
"You need more permissions to perform a rollback.","Bạn cần thêm quyền để thực hiện phục hồi."
"Failed to rollback.","Phục hồi thất bại."
"Database","Cơ sở dũ liệu"
"Database and Media","Dữ liệu và phương tiện"
"System (excluding Media)","Hệ thống (không bao gồm Phương tiện)"
"You created the system backup.","Bạn đã tạo hệ thống sao lưu."
"You created the system backup (excluding media).","Bạn đã tạo hệ thống sao lưu (không bao gồm Phương tiện)."
"You created the database and media backup.","Bạn đã tạo sao lưu dữ liệu và phương tiện."
"You created the database backup.","Bạn đã tạo sao lưu dữ liệu."
"Please correct the order of creation for a new backup.","Vui lòng điền đúng thứ tự khởi tạo bản sao lưu mới."
"The backup file does not exist.","Tệp sao lưu không tồn tại."
"The backup file path was not specified.","Đường dẫn tệp sao lưu chưa được xác nhận."
"The backup file ""%1"" does not exist.","The backup file ""%1"" does not exist."
"Sorry, but we cannot read from or write to backup file ""%1"".","Sorry, but we cannot read from or write to backup file ""%1""."
"The backup file handler was unspecified.","Xử lý tệp sao lưu không xác định."
"Something went wrong while writing to the backup file ""%1"".","Something went wrong while writing to the backup file ""%1""."
"We can't save the Cron expression.","Chúng tôi không thể lưu các quy tắc cronjob."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Bạn sẽ mất dữ liệu đã tạo khi tạo bản sao, bao  gồm quản trị người dùng, khách hàng và đơn hàng."
"Are you sure you want to continue?","Bạn có chắc rằng bạn muốn tiếp tục?"
"This may take a few moments.","Nó sẽ mất một thời gian."
"Be sure your store is in maintenance mode during backup.","Chắc chắn rằng cửa hàng của bạn đang trong chế độ bảo trì trong quá trình sao lưu."
"Backup Name","Tên sao lưu"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Vui lòng chỉ dùng các ký tự (a-z or A-Z), số (0-9) hoặc dấu cách trong vùng này."
"Maintenance mode","Chế độ bảo trì"
"Please put your store into maintenance mode during backup.","Vui lòng thiết lập chế độ bảo trì cửa hàng trong khi sao lưu."
"Exclude","Ngoại trừ"
"Exclude media folder from backup","Ngoại trừ thư mục phương tiện từ sao lưu"
"Please enter the password to confirm rollback.","Vui lòng điền mật khẩu để xác nhận phục hồi."
"This action cannot be undone.","Thao tác này không được thực hiện."
"User Password","Mật khẩu người dùng"
"Please put your store into maintenance mode during rollback processing.","Vui lòng thiết lập chế độ bảo trì cửa hàng trong quá trình phục hồi."
"FTP","FTP"
"Use FTP Connection","Sử dụng kết nối FTP"
"FTP credentials","Giấy chứng nhận FTP"
"FTP Host","FTP Host"
"FTP Login","Đăng nhập FTP"
"FTP Password","Mật khẩu FTPsign in"
"Magento root directory","Thư mục Magento gốc"
"Create Backup","Tạo sao lưu"
"Rollback","Quay Trở Lại"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Bật Hẹn Giờ Sao Lưu Dự Phòng"
"Backup Type","Backup Type"
"Start Time","Thời Gian Bắt Đầu"
"Frequency","Tần Suất"
"Maintenance Mode","Chế Độ Bảo Dưỡng"
"Delete","Xóa bỏ"
"Are you sure you want to delete the selected backup(s)?","Bạn có chắc chắn là bạn muốn xóa các bản sao lưu dự phòng đã chọn không?"
"Time","Thời gian"
"Name","Tên"
"Size(bytes)","Dung Lượng(bytes)"
"Type","Loại"
"Download","Tải về"
"Action","Thao tác"
"Backup functionality is disabled","Backup functionality is disabled"
"Backup Settings","Backup Settings"
"Enable Backup","Enable Backup"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Disabled by default for security reasons"
